0	Index      	 *	Score 	Summary	Detail	
1	15623 53322	 * 	264.68	DCR|3VULN|2DMG|1MLV|1ASPD|1RPLT	1RPLT|24LIT|346VULN|46BPWR|56DMG|7DUR|8MLV|9ASPD|aRCR
2	12621 65133	 * 	258.44	DCR|DCR|1VULN|1MLV|1CDMG|1RPLT	1RPLT|2LWND|3FEWX|4VULN|5MLV|6aRCR|7CDMG|8BASARM|9LIT
3	31125 43453	 * 	255.09	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2MLV|3FEWX|4VULN|5BEXP|6MBVNT|7BLASTR|8DMG|9aRCR
4	31325 43453	   	255.09	DCR|DCR|1VULN|1DMG|1MLV	1LIT|2MLV|3BEXP|4VULN|5FEWX|6MBVNT|7BLASTR|8DMG|9aRCR
5	44212 12332	   	254.94	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1FEWX|2CANARM|3SELL|4CGEN|5MLV|69RCR|7VULN|8LWND|aDMG
6	61212 12332	   	254.94	DCR|DCR|1VULN|1DMG|1MLV|1SELL	1MSLREG|2FEWX|3SELL|4CGEN|5MLV|69RCR|7VULN|8LWND|aDMG
7	15623 53312	   	251.03	DCR|3VULN|2DMG|1MLV|1RPLT	1RPLT|24LIT|346VULN|46BPWR|56DMG|7DUR|8MLV|9RMIN|aRCR
8	44212 12336	 * 	250.49	DCR|DCR|2MLV|1VULN|1SELL	1FEWX|2CANARM|3SELL|4CGEN|5aMLV|69RCR|7VULN|8LWND
9	61212 12336	 * 	250.49	DCR|DCR|2MLV|1VULN|1SELL	1MSLREG|2FEWX|3SELL|4CGEN|5aMLV|69RCR|7VULN|8LWND
10	16266 31133	   	244.54	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1RPLT|2SELL|3FEWX|4BEXP|5MLV|6aRCR|7VULN|8BASARM|9LIT
11	16636 31133	   	244.54	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1RPLT|2SELL|3BEXP|4LHND|5MLV|6aRCR|7VULN|8BASARM|9LIT
12	43226 31133	   	244.54	DCR|DCR|1VULN|1MLV|1RPLT|1SELL	1FEWX|2SELL|3BEXP|4RPLT|5MLV|6aRCR|7VULN|8BASARM|9LIT
13	15623 51222	 * 	244.16	DCR|4VULN|2DMG|1RPLT	1RPLT|24LIT|346aVULN|46BPWR|56DMG|7MDPS|8CANTOX|9RCR
14	44212 12331	   	243.19	DCR|DCR|1VULN|1MLV|1SELL	1FEWX|2CANARM|3SELL|4CGEN|5MLV|69RCR|7VULN|8LWND|aDUR
15	61212 12331	   	243.19	DCR|DCR|1VULN|1MLV|1SELL	1MSLREG|2FEWX|3SELL|4CGEN|5MLV|69RCR|7VULN|8LWND|aDUR
16	12162 33543	   	240.90	DCR|DCR|1VULN|1CDMG|1RPLT	1RPLT|2LWND|3LIT|4FEWX|5CDMG|6VULN|7SPLREG|8CGEN|9aRCR
17	12162 33643	   	240.90	DCR|DCR|1VULN|1CDMG|1RPLT	1RPLT|2LWND|3LIT|4FEWX|5CDMG|6VULN|7SPLREG|8TLV|9aRCR
18	61365 32323	   	240.90	DCR|DCR|1VULN|1CDMG|1RPLT	1MSLREG|2FEWX|3BEXP|4RPLT|5LIT|6aRCR|7CDMG|8VULN|9CGEN
19	23413 22344	   	240.66	DCR|DCR|1VULN|1CDMG|1AART|1ZMB	1CGEN|2AART|3TBNT|4ZMB|5AAC|68RCR|7DUST|9CDMG|aVULN
20	66351 21144	   	239.45	DCR|DCR|1VULN|1CDMG	1MSLREG|2TBNT|3MBVNT|4CDMG|5BBNT|6VULN|79RCR|8LWND|aDUR
21	62132 25513	 * 	239.19	DCR|3VULN|3DMG	19MSLREG|259VULN|358DMG|4RMIN|59BPWR|69ERES|7RCR|aDUR
22	62453 12222	 * 	238.67	DCR|4VULN|2CDMG|1ASPD	1MSLREG|2578VULN|3DUR|49CDMG|6RCR|aASPD
23	63236 22334	 * 	238.57	DCR|2VULN|2ASPD|1DMG|1MLV|1AART|1RPLT	1aMSLREG|2DMG|3RPLT|4aVULN|5MLV|6AART|7RCR|8CGEN|9aASPD|aBPWR
24	63236 22134	   	238.47	DCR|2VULN|2ASPD|1DMG|1MLV|1AART|1RPLT	1aMSLREG|2DMG|3RPLT|4aVULN|5MLV|6AART|7RCR|8AME|9aASPD|aBPWR
25	31224 21366	 * 	238.23	DCR|3VULN|2MLV|1ASPD|1CDMG	1aLIT|2aMLV|3ASPD|4AAC|5CDMG|6MDPS|78aVULN|9RCR|aBPWR
26	66351 21141	   	238.08	DCR|DCR|1VULN|1CDMG	1MSLREG|2TBNT|3MBVNT|4CDMG|5BBNT|6VULN|79RCR|8LWND|aNUKE
27	62123 53115	   	237.66	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4TLV|5RMIN|6LIT|7BBNT|8aRCR|9LHND
28	62123 53135	   	237.66	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4TLV|5RMIN|6LIT|7BBNT|8aRCR|9FEWX
29	62136 23115	   	237.66	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4RMIN|5LIT|6CGEN|7TBNT|8aRCR|9LHND
30	62136 23135	   	237.66	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4RMIN|5LIT|6CGEN|7TBNT|8aRCR|9FEWX
31	32125 43453	   	237.56	DCR|DCR|1VULN|1DMG	1LIT|2TLV|3FEWX|4VULN|5BEXP|6MBVNT|7BLASTR|8DMG|9aRCR
32	32325 43453	   	237.56	DCR|DCR|1VULN|1DMG	1LIT|2TLV|3BEXP|4VULN|5FEWX|6MBVNT|7BLASTR|8DMG|9aRCR
33	62133 53115	   	237.56	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4RMIN|5AME|6LIT|7BBNT|8aRCR|9LHND
34	62133 53135	   	237.56	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4RMIN|5AME|6LIT|7BBNT|8aRCR|9FEWX
35	62123 53125	   	237.56	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4TLV|5RMIN|6LIT|7BBNT|8aRCR|9DUST
36	62136 23125	   	237.56	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4RMIN|5LIT|6CGEN|7TBNT|8aRCR|9DUST
37	62311 53733	   	237.46	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3BEXP|4AME|5LHND|6MBVNT|7DMG|8aRCR|9LIT
38	63633 44733	   	237.46	DCR|DCR|1VULN|1DMG	1MSLREG|2DMG|3MBVNT|4LEGI|5FEWX|6TLV|7VULN|8aRCR|9LIT
39	22551 46243	   	237.46	DCR|DCR|1VULN|1DMG	1CGEN|2DUST|3MBVNT|4VULN|5BEXP|6LIT|7SPLJET|8aRCR|9DMG
40	62133 53125	   	237.46	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3DMG|4RMIN|5AME|6LIT|7BBNT|8aRCR|9DUST
41	62312 53733	   	237.36	DCR|DCR|1VULN|1DMG	1MSLREG|2VULN|3BEXP|4AME|5DUST|6MBVNT|7DMG|8aRCR|9LIT
42	62123 12266	 * 	237.36	DCR|2VULN|2MLV|1DMG|2DUR|1CDMG	1MSLREG|2aVULN|3DMG|4TLV|5RMIN|6aDUR|7RCR|8CDMG|9aMLV|aBPWR
43	62125 12243	   	237.14	DCR|3VULN|1DMG|1MLV|1CDMG	1MSLREG|278VULN|3DMG|4TLV|5CDMG|6RCR|9DUR|aMLV
44	62453 12212	   	236.24	DCR|4VULN|1MLV|1CDMG	1MSLREG|2578VULN|3DUR|4CDMG|6RCR|9RMIN|aMLV
45	14531 26221	   	235.86	DCR|DCR|1MLV|2RPLT|1AART	18RPLT|2DUR|3AART|4FEWX|5MLV|69RCR|7TBNT|aMDPS
46	14531 26222	   	235.86	DCR|DCR|1MLV|2RPLT|1AART|1MSE	18RPLT|2DUR|3AART|4FEWX|5MLV|69RCR|7TBNT|aMSE
47	14531 26223	   	235.86	DCR|DCR|1MLV|2RPLT|1AART	18RPLT|2DUR|3AART|4FEWX|5MLV|69RCR|7TBNT|aBLASTR
48	23413 25313	   	235.42	DCR|DCR|1VULN|1AART|1ZMB	19CGEN|2AART|3TBNT|4ZMB|5AAC|68RCR|7DUR|aVULN
