0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21126 32523	1	 * 	305.53	DCR|4VULN|3DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57aDMG|6RCR|7BPWR|9CDMG
2	21423 31423	10	 * 	305.30	DCR|4VULN|3DMG|3DUR	179aVULN|2LWND|39aDUR|4ZMB|5LHND|6RCR|89aDMG|9aBPWR
3	22423 31423	10	   	305.30	DCR|4VULN|3DMG|3DUR	179aVULN|2BEXP|39aDUR|4ZMB|5LHND|6RCR|89aDMG|9aBPWR
4	21126 32642	1	   	298.71	DCR|3VULN|3DMG|3DUR|1TLV	147VULN|2ZMB|379DUR|578DMG|6RCR|7BPWR|aTLV
5	21126 32522	1	   	298.18	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9CDMG|aLIT
6	21126 32264	1	   	297.76	DCR|4VULN|3DUR|2DMG	147aVULN|2ZMB|378DUR|57DMG|6RCR|7BPWR|9LIT
7	26111 22136	9	 * 	296.38	DCR|4VULN|3DUR|3ASPD|1CDMG	178aVULN|28aDUR|36LWND|4CDMG|58aASPD|8aBPWR|9RCR
8	26111 32136	9	   	296.38	DCR|4VULN|3DUR|3ASPD|1CDMG	178aVULN|28aDUR|3LWND|4CDMG|58aASPD|6RCVC|8aBPWR|9RCR
9	24334 32733	5	   	292.15	DCR|4VULN|3DMG|1DUR|2LIT	1579VULN|2RMIN|3MBVNT|457DMG|579BPWR|6RCR|89LIT|aDUR
10	24334 32256	5	   	291.78	DCR|4VULN|3DMG|2DUR	1578VULN|2RMIN|3MBVNT|457DMG|57BPWR|6RCR|9aDUR
11	21126 32262	1	   	291.37	DCR|3VULN|3DUR|2DMG|1TLV	147VULN|2ZMB|378DUR|57DMG|6RCR|7BPWR|9LIT|aTLV
12	21126 32265	1	   	290.77	DCR|3VULN|3DMG|3DUR	147VULN|2ZMB|378DUR|57aDMG|6RCR|7BPWR|9LIT
13	21126 32641	1	   	290.77	DCR|3VULN|3DMG|3DUR	147VULN|2ZMB|379DUR|578DMG|6RCR|7BPWR|aLIT
14	21126 32521	1	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9CDMG|aCGEN
15	21126 32524	1	   	289.87	DCR|4VULN|2DMG|2DUR|1CDMG	1478VULN|2ZMB|37DUR|57DMG|6RCR|7BPWR|9CDMG|aFEWX
