0	Index      	Bounty	 *	Score 	Summary	Detail	
1	63511 13325	6	 * 	269.16	DCR|5VULN|1TLV|1DMG|1AART	1AART|23467VULN|5TLV|8BBNT|9RCR|aDMG
2	11211 31252	4	 * 	267.52	DCR|4VULN|3DUR|2CDMG	1DMSP|29CDMG|3LIT|459aVULN|689DUR|7RCR|9BPWR
3	11261 31252	3	   	267.52	DCR|4VULN|3DUR|2CDMG	1DMSP|29CDMG|3LIT|459aVULN|689DUR|7RCR|9BPWR
4	63511 63233	4	   	267.16	DCR|4VULN|1TLV|1DMG|1DUR|1AART	1AART|234aVULN|5LWND|6RCR|7TLV|8DUR|9DMG
5	61631 33142	10	   	265.87	DCR|4VULN|1TLV|1DMG|2LIT|1AART	1AART|2DMG|3589VULN|45LIT|5BPWR|6ZMB|7TLV|aRCR
6	63511 14323	7	 * 	265.58	DCR|5VULN|2TLV|1AART	1AART|23467VULN|57TLV|7BPWR|8BBNT|9RCR|aLIT
7	52224 32332	1	 * 	261.66	DCR|2VULN|3DMG|3DUR|2LIT	129DUR|356DMG|4RMIN|79LIT|89VULN|9BPWR|aRCR
8	52234 32332	1	   	261.66	DCR|2VULN|3DMG|3DUR|2LIT	129DUR|346DMG|5RMIN|79LIT|89VULN|9BPWR|aRCR
9	63511 63232	4	 * 	260.70	DCR|3VULN|2DUR|1TLV|1DMG|1AART	1AART|234VULN|5LWND|6RCR|7TLV|8aDUR|9DMG
10	11243 21255	6	 * 	260.67	DCR|2VULN|3DUR|1TLV|3CDMG|2LIT	1DMSP|249CDMG|34LIT|49BPWR|589DUR|69VULN|7RCR|aTLV
11	53125 23312	7	 * 	260.33	DCR|4VULN|2DUR|1TLV	18DUR|2FEWX|3679VULN|4TLV|5LIT|aRCR
12	53162 41312	4	   	260.33	DCR|4VULN|2DUR|1TLV	17DUR|2FEWX|3569VULN|4LIT|8TLV|aRCR
13	53166 23312	7	   	260.33	DCR|4VULN|2DUR|1TLV	18DUR|2FEWX|3679VULN|4LIT|5TLV|aRCR
14	51612 32316	1	 * 	260.20	DCR|4VULN|2TLV|2DUR	16DUR|2368VULN|4RMIN|5RPLT|6BPWR|79TLV|aRCR
15	51131 14251	2	 * 	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|2BEXP|37TLV|4DMG|5LHND|679VULN|7BPWR|8MLV|aRCR
16	53131 14251	2	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|2FEWX|37TLV|4DMG|5LHND|679VULN|7BPWR|8MLV|aRCR
17	53133 14251	1	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|2LWND|37TLV|4DMG|5BEXP|679VULN|7BPWR|8MLV|aRCR
18	53133 14331	1	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	17DUR|2LWND|37TLV|4DMG|5BEXP|678VULN|7BPWR|9RMIN|aRCR
