0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31636 51213	8	 * 	292.98	DCR|2VULN|3DMG|3DUR|1TLV|2CDMG	123DUR|39BPWR|469DMG|59CDMG|7RCR|89VULN|aTLV
2	42152 13335	1	 * 	291.34	DCR|4VULN|2DMG|1TLV|2ASPD|1DUR	13DMG|25ASPD|4569VULN|5BPWR|7DUR|8RCR|aTLV
3	42362 13335	1	   	291.34	DCR|4VULN|2DMG|1TLV|2ASPD|1DUR	14DMG|25ASPD|3569VULN|5BPWR|7DUR|8RCR|aTLV
4	21523 23314	5	 * 	290.78	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	1FEWX|28DUR|3CDMG|4LIT|58aVULN|6TLV|78DMG|8BPWR|9RCR
5	31232 51615	1	 * 	283.59	DCR|5VULN|3DUR|3CDMG	135DUR|24568VULN|589BPWR|789CDMG|aRCR
6	21153 33314	1	   	282.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1FEWX|28aVULN|3CDMG|4TLV|58LIT|6DUR|78DMG|8BPWR|9RCR
7	35623 22314	7	   	282.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1DUR|28LIT|3TLV|4FEWX|58aVULN|6CDMG|78DMG|8BPWR|9RCR
8	35623 23314	6	   	282.75	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1DUR|28LIT|3TLV|4FEWX|58aVULN|6CDMG|78DMG|8BPWR|9RCR
9	31153 23314	1	   	282.65	DCR|3VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1DUR|28aVULN|3CDMG|4TLV|58LIT|6DUST|78DMG|8BPWR|9RCR
10	42152 13336	1	 * 	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	13DMG|25ASPD|4569VULN|5BPWR|7aDUR|8RCR
11	42362 13336	1	   	279.72	DCR|4VULN|2DMG|2DUR|2ASPD	14DMG|25ASPD|3569VULN|5BPWR|7aDUR|8RCR
12	31232 54222	1	 * 	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	135DUR|2456VULN|5BPWR|7DMSP|8CDMG|9TLV|aRCR
13	43122 22434	5	 * 	278.80	ACR|5VULN|3DMG|3DUR	178DMG|29LHND|3RCR|478DUR|5789aVULN|6BBNT|789BPWR
14	35132 23314	3	   	276.89	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	18DUR|2LIT|3SELL|48aVULN|5LHND|6TLV|78DMG|8BPWR|9RCR
15	35313 32314	7	   	276.89	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	18DUR|2LIT|38aVULN|4LHND|5TLV|6SELL|78DMG|8BPWR|9RCR
16	35313 33314	6	   	276.89	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	18DUR|2LIT|38aVULN|4LHND|5TLV|6SELL|78DMG|8BPWR|9RCR
17	54232 23314	1	   	276.89	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|28DUR|3LIT|48aVULN|5LHND|6TLV|78DMG|8BPWR|9RCR
18	55232 23314	2	   	276.89	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1SELL|28DUR|3LIT|48aVULN|5LHND|6TLV|78DMG|8BPWR|9RCR
19	46322 31462	1	 * 	276.58	DCR|4VULN|2DMG|3TLV|1AART	18DMG|245TLV|3578VULN|58BPWR|6MBVNT|9RCR|aAART
20	36523 23314	5	   	276.20	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DUR|28BEXP|3CDMG|4LIT|58aVULN|6TLV|78DMG|8BPWR|9RCR
21	21314 23116	10	 * 	276.01	DCR|3VULN|3DUR|2DMG|3LIT	135FEWX|238DUR|38aBPWR|4aDMG|68aVULN|78aLIT|9RCR
22	34316 23116	10	   	276.01	DCR|3VULN|3DUR|2DMG|3LIT	138DUR|235LWND|38aBPWR|4aDMG|68aVULN|78aLIT|9RCR
