0	Index      	Bounty	 *	Score 	Summary	Detail	
1	51112 22552	1	 * 	277.29	DCR|4VULN|3DMG|1DUR	18LHND|2RPLT|358DMG|458aVULN|58BPWR|6RCR|7BBNT|9DUR
2	15236 11161	1	 * 	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	1LEGI|27aVULN|37CDMG|4CGEN|5TLV|67DMG|7BPWR|8DUR|9RCR
3	51112 22526	1	   	274.69	DCR|4VULN|3DMG|1CDMG	18LHND|2RPLT|358DMG|458aVULN|58BPWR|6RCR|7BBNT|9CDMG
4	15236 11222	1	 * 	274.52	DCR|3VULN|3DMG|2CDMG|1TLV	1LEGI|27aVULN|37CDMG|4CGEN|5TLV|678DMG|7BPWR|9RCR
5	26223 14316	9	 * 	271.39	DCR|4VULN|2DMG|3CDMG	18CGEN|268CDMG|3aDMG|4ERES|5678VULN|68BPWR|9RCR
6	51112 22535	1	   	270.81	DCR|4VULN|3DMG|1AART	18aLHND|2RPLT|358DMG|458aVULN|58aBPWR|6RCR|7BBNT|9AART
7	26223 14312	9	   	270.06	DCR|4VULN|3CDMG|1DMG|1TLV	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aTLV
8	11311 52452	2	 * 	269.21	DCR|4VULN|3ASPD|2DUR	1LEGI|2CGEN|356aVULN|456ASPD|56BPWR|79DUR|8RCR
9	11311 55152	2	   	269.21	DCR|4VULN|3ASPD|2DUR	1LEGI|2CGEN|356aVULN|456ASPD|56BPWR|7RCR|89DUR
10	34422 52814	9	 * 	268.25	DCR|5VULN|2ASPD|2CDMG	1aDUST|2MBVNT|35CDMG|4567aVULN|5aBPWR|8RCR|9aASPD
11	26353 14313	10	   	266.34	DCR|4VULN|3CDMG|1TLV|1DUR	18CGEN|268CDMG|3TLV|4ZMB|5678VULN|68BPWR|9RCR|aDUR
12	34422 53534	9	   	265.15	DCR|4VULN|2DMG|2CDMG	1aDUST|2MBVNT|35CDMG|456aVULN|5aBPWR|7aDMG|8RCR|9RCVC
13	34422 53524	9	   	265.05	DCR|4VULN|2DMG|2CDMG	19aDUST|2MBVNT|35CDMG|456aVULN|5aBPWR|7aDMG|8RCR
14	26123 14316	9	   	264.81	DCR|4VULN|3CDMG|1DMG|1ASPD	18CGEN|268CDMG|3ASPD|4ERES|5678VULN|68BPWR|9RCR|aDMG
15	26123 14325	9	   	264.81	DCR|4VULN|3CDMG|1DMG|1ASPD	18CGEN|268CDMG|3ASPD|4ERES|5678VULN|68BPWR|9DMG|aRCR
16	26223 14315	10	   	264.81	DCR|4VULN|3CDMG|1DMG|1ASPD	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9RCR|aASPD
17	26223 14325	9	   	264.81	DCR|4VULN|3CDMG|1DMG|1ASPD	18CGEN|268CDMG|3DMG|4ERES|5678VULN|68BPWR|9ASPD|aRCR
18	15236 11223	1	   	263.86	DCR|2VULN|3DMG|2CDMG|1TLV|1DUR	1LEGI|27VULN|37CDMG|4CGEN|5TLV|678DMG|7BPWR|9RCR|aDUR
19	34422 53346	9	 * 	261.80	DCR|3VULN|2DUR|3CDMG|1DMG	19DUST|2MBVNT|359CDMG|456VULN|59BPWR|7DMG|89DUR|aRCR
20	51112 22562	1	   	261.04	DCR|4VULN|3DMG	18LHND|2RPLT|358DMG|458aVULN|58BPWR|6RCR|7BBNT|9FEWX
