0	Index      	Bounty	 *	Score 	Summary	Detail	
1	62361 32123	6	 * 	306.26	DCR|5VULN|3DUR|2CDMG|2LIT	13aDUR|23468VULN|3aBPWR|5aLIT|7aCDMG|9RCR
2	62363 21335	10	   	302.55	DCR|5VULN|3DUR|1TLV|2LIT	139DUR|23479VULN|39BPWR|5TLV|6LWND|89LIT|aRCR
3	62363 32335	10	   	302.55	DCR|5VULN|3DUR|1TLV|2LIT	139DUR|23469VULN|39BPWR|5TLV|7LWND|89LIT|aRCR
4	62331 16512	5	 * 	300.53	DCR|3VULN|3DMG|3DUR	138DUR|238VULN|38BPWR|4AART|568DMG|7RCR|9ZMB|aLIT
5	62331 16531	5	   	300.43	DCR|3VULN|3DMG|3DUR	138DUR|238VULN|38BPWR|4AART|568DMG|7RCR|9DUST|aLIT
6	62331 46323	9	   	298.10	DCR|4VULN|2DUR|1DMG|1TLV|1CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6CDMG|7RCR|aTLV
7	62354 31211	8	 * 	297.28	ACR|4VULN|3DUR|2DMG|3LIT|2TLV	137DUR|237aVULN|37aBPWR|467LIT|5RCR|8aTLV|9aDMG
8	62363 31335	10	   	295.80	DCR|5VULN|3DUR|1TLV	139DUR|23469VULN|39BPWR|5TLV|7LIT|89DUST|aRCR
9	52231 21413	10	   	294.08	DCR|5VULN|2DUR|2CDMG|1TLV|1SELL	12579VULN|3TLV|49CDMG|69DUR|8SELL|9BPWR|aRCR
10	52231 21623	9	   	293.29	DCR|5VULN|1DMG|1TLV|1DUR|1CDMG	12579VULN|3TLV|4CDMG|6DUR|8DMG|aRCR
11	52242 53123	9	   	293.29	DCR|5VULN|1DMG|1TLV|1DUR|1CDMG	12689VULN|3TLV|4DMG|5DUR|7CDMG|aRCR
12	62561 32123	6	   	292.93	DCR|5VULN|2DUR|2CDMG|2LIT	1aDUR|23468VULN|5aLIT|7aCDMG|9RCR|aBPWR
13	52461 32123	6	   	292.93	DCR|5VULN|2DUR|2CDMG|2LIT	12468VULN|3aDUR|5aLIT|7aCDMG|9RCR|aBPWR
14	62331 16511	5	   	292.22	DCR|3VULN|3DMG|3DUR	138DUR|238VULN|38BPWR|4AART|568DMG|7RCR|9ZMB|aBEXP
15	62331 16513	5	   	292.12	DCR|3VULN|3DMG|3DUR	138DUR|238VULN|38BPWR|4AART|568DMG|7RCR|9ZMB|aERES
16	62331 16532	5	   	292.12	DCR|3VULN|3DMG|3DUR	138DUR|238VULN|38BPWR|4AART|568DMG|7RCR|9DUST|aLWND
17	62331 16533	5	   	292.12	DCR|3VULN|3DMG|3DUR	138DUR|238VULN|38BPWR|4AART|568DMG|7RCR|9DUST|aLHND
18	62361 32323	6	   	289.91	DCR|4VULN|3DUR|1TLV|1CDMG	138DUR|2346VULN|3BPWR|5LIT|7CDMG|9RCR|aTLV
19	52463 11331	9	   	289.22	DCR|5VULN|2DUR|1TLV|2LIT	12479VULN|39DUR|5TLV|6LHND|89LIT|9BPWR|aRCR
20	52463 21331	9	   	289.22	DCR|5VULN|2DUR|1TLV|2LIT	12479VULN|39DUR|5TLV|6LWND|89LIT|9BPWR|aRCR
21	52463 32331	9	   	289.22	DCR|5VULN|2DUR|1TLV|2LIT	12469VULN|39DUR|5TLV|7LWND|89LIT|9BPWR|aRCR
22	62563 11331	9	   	289.22	DCR|5VULN|2DUR|1TLV|2LIT	19DUR|23479VULN|5TLV|6LHND|89LIT|9BPWR|aRCR
23	62563 21331	9	   	289.22	DCR|5VULN|2DUR|1TLV|2LIT	19DUR|23479VULN|5TLV|6LWND|89LIT|9BPWR|aRCR
24	62563 32331	9	   	289.22	DCR|5VULN|2DUR|1TLV|2LIT	19DUR|23469VULN|5TLV|7LWND|89LIT|9BPWR|aRCR
25	52223 24336	10	 * 	288.89	DCR|4VULN|2DMG|1TLV|1DUR|1ASPD	125aVULN|3TLV|4aLWND|6ASPD|7DUR|8RCR|9aDMG|aBPWR
26	62421 13444	8	 * 	288.89	DCR|5VULN|2DUR|2ASPD	19DUR|2789aVULN|3AART|49ASPD|5MBVNT|6RCR|9BPWR
27	62331 46322	10	   	288.16	DCR|4VULN|2DUR|1DMG|2CDMG	13DUR|2389VULN|3BPWR|4AART|5DMG|6aCDMG|7RCR
28	52231 26413	10	   	287.77	DCR|4VULN|3DUR|2CDMG|1TLV|1SELL	1259VULN|3TLV|49CDMG|679DUR|8SELL|9BPWR|aRCR
29	62363 16333	6	   	287.49	DCR|5VULN|3DUR|1TLV	139DUR|2348aVULN|3BPWR|5TLV|6LHND|7RCR
30	62363 26333	6	   	287.49	DCR|5VULN|3DUR|1TLV	139DUR|2348aVULN|3BPWR|5TLV|6LWND|7RCR
31	62331 16351	5	   	287.37	DCR|3VULN|3DUR|2DMG|1ASPD	139DUR|23aVULN|3BPWR|4AART|56DMG|7RCR|8ASPD
