0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32322 12416	4	 * 	286.66	DCR|4VULN|3DUR|2ASPD|1CDMG	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aCDMG
2	31312 55216	8	 * 	280.83	DCR|4VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4LWND|5DUR|6RCR|789aVULN
3	31322 55216	8	   	280.83	DCR|4VULN|3ASPD|3CDMG|1DUR	139ASPD|239CDMG|39BPWR|4BEXP|5DUR|6RCR|789aVULN
4	31331 46326	8	   	273.04	DCR|3VULN|3ASPD|3CDMG|1DUR|2LIT	138ASPD|234CDMG|38BPWR|5DUR|68LIT|78aVULN|9RCR
5	32322 12411	4	   	273.01	DCR|4VULN|3DUR|2ASPD	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aFEWX
6	32322 12412	4	   	273.01	DCR|4VULN|3DUR|2ASPD	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aCGEN
7	32322 12413	4	   	273.01	DCR|4VULN|3DUR|2ASPD	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aRMIN
8	32322 12414	4	   	272.91	DCR|4VULN|3DUR|2ASPD	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aBBNT
9	32322 12415	4	   	272.91	DCR|4VULN|3DUR|2ASPD	19ASPD|2RPLT|3589VULN|479DUR|6RCR|9BPWR|aDUST
10	31243 63362	9	 * 	271.03	DCR|3VULN|2ASPD|2TLV|1DUR|2LIT|1CDMG	19ASPD|2CDMG|39TLV|4DUR|57aVULN|6RCR|89LIT|9BPWR
11	31511 63422	10	 * 	269.97	DCR|3VULN|2DMG|2CDMG|1DUR|1ASPD	1ASPD|2aCDMG|3LWND|4LHND|59aVULN|6DUR|7RCR|8aDMG|aBPWR
12	33352 63133	2	 * 	268.88	DCR|4VULN|2ASPD|1DMG|2CDMG	18ASPD|2RCVC|3TBNT|48CDMG|568aVULN|7RCR|8BPWR|9DMG
13	33552 63133	2	   	268.88	DCR|4VULN|2ASPD|1DMG|2CDMG	18ASPD|2RCVC|3BBNT|48CDMG|568aVULN|7RCR|8BPWR|9DMG
14	41632 32111	3	 * 	268.40	DCR|3VULN|3DMG|1TLV|1CDMG	139BEXP|239DMG|39BPWR|4LHND|5CDMG|679VULN|8RCR|aTLV
15	41632 32114	3	   	268.40	DCR|3VULN|3DMG|1DUR|1CDMG	139BEXP|239DMG|39BPWR|4LHND|5CDMG|679VULN|8RCR|aDUR
16	31311 34352	3	 * 	268.23	DCR|2VULN|3DMG|3ASPD|3CDMG	134ASPD|234CDMG|34aBPWR|5TBNT|6aVULN|79aDMG|8RCR
17	26335 62113	10	 * 	267.73	DCR|4VULN|3LIT|3TLV|1DMG	178LIT|2LHND|378TLV|4BELT|578aVULN|6RCR|78BPWR|9DMG
18	32511 14512	5	 * 	267.27	DCR|3VULN|2DMG|2ASPD|1CDMG|1AART	19ASPD|2RPLT|39DMG|4LWND|5AART|6RCR|7CDMG|89aVULN|9BPWR
19	13313 41625	8	 * 	265.25	DCR|4VULN|2DMG|2CDMG	1RMIN|2DMSP|38DMG|4DUST|578aVULN|68CDMG|8BPWR|9RCR
20	31253 41632	8	   	265.16	DCR|4VULN|2ASPD|2CDMG|1TLV	18ASPD|28CDMG|3TLV|4BEXP|5789VULN|6RCVC|8BPWR|aRCR
21	32352 12164	4	 * 	265.16	DCR|4VULN|2ASPD|2TLV|1DUR	1aASPD|2RPLT|359aVULN|4BEXP|6RCR|7DUR|8aTLV|aBPWR
22	32342 12164	3	   	265.06	DCR|4VULN|2ASPD|2TLV|1DUR	1aASPD|2RPLT|359aVULN|4DUST|6RCR|7DUR|8aTLV|aBPWR
23	31243 63112	9	   	264.94	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|3TLV|48DUR|57aVULN|6RCR|9LIT
24	31266 63112	9	   	264.94	DCR|3VULN|2DUR|1TLV|1CDMG|1ASPD	1ASPD|2CDMG|3TLV|47aVULN|58DUR|6RCR|9LIT
25	31322 32116	4	   	264.58	DCR|4VULN|3ASPD|3CDMG	139ASPD|239CDMG|39BPWR|4BEXP|5LHND|679aVULN|8RCR
26	31326 32116	5	   	264.58	DCR|4VULN|3ASPD|3CDMG	139ASPD|239CDMG|39BPWR|4BEXP|5LHND|679aVULN|8RCR
27	31342 32116	3	   	264.58	DCR|4VULN|3ASPD|3CDMG	139ASPD|239CDMG|39BPWR|4BEXP|5LHND|679aVULN|8RCR
28	31332 32116	3	   	264.48	DCR|4VULN|3ASPD|3CDMG	139ASPD|239CDMG|39BPWR|4DUST|5LHND|679aVULN|8RCR
29	31352 32116	4	   	264.48	DCR|4VULN|3ASPD|3CDMG	139ASPD|239CDMG|39BPWR|4DUST|5LHND|679aVULN|8RCR
30	31356 32116	5	   	264.48	DCR|4VULN|3ASPD|3CDMG	139ASPD|239CDMG|39BPWR|4DUST|5LHND|679aVULN|8RCR
31	32324 12416	4	   	264.02	DCR|3VULN|3DUR|2ASPD|1CDMG	19ASPD|2RPLT|389VULN|479DUR|5RCVC|6RCR|9BPWR|aCDMG
32	31132 32113	5	 * 	263.15	DCR|3VULN|2DUR|3CDMG|2ASPD	19ASPD|249CDMG|3LHND|5aDUR|679VULN|8RCR|9BPWR
33	31132 52413	6	   	263.15	DCR|3VULN|2DUR|3CDMG|2ASPD	19ASPD|249CDMG|3LHND|5aDUR|6RCR|789VULN|9BPWR
34	31132 55213	8	   	263.15	DCR|3VULN|2DUR|3CDMG|2ASPD	19ASPD|249CDMG|3LHND|5aDUR|6RCR|789VULN|9BPWR
35	31132 55413	7	   	263.15	DCR|3VULN|2DUR|3CDMG|2ASPD	19ASPD|249CDMG|3LHND|5aDUR|6RCR|789VULN|9BPWR
36	32312 12551	3	 * 	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ASPD|2RPLT|389VULN|4TLV|5DMG|6RCR|7aDUR
37	32312 12551	4	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1ASPD|2RPLT|389VULN|4TLV|5DMG|6RCR|7aDUR
38	31331 22516	7	   	263.05	DCR|3VULN|2DUR|3CDMG|2ASPD	13ASPD|234CDMG|3BPWR|57DUR|689VULN|aRCR
39	31331 13516	5	   	263.05	DCR|3VULN|2DUR|3CDMG|2ASPD	13ASPD|234CDMG|3BPWR|56DUR|789VULN|aRCR
40	31331 33516	6	   	263.05	DCR|3VULN|2DUR|3CDMG|2ASPD	13ASPD|234CDMG|3BPWR|56DUR|789VULN|aRCR
41	31334 51222	4	 * 	262.95	ACR|3VULN|3DMG|3ASPD|3CDMG	139ASPD|234CDMG|39aBPWR|5RCR|69aDMG|79aVULN|8TBNT
42	26335 62111	9	 * 	262.68	DCR|3VULN|2DMG|3LIT|3TLV	178LIT|2LHND|378TLV|4BELT|578VULN|6RCR|78BPWR|9aDMG
43	31221 66225	4	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1TLV	17ASPD|27CDMG|3TLV|4ERES|5DMSP|67aVULN|7BPWR|8RCR|9DMG
44	33352 63132	2	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	18ASPD|2RCVC|3TBNT|48CDMG|568VULN|7RCR|8BPWR|9DMG|aDUR
45	33552 63132	2	   	262.49	DCR|3VULN|2ASPD|1DMG|2CDMG|1DUR	18ASPD|2RCVC|3BBNT|48CDMG|568VULN|7RCR|8BPWR|9DMG|aDUR
46	32326 24216	7	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2RPLT|369VULN|4DUR|5CDMG|7TLV|8DMG|aRCR
47	32331 24216	7	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2RPLT|369VULN|4CDMG|5DUR|7TLV|8DMG|aRCR
48	31243 61252	8	   	262.01	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1ASPD|2CDMG|3TLV|4DUR|58aVULN|6RCR|7DMG|9BBNT
49	26335 62112	10	   	261.34	DCR|3VULN|3LIT|3TLV|1DMG|1DUR	178LIT|2LHND|378TLV|4BELT|578VULN|6RCR|78BPWR|9DMG|aDUR
50	26335 62133	8	   	261.32	DCR|4VULN|3LIT|3TLV|1CDMG	178LIT|2LHND|378TLV|4BELT|5789VULN|6RCR|78BPWR|aCDMG
51	31331 46324	8	 * 	260.72	DCR|2VULN|2DUR|3ASPD|3CDMG|2LIT	138ASPD|234CDMG|38BPWR|5aDUR|68LIT|78VULN|9RCR
52	31243 63332	9	   	260.57	DCR|3VULN|2ASPD|1DUR|1TLV|1CDMG	19ASPD|2CDMG|3TLV|4DUR|57aVULN|6RCR|8LIT
53	31243 63342	8	   	260.57	DCR|3VULN|2ASPD|1DUR|1TLV|1CDMG	19ASPD|2CDMG|3TLV|4DUR|57aVULN|6RCR|8LIT
54	31266 63332	9	   	260.57	DCR|3VULN|2ASPD|1DUR|1TLV|1CDMG	19ASPD|2CDMG|3TLV|47aVULN|5DUR|6RCR|8LIT
