0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33454 13212	5	 * 	308.26	DCR|4VULN|3DMG|2CDMG|1TLV|1ASPD	1279VULN|37aDMG|4ASPD|5TLV|67CDMG|7BPWR|8RCR
2	33232 36164	9	 * 	306.26	DCR|5VULN|3DUR|1DMG|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aDMG
3	33232 36162	9	   	302.45	DCR|5VULN|3DUR|1TLV|2LIT	12689VULN|359DUR|49LIT|7RCR|9BPWR|aTLV
4	33233 36166	10	   	300.96	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aAART
5	33232 36163	10	   	299.85	DCR|5VULN|3DUR|2LIT|1CDMG	12689VULN|359DUR|49LIT|7RCR|9BPWR|aCDMG
6	33453 15211	5	 * 	295.90	DCR|5VULN|2DMG|2CDMG|1ASPD	1279aVULN|3aDMG|4ASPD|5ZMB|6aCDMG|8RCR|aBPWR
7	33454 13211	5	   	292.61	DCR|4VULN|2DMG|2CDMG|1TLV|1ASPD	1279VULN|37DMG|4ASPD|5TLV|67CDMG|7BPWR|8RCR|aLWND
8	33454 13213	5	   	292.61	DCR|4VULN|2DMG|2CDMG|1TLV|1ASPD	1279VULN|37DMG|4ASPD|5TLV|67CDMG|7BPWR|8RCR|aCGEN
9	33211 54223	4	 * 	292.47	DCR|4VULN|2DMG|2DUR|1TLV	129aVULN|3aDUR|4CGEN|5TLV|6aDMG|7RMIN|8RCR|aBPWR
10	33211 55433	4	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	127aVULN|3aDUR|4CGEN|5TLV|6aDMG|8RCR|9RMIN|aBPWR
11	33216 54223	5	   	292.47	DCR|4VULN|2DMG|2DUR|1TLV	129aVULN|3aDUR|4CGEN|5TLV|6aDMG|7RMIN|8RCR|aBPWR
12	23313 13451	6	   	292.01	DCR|4VULN|3DMG|3LIT|1ASPD	179LIT|2ASPD|379DMG|4679VULN|5RPLT|79BPWR|8BBNT|aRCR
13	33453 13212	4	   	292.01	DCR|4VULN|3DMG|2CDMG|1ASPD	1279VULN|37aDMG|4ASPD|5CGEN|67CDMG|7BPWR|8RCR
14	33454 13212	4	   	292.01	DCR|4VULN|3DMG|2CDMG|1ASPD	1279VULN|37aDMG|4ASPD|5MLV|67CDMG|7BPWR|8RCR
15	33456 13212	5	   	292.01	DCR|4VULN|3DMG|2CDMG|1ASPD	1279VULN|37aDMG|4ASPD|5CGEN|67CDMG|7BPWR|8RCR
16	33233 36161	10	   	291.30	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aFEWX
17	33233 36161	9	   	291.30	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aFEWX
18	33233 36162	9	   	291.30	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aLHND
19	33233 36163	10	   	291.30	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aBEXP
20	33233 36165	10	   	291.30	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aRMIN
21	33233 36165	9	   	291.30	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aLWND
22	33233 36162	10	   	291.20	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aDUST
23	33233 36163	9	   	291.20	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aLEGI
24	33233 36164	9	   	291.20	DCR|5VULN|3DUR|3LIT	12689VULN|359DUR|459LIT|59BPWR|7RCR|aDUST
25	33233 36166	9	   	291.20	DCR|5VULN|3DUR|3LIT|1NUKE	12689VULN|359DUR|459LIT|59BPWR|7RCR|aNUKE
