0	Index      	Bounty	 *	Score 	Summary	Detail	
1	23261 22231	8	 * 	293.88	DCR|5VULN|2TLV|3CDMG|1DMG	17TLV|257CDMG|3467aVULN|7BPWR|8RCR|9DMG
2	11335 12622	8	 * 	288.94	DCR|3VULN|2TLV|2DUR|3LIT|1DMG|1AART	13aLIT|23aVULN|3aBPWR|4AART|5DMG|67DUR|8RCR|9aTLV
3	23261 22236	9	 * 	288.77	DCR|5VULN|3TLV|3CDMG|2LIT	17aTLV|257CDMG|3467aVULN|7aBPWR|8RCR|9aLIT
4	11364 35332	9	   	287.35	DCR|3VULN|2DUR|1TLV|3LIT|1DMG|2ASPD	139LIT|239VULN|39BPWR|46DUR|5DMG|7RCR|89ASPD|aTLV
5	35153 22162	5	 * 	284.04	ACR|4VULN|3DMG|3DUR|3ASPD|1NUKE	1NUKE|279aVULN|367DUR|4RCR|579DMG|79aBPWR|89aASPD
6	23261 22254	10	   	283.48	DCR|5VULN|2TLV|3CDMG|1AART	17TLV|257CDMG|3467aVULN|7BPWR|8RCR|9AART
7	23261 22235	9	   	282.12	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|3467aVULN|7BPWR|8RCR|9LIT
8	23261 22242	8	   	282.12	DCR|5VULN|2TLV|3CDMG	17TLV|257CDMG|34679VULN|7BPWR|8RCR|aASPD
9	23262 35633	4	   	281.55	DCR|5VULN|1TLV|1DMG|1CDMG	1TLV|2CDMG|34679VULN|5LIT|8RCR|aDMG
10	23261 22251	10	   	281.38	DCR|4VULN|2TLV|3CDMG|1DUR|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aDUR
11	23261 22256	9	   	281.38	DCR|4VULN|2TLV|3CDMG|1DUR|1AART	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9AART|aDUR
12	11333 36562	7	 * 	281.26	DCR|3VULN|2DMG|1TLV|3LIT|1CDMG|1AART	13aLIT|23aVULN|3aBPWR|4AART|5RCVC|6TLV|7RCR|8CDMG|9aDMG
13	21748 52131	4	 * 	280.99	DCR|2VULN|3DMG|3DUR|2TLV	17TLV|2MBVNT|38VULN|479DMG|57aDUR|6RCR|7BPWR
14	21743 22155	4	 * 	280.27	DCR|4VULN|2TLV|2DUR|1DMG	17TLV|2MBVNT|3789VULN|4DMG|5LWND|67DUR|7BPWR|aRCR
15	21744 22155	5	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	17TLV|2MBVNT|3789VULN|4DMG|5FEWX|67DUR|7BPWR|aRCR
16	21744 22155	6	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	17TLV|2MBVNT|3789VULN|4DMG|5FEWX|67DUR|7BPWR|aRCR
17	21144 42155	5	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	17TLV|2MBVNT|37DUR|4DMG|5FEWX|6789VULN|7BPWR|aRCR
18	11363 32146	7	 * 	279.75	DCR|2VULN|3DMG|2DUR|1TLV|3LIT	13aLIT|23VULN|3aBPWR|4aDUR|5FEWX|6TLV|7RCR|89aDMG
19	11361 12146	7	   	279.65	DCR|2VULN|3DMG|2DUR|1TLV|3LIT	13aLIT|23VULN|3aBPWR|4aDUR|5TLV|6DUST|7RCR|89aDMG
20	21142 58434	9	 * 	277.97	DCR|3VULN|3DMG|3TLV|1DUR	19aTLV|2MBVNT|3DUR|49aDMG|5CGEN|6BEXP|7RCR|89aVULN|9aBPWR
21	21743 67242	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	17TLV|2MBVNT|367VULN|479DMG|5BELT|7BPWR|8RCR|aDUR
22	11361 12146	4	 * 	277.45	DCR|5VULN|3DUR|3LIT	13aLIT|23678VULN|36BPWR|456DUR|9RCR
23	21143 62744	10	 * 	276.80	DCR|3VULN|2DMG|2TLV|2DUR	1aTLV|2MBVNT|39DUR|4aDMG|5BELT|67aVULN|8RCR|aBPWR
24	21748 52121	4	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17TLV|2MBVNT|38aVULN|47DMG|57DUR|6RCR|7BPWR|9ZMB
25	21144 42135	5	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17TLV|2MBVNT|37DUR|49DMG|5FEWX|678VULN|7BPWR|aRCR
26	21744 22135	5	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17TLV|2MBVNT|378VULN|49DMG|5FEWX|67DUR|7BPWR|aRCR
27	21744 22135	6	   	276.80	DCR|3VULN|2DMG|2TLV|2DUR	17TLV|2MBVNT|378VULN|49DMG|5FEWX|67DUR|7BPWR|aRCR
28	11335 14313	6	 * 	276.43	DCR|2VULN|3DMG|3DUR|3LIT|1AART	139LIT|23VULN|39BPWR|4AART|579DMG|689DUR|aRCR
29	11364 63123	6	 * 	276.13	DCR|3VULN|2DMG|2DUR|3LIT|1CDMG	137LIT|23aVULN|37BPWR|47DUR|57DMG|6RCR|8DUST|9CDMG
30	23261 22232	8	   	275.54	DCR|4VULN|2TLV|3CDMG|1DMG	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9DMG|aBEXP
31	23261 22236	8	   	275.54	DCR|4VULN|2TLV|3CDMG|1DMG	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9DMG|aLWND
32	23261 22233	8	   	275.44	DCR|4VULN|2TLV|3CDMG|1DMG	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9DMG|aBBNT
33	23261 22234	8	   	275.44	DCR|4VULN|2TLV|3CDMG|1DMG	17TLV|257CDMG|3467VULN|7BPWR|8RCR|9DMG|aDUST
34	21738 52131	4	   	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	17TLV|2MBVNT|38aVULN|47ASPD|57DUR|6RCR|7BPWR|9DMG
35	21748 52131	3	   	275.37	DCR|3VULN|2TLV|2DUR|1DMG|2ASPD	17TLV|2MBVNT|38aVULN|47ASPD|57DUR|6RCR|7BPWR|9DMG
