0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13332 55242	8	 * 	311.28	DCR|4VULN|3DUR|2DMG|3TLV	127aVULN|3RPLT|478DUR|57aTLV|6RCR|7aBPWR|9aDMG
2	13115 16114	6	 * 	310.59	DCR|5VULN|2DUR|1TLV|1DMG|2CDMG	1278aVULN|3aCDMG|4TLV|5DMG|6RCR|9aDUR|aBPWR
3	13141 16114	6	   	310.59	DCR|5VULN|2DUR|1TLV|1DMG|2CDMG	1278aVULN|3aCDMG|4DMG|5TLV|6RCR|9aDUR|aBPWR
4	13115 12124	6	   	305.48	DCR|4VULN|3DUR|1TLV|1DMG|2CDMG	129aVULN|3aCDMG|4TLV|5DMG|6RCR|78aDUR|aBPWR
5	13141 12124	6	   	305.48	DCR|4VULN|3DUR|1TLV|1DMG|2CDMG	129aVULN|3aCDMG|4DMG|5TLV|6RCR|78aDUR|aBPWR
6	15115 12124	6	   	305.48	DCR|4VULN|3DUR|1TLV|1DMG|2CDMG	129aVULN|2aBPWR|3aCDMG|4TLV|5DMG|6RCR|78aDUR
7	15141 12124	6	   	305.48	DCR|4VULN|3DUR|1TLV|1DMG|2CDMG	129aVULN|2aBPWR|3aCDMG|4DMG|5TLV|6RCR|78aDUR
8	13115 12424	6	   	300.33	DCR|4VULN|2TLV|2DUR|1DMG|2CDMG	129aVULN|3aCDMG|48TLV|5DMG|6RCR|7aDUR|aBPWR
9	13141 12424	6	   	300.33	DCR|4VULN|2TLV|2DUR|1DMG|2CDMG	129aVULN|3aCDMG|4DMG|58TLV|6RCR|7aDUR|aBPWR
10	13161 16114	6	   	298.84	DCR|5VULN|2DUR|1TLV|2CDMG	1278aVULN|3aCDMG|4ASPD|5TLV|6RCR|9aDUR|aBPWR
11	13521 13113	7	 * 	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1278aVULN|3aMLV|47CDMG|57TLV|6RCR|7aBPWR|9aDUR
12	13521 13123	9	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aMLV|47CDMG|57TLV|6RCR|7aBPWR|8aDUR
13	13521 13123	8	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aMLV|47CDMG|57TLV|6RCR|7aBPWR|8aDUR
14	13521 13125	10	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aMLV|47CDMG|57TLV|6RCR|7aBPWR|8aDUR
15	15521 13113	7	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1278aVULN|27aBPWR|3aMLV|47CDMG|57TLV|6RCR|9aDUR
16	15521 13123	9	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aMLV|47CDMG|57TLV|6RCR|8aDUR
17	15521 13123	8	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aMLV|47CDMG|57TLV|6RCR|8aDUR
18	15521 13125	10	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|27aBPWR|3aMLV|47CDMG|57TLV|6RCR|8aDUR
19	13111 13113	7	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1278aVULN|3aCDMG|47TLV|57MLV|6RCR|7aBPWR|9aDUR
20	13111 13123	8	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
21	13111 13123	9	   	298.81	DCR|5VULN|2TLV|2DUR|2CDMG	1279aVULN|3aCDMG|47TLV|57MLV|6RCR|7aBPWR|8aDUR
