0	Index      	Bounty	 *	Score 	Summary	Detail	
1	21543 34311	6	 * 	286.19	DCR|4VULN|2DMG|1DUR|1CDMG|1ASPD	16DMG|2ASPD|3DUR|4567VULN|6BPWR|8LWND|9CDMG|aRCR
2	21353 74311	10	 * 	286.04	DCR|5VULN|2DMG|2ASPD	1aDMG|2aASPD|3MBVNT|4569aVULN|7RCR|8RMIN|aBPWR
3	21353 74312	9	   	286.04	DCR|5VULN|2DMG|2ASPD	1aDMG|2aASPD|3MBVNT|4569aVULN|7RCR|8RMIN|aBPWR
4	21353 74342	8	   	286.04	DCR|5VULN|2DMG|2ASPD	1aDMG|2aASPD|3MBVNT|4569aVULN|7RCR|8RMIN|aBPWR
5	21356 74311	10	 * 	282.16	DCR|4VULN|3DMG|2ASPD	15aDMG|2aASPD|3MBVNT|469aVULN|7RCR|8RMIN|aBPWR
6	21356 74312	9	   	282.16	DCR|4VULN|3DMG|2ASPD	15aDMG|2aASPD|3MBVNT|469aVULN|7RCR|8RMIN|aBPWR
7	21356 74342	8	   	282.16	DCR|4VULN|3DMG|2ASPD	15aDMG|2aASPD|3MBVNT|469aVULN|7RCR|8RMIN|aBPWR
8	23643 34323	6	   	280.98	DCR|5VULN|2DMG|1DUR	16DMG|2DUR|3ZMB|45678VULN|6BPWR|9BBNT|aRCR
9	22514 13432	1	 * 	280.91	DCR|4VULN|3DMG|2CDMG	13aDMG|2BBNT|3aBPWR|479aVULN|5RMIN|6aCDMG|8RCR
10	14115 23251	1	 * 	278.75	DCR|3VULN|3DUR|3LIT|1DMG|1AART	189LIT|278DUR|3BBNT|489VULN|5AART|6RCR|89BPWR|aDMG
11	14343 23251	1	   	278.75	DCR|3VULN|3DUR|3LIT|1DMG|1AART	189LIT|278DUR|3AART|4TBNT|589VULN|6RCR|89BPWR|aDMG
12	16452 24345	8	 * 	278.33	DCR|3VULN|3DMG|3LIT|2TLV	148LIT|2MBVNT|3RMIN|48aBPWR|5aTLV|68aVULN|78aDMG|9RCR
13	16472 24345	8	   	278.33	DCR|3VULN|3DMG|3LIT|2TLV	148LIT|2MBVNT|3RMIN|5aTLV|68aVULN|78aDMG|8aBPWR|9RCR
14	21543 31111	8	 * 	278.14	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	16DMG|2ASPD|38DUR|456VULN|6BPWR|7BEXP|9CDMG|aRCR
15	21543 34211	9	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	16DMG|2ASPD|38DUR|456VULN|6BPWR|7CDMG|9DUST|aRCR
16	21543 35111	8	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	16DMG|2ASPD|38DUR|456VULN|6BPWR|7LEGI|9CDMG|aRCR
17	21344 78131	4	 * 	277.23	DCR|2VULN|3DMG|2ASPD|2CDMG|1DUR	168DMG|28ASPD|3MBVNT|4LIT|56CDMG|68BPWR|78VULN|9DUR|aRCR
18	21374 78131	3	   	277.23	DCR|2VULN|3DMG|2ASPD|2CDMG|1DUR	168DMG|28ASPD|3MBVNT|4LIT|56CDMG|68BPWR|78VULN|9DUR|aRCR
19	23323 15461	7	 * 	276.12	DCR|4VULN|2DMG|2DUR|1NUKE	19DMG|29DUR|3FEWX|4LHND|589aVULN|6NUKE|7RCR|9BPWR
20	23323 15461	8	   	276.12	DCR|4VULN|2DMG|2DUR|1NUKE	19DMG|29DUR|3FEWX|4LHND|589aVULN|6NUKE|7RCR|9BPWR
21	64212 33423	4	 * 	276.11	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	19CDMG|24VULN|389DUR|5TLV|6ZMB|79DMG|9BPWR|aRCR
22	64222 33423	3	   	276.11	DCR|2VULN|3DUR|2DMG|2CDMG|1TLV	19CDMG|24VULN|389DUR|5TLV|6ZMB|79DMG|9BPWR|aRCR
23	23123 15461	8	   	276.02	DCR|4VULN|2DMG|2DUR|1NUKE	19DMG|29DUR|3DUST|4LHND|589aVULN|6NUKE|7RCR|9BPWR
