0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15211 33134	6	 * 	302.53	DCR|3VULN|3DMG|3DUR|2TLV	147DUR|2DMSP|349DMG|47BPWR|57TLV|678VULN|aRCR
2	11623 45231	6	   	300.52	DCR|3VULN|3DUR|2DMG|3LIT|1CDMG	178DUR|278LIT|3CGEN|4CDMG|578VULN|6RCR|78BPWR|9aDMG
3	65231 62322	8	 * 	300.04	DCR|4VULN|3DMG|3ASPD|1SELL	1678VULN|2DMSP|378DMG|478ASPD|5SELL|78BPWR|9RCR|aLIT
4	15211 36221	9	   	296.53	DCR|3VULN|3DUR|2DMG|2TLV	14aDUR|2DMSP|34DMG|4aBPWR|5aTLV|69aVULN|7AART|8RCR
5	61135 31233	8	 * 	295.94	DCR|5VULN|2DMG|1DUR|2LIT	13579VULN|29LIT|4ERES|6DUR|89DMG|9BPWR|aRCR
6	66213 53311	2	 * 	295.53	DCR|4VULN|2DMG|2DUR|1ASPD	1489VULN|2RMIN|3LIT|58DMG|6RCR|78DUR|8BPWR|aASPD
7	64153 32333	1	 * 	294.33	DCR|5VULN|3ASPD|3LIT|1TLV	14689VULN|289ASPD|3FEWX|5TLV|789LIT|89BPWR|aRCR
8	61135 32333	6	   	294.23	DCR|5VULN|3ASPD|3LIT|1DUR	13589VULN|289LIT|4ERES|6DUR|789ASPD|89BPWR|aRCR
9	11143 42315	5	 * 	292.93	DCR|5VULN|2DUR|1DMG|2LIT	18DUR|28LIT|34689VULN|5LEGI|7RCR|8BPWR|aDMG
10	15211 32234	9	   	292.37	DCR|4VULN|2DMG|2DUR|1TLV	14DUR|2DMSP|34DMG|4BPWR|5TLV|689aVULN|7RCR
11	65231 62323	8	 * 	291.73	DCR|4VULN|3DMG|3ASPD|1SELL	1678VULN|2DMSP|378DMG|478ASPD|5SELL|78BPWR|9RCR|aLWND
12	16633 31621	1	 * 	291.68	DCR|4VULN|3DUR|3TLV|1DMG|1SELL	179DUR|279TLV|3DMG|4SELL|5MLV|6789VULN|79BPWR|aRCR
13	65231 62312	8	 * 	291.63	DCR|4VULN|3DMG|3ASPD|1SELL	1678VULN|2DMSP|378DMG|478ASPD|5SELL|78BPWR|9TBNT|aRCR
14	65231 62321	8	 * 	291.63	DCR|4VULN|3DMG|3ASPD|1SELL	1678VULN|2DMSP|378DMG|478ASPD|5SELL|78BPWR|9RCR|aERES
15	66213 53312	2	   	291.08	DCR|4VULN|2DMG|2DUR|2LIT	1489VULN|2RMIN|3aLIT|58DMG|6RCR|78DUR|8BPWR
16	61115 51233	8	   	290.79	DCR|5VULN|2DMG|2LIT|1ASPD	13579VULN|29LIT|4LWND|6ASPD|89DMG|9BPWR|aRCR
17	11143 42311	5	   	289.12	DCR|5VULN|2DUR|1TLV|2LIT	18DUR|28LIT|34689VULN|5LEGI|7RCR|8BPWR|aTLV
18	11123 42345	5	 * 	286.62	DCR|4VULN|3DUR|1DMG|2LIT	148DUR|28LIT|3689VULN|5LEGI|7RCR|8BPWR|aDMG
19	11143 42335	5	   	286.62	DCR|4VULN|3DUR|1DMG|2LIT	189DUR|28LIT|3468VULN|5LEGI|7RCR|8BPWR|aDMG
20	11141 42315	4	   	286.48	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34689VULN|58BEXP|7RCR|8BPWR|aDMG
21	11142 12315	4	   	286.48	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34589VULN|68LHND|7RCR|8BPWR|aDMG
22	11142 32315	4	   	286.48	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34589VULN|68FEWX|7RCR|8BPWR|aDMG
23	11145 12315	5	   	286.48	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34589VULN|68LHND|7RCR|8BPWR|aDMG
24	11145 32315	5	   	286.48	DCR|5VULN|2DUR|1DMG	18DUR|2LIT|34589VULN|68FEWX|7RCR|8BPWR|aDMG
25	21143 42315	4	   	286.48	DCR|5VULN|2DUR|1DMG	18FEWX|2LIT|34689VULN|58DUR|7RCR|8BPWR|aDMG
