0	Index      	Bounty	 *	Score 	Summary	Detail	
1	52231 33234	10	 * 	283.25	DCR|4VULN|2DMG|1DUR|1CDMG|1SELL	1LIT|26DMG|346aVULN|5SELL|6BPWR|7RCR|8DUR|9CDMG
2	52231 35512	8	 * 	281.21	DCR|4VULN|2DMG|2ASPD|2LIT|1SELL	18LIT|26DMG|3468VULN|5SELL|68BPWR|78ASPD|9ERES|aRCR
3	52351 11352	3	 * 	277.91	DCR|3VULN|3DMG|2LIT|1CDMG|1ASPD	19LIT|269DMG|3CDMG|4CGEN|589VULN|7RCR|9BPWR|aASPD
4	52231 33222	8	 * 	277.80	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9TLV
5	52231 33222	7	 * 	277.80	DCR|3VULN|2DMG|2DUR|1TLV|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8aDUR|9TLV
6	52231 33233	10	   	276.86	DCR|3VULN|2DMG|1DUR|1TLV|1CDMG|1SELL	1LIT|26DMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG|aTLV
7	52231 33355	8	 * 	276.35	DCR|4VULN|2DMG|1DUR|2LIT|1SELL	19LIT|26DMG|3469VULN|5SELL|69BPWR|7RCR|89CGEN|aDUR
8	52231 33145	8	   	276.27	DCR|3VULN|3DMG|1DUR|1CDMG|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9CDMG|aDUR
9	52231 33146	8	   	276.27	DCR|3VULN|3DMG|1TLV|1CDMG|1SELL	1LIT|268DMG|346VULN|5SELL|6BPWR|7RCR|9CDMG|aTLV
10	52231 33231	9	   	276.27	DCR|3VULN|3DMG|1DUR|1CDMG|1SELL	1LIT|26aDMG|346VULN|5SELL|6BPWR|7RCR|8DUR|9CDMG
11	52233 33164	10	 * 	275.84	DCR|2VULN|3DMG|2DUR|3LIT|1CDMG	15aLIT|28aDMG|34VULN|6CDMG|7RCR|9aDUR|aBPWR
12	52231 33163	9	 * 	275.56	DCR|4VULN|3DMG|2LIT|1SELL	19LIT|268DMG|346aVULN|5SELL|6BPWR|7RCR
13	52231 33553	7	 * 	275.56	DCR|4VULN|3DMG|2LIT|1SELL	18LIT|269DMG|346aVULN|5SELL|6BPWR|7RCR
