0	Index      	Bounty	 *	Score 	Summary	Detail	
1	33114 25333	8	 * 	273.65	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DUST|239aVULN|4DMG|5CDMG|6DUR|7RCR|8TLV
2	33114 42151	10	 * 	269.51	DCR|3VULN|2DUR|2TLV|1DMG|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aTLV|7FEWX|8RCR|9aDUR|aBPWR
3	33114 25323	9	 * 	268.60	DCR|3VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|23aVULN|49DMG|5CDMG|6DUR|7RCR|8TLV
4	33114 25433	8	   	268.41	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUST|239aVULN|4DMG|5CDMG|6DUR|7RCR|8ASPD
5	33114 26623	6	   	268.41	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUST|237aVULN|4DMG|5CDMG|6DUR|8RCR|9ASPD
6	33114 26623	7	   	268.41	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DUST|237aVULN|4DMG|5CDMG|6DUR|8RCR|9ASPD
7	33144 23361	10	 * 	267.13	DCR|3VULN|2DMG|2DUR|1CDMG	1DUST|23aVULN|4CGEN|5CDMG|6aDUR|7BEXP|8RCR|9aDMG|aBPWR
8	13114 25341	10	   	265.90	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1FEWX|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8TLV|9aLHND|aBPWR
9	33114 25331	10	   	265.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8TLV|9aFEWX|aBPWR
10	33114 25341	10	   	265.80	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|6aDUR|7RCR|8TLV|9aLHND|aBPWR
11	33114 25353	9	   	265.60	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1DUST|23aVULN|4DMG|5CDMG|69DUR|7RCR|8TLV
12	13114 25423	10	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1FEWX|23aVULN|49DMG|5CDMG|6DUR|7RCR|8ASPD
13	33111 33623	7	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUST|23aVULN|46DMG|5DUR|7CDMG|8RCR|9ASPD
14	33111 34623	6	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUST|23aVULN|46DMG|5DUR|7CDMG|8RCR|9ASPD
15	33114 25423	10	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUST|23aVULN|49DMG|5CDMG|6DUR|7RCR|8ASPD
16	33114 25423	9	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUST|23aVULN|49DMG|5CDMG|6DUR|7RCR|8ASPD
17	33114 25523	7	   	263.35	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DUST|23aVULN|48DMG|5CDMG|6DUR|7RCR|9ASPD
18	22152 31663	2	   	262.16	DCR|3VULN|2DMG|2LIT|1CDMG|1ASPD	1ZMB|24LIT|34aVULN|4BPWR|5ASPD|6RCR|7CDMG|89DMG
19	13114 45133	8	 * 	261.22	DCR|4VULN|2TLV|1DMG|1CDMG	1FEWX|238aVULN|4DMG|5CDMG|67TLV|9RCR
20	32155 22111	4	 * 	261.04	DCR|4VULN|3DMG	157DUST|29CGEN|37FEWX|4579VULN|579BPWR|6RCR|89aDMG
21	13111 54116	10	   	260.00	DCR|4VULN|1DMG|1TLV|1DUR	1FEWX|239aVULN|4DMG|5DUR|6TLV|7ERES|8RCR
22	33111 54116	10	   	259.90	DCR|4VULN|1DMG|1DUR|1TLV	1DUST|239aVULN|4DMG|5DUR|6TLV|7ERES|8RCR
23	13114 25335	8	   	259.42	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG	1FEWX|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aLIT
24	33114 25335	8	   	259.32	DCR|3VULN|1DMG|1DUR|1TLV|1CDMG	1DUST|239VULN|4DMG|5CDMG|6DUR|7RCR|8TLV|aLIT
25	32155 22116	4	   	259.04	DCR|4VULN|2DMG|1CDMG	157DUST|29CGEN|37FEWX|4579VULN|579BPWR|6RCR|89DMG|aCDMG
26	22153 21156	2	   	258.81	DCR|4VULN|1DMG|1DUR|2LIT	1ZMB|24LIT|3456VULN|4BPWR|7BEXP|8DUR|9RCR|aDMG
27	22115 34621	9	 * 	258.54	DCR|4VULN|2DUR|3LIT	178ZMB|278LIT|3LEGI|4DLOT|578aVULN|6RCR|78aBPWR|9aDUR
28	22153 22424	2	 * 	258.28	DCR|5VULN|1DUR|2LIT	1ZMB|24LIT|34567VULN|4BPWR|8CGEN|9DUR|aRCR
29	13114 42133	8	   	257.50	DCR|4VULN|1DMG|1TLV|1CDMG	17FEWX|238aVULN|4DMG|5CDMG|6TLV|9RCR
30	33114 42133	8	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1DUST|239aVULN|4DMG|5CDMG|6TLV|7FEWX|8RCR
31	33114 46133	8	   	257.40	DCR|4VULN|1DMG|1TLV|1CDMG	1DUST|239aVULN|4DMG|5CDMG|6TLV|7BEXP|8RCR
32	33114 25363	9	 * 	257.32	DCR|3VULN|1DMG|2CDMG|1TLV|1DUR	1DUST|23aVULN|4DMG|59CDMG|6DUR|7RCR|8TLV
33	33114 24133	8	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|239aVULN|4DMG|5CDMG|6DUR|7ERES|8RCR
34	33114 25333	7	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|239aVULN|4DMG|5CDMG|6DUR|7RCR|8ERES
35	33114 26633	7	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|237aVULN|4DMG|5CDMG|6DUR|8RCR|9ERES
36	33114 26633	6	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1DUST|237aVULN|4DMG|5CDMG|6DUR|8RCR|9ERES
37	13114 25533	9	   	256.85	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	19FEWX|23VULN|49DMG|5CDMG|6DUR|7RCR|89LIT|9BPWR|aTLV
38	33114 25533	9	   	256.65	DCR|2VULN|2DMG|1DUR|1TLV|2LIT|1CDMG	19DUST|23VULN|49DMG|5CDMG|6DUR|7RCR|89LIT|9BPWR|aTLV
39	13112 12121	8	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19FEWX|23VULN|49DMG|5CGEN|6TLV|79DUR|8RCR|9BPWR|aCDMG
40	13112 12621	7	   	256.57	DCR|2VULN|2DMG|2DUR|1TLV|1CDMG	19FEWX|23VULN|49DMG|5CGEN|6TLV|79DUR|8RCR|9BPWR|aCDMG
41	13111 12536	9	   	256.13	DCR|3VULN|1DMG|2CDMG|1DUR|2LIT	1FEWX|239VULN|4DMG|5DUR|69LIT|7DUST|89CDMG|9BPWR|aRCR
42	33115 13536	9	   	256.13	DCR|3VULN|1DMG|2CDMG|1DUR|2LIT	1DUST|239VULN|4DMG|5FEWX|69LIT|7DUR|89CDMG|9BPWR|aRCR
43	13115 12414	4	 * 	255.45	DCR|5VULN|1DMG	1FEWX|23678VULN|4DMG|5LIT|9CGEN|aRCR
44	13114 25532	10	   	255.18	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	19FEWX|23VULN|49DMG|5CDMG|6aDUR|7RCR|89LIT|9BPWR
45	13111 35323	8	   	255.05	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|23aVULN|46DMG|5DUR|7RPLT|8TLV|9RCR
46	33114 25532	10	   	254.98	DCR|2VULN|2DMG|2DUR|2LIT|1CDMG	19DUST|23VULN|49DMG|5CDMG|6aDUR|7RCR|89LIT|9BPWR
47	13111 54126	10	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|23aVULN|49DMG|5DUR|6TLV|7ERES|8RCR
48	13111 22342	8	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|23aVULN|47DMG|5DUR|6MBVNT|8TLV|9RCR
49	13111 34342	8	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1FEWX|23aVULN|46DMG|5DUR|7MBVNT|8TLV|9RCR
50	33111 35323	8	   	254.95	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|23aVULN|46DMG|5DUR|7RPLT|8TLV|9RCR
51	33111 54126	10	   	254.85	DCR|3VULN|2DMG|1DUR|1TLV	1DUST|23aVULN|49DMG|5DUR|6TLV|7ERES|8RCR
52	33111 22342	8	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|23aVULN|47DMG|5DUR|6MBVNT|8TLV|9RCR
53	33111 34342	8	   	254.85	DCR|3VULN|2DMG|1TLV|1DUR	1DUST|23aVULN|46DMG|5DUR|7MBVNT|8TLV|9RCR
