0	Index      	Bounty	 *	Score 	Summary	Detail	
1	26127 13334	10	 * 	298.92	DCR|4VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478aVULN|6RCR|7BPWR|9DUR
2	26127 13154	10	   	291.52	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	157DMG|27TLV|3MBVNT|47aVULN|6RCR|7BPWR|8DUR|9CDMG
3	26127 13334	9	   	291.52	DCR|3VULN|3DMG|2TLV|1DUR|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aCDMG
4	26127 13333	8	   	290.98	DCR|4VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478aVULN|6RCR|7BPWR|9ASPD
5	23415 11316	1	   	288.84	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2357VULN|3BPWR|4DUR|6CDMG|8TLV|9CGEN|aRCR
6	23435 11334	1	   	288.74	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	13DMG|2357VULN|3BPWR|4LEGI|6CDMG|8TLV|9DUR|aRCR
7	14216 33336	10	 * 	288.67	DCR|4VULN|2TLV|2DUR|1DMG	17DUR|237aVULN|4LWND|5DMG|67TLV|7BPWR|8RCR|9LIT
8	14224 63231	10	 * 	286.62	DCR|5VULN|2DUR|1TLV|2ASPD	1aDUR|2347aVULN|5TLV|6ERES|8aASPD|9RCR|aBPWR
9	26181 12832	10	 * 	286.18	DCR|3VULN|3DMG|3TLV|1DUR	189DMG|289TLV|3MBVNT|4ASPD|5ERES|6RCR|789VULN|89BPWR|aDUR
10	26127 13338	10	   	286.18	DCR|3VULN|3DMG|2TLV|1DUR	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9DUR|aASPD
11	16254 43348	10	 * 	285.11	DCR|3VULN|2DMG|2TLV|2DUR	17DUR|2MBVNT|368VULN|47DMG|57TLV|7BPWR|9ASPD|aRCR
12	23346 23125	2	   	284.99	DCR|4VULN|2DMG|2TLV	19DMG|2LIT|3AART|4BBNT|569aVULN|7RCR|89TLV|9BPWR
13	26127 13346	8	   	284.94	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aAART
14	26127 13324	8	   	283.58	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9LIT|aCDMG
15	26127 13344	8	   	283.58	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|478VULN|6RCR|7BPWR|9CDMG|aASPD
16	26127 13514	8	   	283.58	DCR|3VULN|3DMG|2TLV|1CDMG	157DMG|27TLV|3MBVNT|479VULN|6RCR|7BPWR|8LIT|aCDMG
17	26127 13344	10	   	282.67	DCR|4VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478aVULN|6RCR|7BPWR|9BEXP
18	26127 13313	10	   	282.57	DCR|4VULN|3DMG|2TLV	157DMG|27TLV|3MBVNT|478aVULN|6RCR|7BPWR|9DLOT
19	26127 13315	9	 * 	282.57	DCR|4VULN|3DMG|3TLV	157DMG|27aTLV|3MBVNT|478aVULN|6RCR|7aBPWR|9DLOT
