0	Index      	Bounty	 *	Score 	Summary	Detail	
1	12431 23326	2	 * 	313.51	DCR|4VULN|3DMG|3DUR	1478VULN|234DMG|478BPWR|578DUR|6RMIN|9LIT|aRCR
2	14431 23326	1	   	313.51	DCR|4VULN|3DMG|3DUR	1478VULN|234DMG|478BPWR|578DUR|6RMIN|9LIT|aRCR
3	12132 52216	2	 * 	312.98	DCR|5VULN|3DMG|1TLV|1DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9DUR|aTLV
4	14132 52216	1	   	312.98	DCR|5VULN|3DMG|1TLV|1DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9DUR|aTLV
5	25611 11321	1	 * 	311.32	DCR|5VULN|3DMG|2DUR	18DUR|23568VULN|458DMG|58BPWR|7BBNT|9DUST|aRCR
6	25611 11342	1	   	311.32	DCR|5VULN|3DMG|2DUR	18DUR|23568VULN|458DMG|58BPWR|7BBNT|9ERES|aRCR
7	12132 52212	2	   	311.32	DCR|5VULN|3DMG|2DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9aDUR
8	12136 11321	2	   	311.32	DCR|5VULN|3DMG|2DUR	13468VULN|248DMG|48BPWR|58DUR|7BBNT|9DUST|aRCR
9	12136 11342	2	   	311.32	DCR|5VULN|3DMG|2DUR	13468VULN|248DMG|48BPWR|58DUR|7BBNT|9ERES|aRCR
10	12136 12256	2	   	311.32	DCR|5VULN|3DMG|2DUR	13468VULN|248DMG|48BPWR|58DUR|7MBVNT|9TBNT|aRCR
11	14132 52212	1	   	311.32	DCR|5VULN|3DMG|2DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9aDUR
12	14136 11321	1	   	311.32	DCR|5VULN|3DMG|2DUR	13468VULN|248DMG|48BPWR|58DUR|7BBNT|9DUST|aRCR
13	14136 11342	1	   	311.32	DCR|5VULN|3DMG|2DUR	13468VULN|248DMG|48BPWR|58DUR|7BBNT|9ERES|aRCR
14	12132 52224	2	   	305.04	DCR|5VULN|3DMG|1TLV	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9LIT|aTLV
15	14132 52224	1	   	305.04	DCR|5VULN|3DMG|1TLV	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9LIT|aTLV
16	25611 61321	1	   	305.00	DCR|4VULN|3DMG|3DUR	168DUR|2358VULN|458DMG|58BPWR|7BBNT|9DUST|aRCR
17	12136 61321	2	   	305.00	DCR|4VULN|3DMG|3DUR	1348VULN|248DMG|48BPWR|568DUR|7BBNT|9DUST|aRCR
18	12136 61342	2	   	305.00	DCR|4VULN|3DMG|3DUR	1348VULN|248DMG|48BPWR|568DUR|7BBNT|9ERES|aRCR
19	12136 61351	2	   	305.00	DCR|4VULN|3DMG|3DUR	1348VULN|248DMG|48BPWR|568DUR|7BBNT|9LEGI|aRCR
20	14136 61321	1	   	305.00	DCR|4VULN|3DMG|3DUR	1348VULN|248DMG|48BPWR|568DUR|7BBNT|9DUST|aRCR
21	25411 11321	2	   	305.00	DCR|4VULN|3DMG|3DUR	128DUR|3568VULN|458DMG|58BPWR|7BBNT|9DUST|aRCR
22	25411 11342	2	   	305.00	DCR|4VULN|3DMG|3DUR	128DUR|3568VULN|458DMG|58BPWR|7BBNT|9ERES|aRCR
23	25411 11351	2	   	305.00	DCR|4VULN|3DMG|3DUR	128DUR|3568VULN|458DMG|58BPWR|7BBNT|9LEGI|aRCR
24	12463 21353	2	 * 	298.51	DCR|4VULN|3DMG|2ASPD|1DUR	189aVULN|238DMG|4BEXP|5DUR|6RCR|78ASPD|8BPWR
25	12413 52314	4	   	297.76	DCR|4VULN|3DUR|2DMG	178aVULN|28DMG|3FEWX|4LIT|568DUR|8BPWR|9RCR
26	12132 56252	2	   	297.33	DCR|5VULN|2DMG|1TLV|1DUR	13457VULN|24DMG|4BPWR|6RCR|8FEWX|9TLV|aDUR
27	12132 52462	2	   	297.23	DCR|5VULN|2DMG|1TLV|1DUR	13458VULN|24DMG|4BPWR|6RCR|7MBVNT|9TLV|aDUR
28	12136 12465	2	   	297.23	DCR|5VULN|2DMG|1TLV|1DUR	13468VULN|24DMG|4BPWR|5DUR|7MBVNT|9TLV|aRCR
29	14132 52462	1	   	297.23	DCR|5VULN|2DMG|1TLV|1DUR	13458VULN|24DMG|4BPWR|6RCR|7MBVNT|9TLV|aDUR
30	12132 52382	2	   	296.83	DCR|5VULN|3DMG|1DUR	13459VULN|249DMG|49BPWR|6RCR|7MBVNT|89LWND|aDUR
31	12132 52386	2	   	296.83	DCR|5VULN|3DMG|1TLV	13459VULN|249DMG|49BPWR|6RCR|7MBVNT|89LWND|aTLV
32	14132 52382	1	   	296.83	DCR|5VULN|3DMG|1DUR	13459VULN|249DMG|49BPWR|6RCR|7MBVNT|89LWND|aDUR
33	12132 52211	2	   	296.73	DCR|5VULN|3DMG|1DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9DUR|aRPLT
34	12132 52213	2	   	296.73	DCR|5VULN|3DMG|1DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9DUR|aBELT
35	12132 52214	2	   	296.73	DCR|5VULN|3DMG|1DUR	13458VULN|248DMG|48BPWR|6RCR|7MBVNT|9DUR|aDMSP
