0	Index      	Bounty	 *	Score 	Summary	Detail	
1	41112 31625	10	 * 	282.47	ACR|4VULN|3DMG|3DUR|1AART	1AART|289DMG|35DUST|4RCR|689aVULN|789DUR|89BPWR
2	41333 21543	9	 * 	278.90	DCR|3VULN|3DMG|2DUR|1AART	1AART|269DMG|39DUR|4FEWX|5CGEN|79aVULN|8RCR|9BPWR
3	13132 32643	3	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1DUST|25aVULN|3CGEN|4TLV|6RCR|7aDUR|8LIT|9aDMG|aBPWR
4	13622 32643	4	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1DUST|25aVULN|3TLV|4CGEN|6RCR|7aDUR|8LIT|9aDMG|aBPWR
5	23632 32643	3	   	278.04	DCR|3VULN|2DMG|2DUR|1TLV	1ERES|25aVULN|3FEWX|4TLV|6RCR|7aDUR|8LIT|9aDMG|aBPWR
6	36152 22263	3	   	278.04	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	1LEGI|2ASPD|356VULN|46DMG|6BPWR|78DUR|9CDMG|aRCR
7	23123 66141	3	 * 	277.88	DCR|5VULN|2DUR|1DMG	1ERES|23679VULN|45DUR|8RCR|aDMG
8	31164 48714	8	 * 	277.80	DCR|4VULN|3DUR|3CDMG	1LEGI|2BELT|37aDUR|4MBVNT|579aVULN|67aCDMG|7aBPWR|8RCR
9	31164 48744	9	   	277.80	DCR|4VULN|3DUR|3CDMG	1LEGI|2BELT|37aDUR|4MBVNT|579aVULN|67aCDMG|7aBPWR|8RCR
10	12423 12335	6	 * 	275.92	DCR|4VULN|2DMG|2DUR	123DUST|457aVULN|6RCR|8aDUR|9aDMG|aBPWR
11	12423 16335	7	   	275.92	DCR|4VULN|2DMG|2DUR	123DUST|457aVULN|6RCR|8aDUR|9aDMG|aBPWR
12	12425 12335	6	   	275.92	DCR|4VULN|2DMG|2DUR	123DUST|457aVULN|5aBPWR|6RCR|8aDUR|9aDMG
13	33152 22363	3	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1LEGI|2MLV|3568VULN|46DMG|6BPWR|7DUR|9CDMG|aRCR
14	41263 35313	10	   	274.01	DCR|2VULN|2DMG|2DUR|2AART|1TLV|1CDMG	16AART|2aDMG|3BELT|4aDUR|5TLV|7CDMG|8aVULN|9RCR|aBPWR
15	41262 35122	4	 * 	273.80	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV|1AART	1AART|28DMG|3BELT|45DUR|68ASPD|78VULN|8BPWR|9TLV|aRCR
16	41343 35122	4	   	273.80	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV|1AART	1AART|28DMG|34DUR|5BELT|68ASPD|78VULN|8BPWR|9TLV|aRCR
