0	Index      	Bounty	 *	Score 	Summary	Detail	
1	45113 23241	5	 * 	300.28	DCR|4VULN|3DMG|3ASPD	129aVULN|29aBPWR|3CGEN|49aDMG|5LIT|6RCR|7ZMB|89aASPD
2	45113 22241	5	 * 	299.91	DCR|5VULN|3DUR|1DMG	1279aVULN|29aBPWR|39aCGEN|4DMG|5LIT|6RCR|89aDUR
3	45233 42321	10	 * 	287.25	DCR|4VULN|3DMG|3CDMG	127aVULN|27aBPWR|3aLWND|4DMSP|579DMG|67aCDMG|8RCR
4	45333 42321	10	   	287.25	DCR|4VULN|3DMG|3CDMG	127aVULN|27aBPWR|3aLHND|4DMSP|579DMG|67aCDMG|8RCR
5	43433 42321	10	   	287.05	DCR|4VULN|3DMG|3CDMG	137aVULN|2LEGI|37aBPWR|4DMSP|579DMG|67aCDMG|8RCR
6	45113 22231	5	   	286.48	DCR|5VULN|2DUR|1DMG	1279aVULN|2aBPWR|3aCGEN|4DMG|5LIT|6RCR|8aDUR
7	45125 31132	1	 * 	280.19	DCR|3VULN|3DUR|2TLV|1DMG|1ASPD	158VULN|28aDUR|3ASPD|4LWND|6RCR|78TLV|8BPWR|9DMG
8	42262 22215	1	 * 	278.00	DCR|4VULN|3DUR|3CDMG	189aVULN|23BEXP|489CDMG|5DMSP|6RCR|789DUR|89BPWR
9	45162 22211	2	   	278.00	DCR|4VULN|3DUR|3CDMG	1289VULN|289BPWR|3BEXP|489CDMG|5DMSP|6RCR|789DUR|aLWND
10	45162 22212	2	   	278.00	DCR|4VULN|3DUR|3CDMG	1289VULN|289BPWR|3BEXP|489CDMG|5DMSP|6RCR|789DUR|aRMIN
11	45162 22213	2	   	277.90	DCR|4VULN|3DUR|3CDMG	1289VULN|289BPWR|3BEXP|489CDMG|5DMSP|6RCR|789DUR|aTBNT
12	45162 32212	2	   	277.90	DCR|4VULN|3DUR|3CDMG	1289VULN|289BPWR|3BEXP|489CDMG|5DMSP|6LEGI|789DUR|aRCR
13	42262 22213	1	 * 	275.43	DCR|3VULN|3DUR|3CDMG|1DMG	189VULN|23BEXP|489CDMG|5DMSP|6RCR|789DUR|89BPWR|aDMG
14	45233 42311	9	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	127VULN|27BPWR|3LWND|4DMSP|57DMG|67CDMG|8RCR|9TLV|aDUR
15	45333 42311	9	   	275.21	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	127VULN|27BPWR|3LHND|4DMSP|57DMG|67CDMG|8RCR|9TLV|aDUR
16	43433 42311	9	   	275.11	DCR|3VULN|2DMG|2CDMG|1TLV|1DUR	137VULN|2LEGI|37BPWR|4DMSP|57DMG|67CDMG|8RCR|9TLV|aDUR
17	45113 23231	5	   	274.91	DCR|4VULN|2DMG|2ASPD	129aVULN|2aBPWR|3CGEN|4aDMG|5LIT|6RCR|7ZMB|8aASPD
18	45233 42321	9	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	127VULN|27BPWR|3LWND|4DMSP|579DMG|67CDMG|8RCR|aDUR
19	45333 42321	9	   	274.62	DCR|3VULN|3DMG|2CDMG|1DUR	127VULN|27BPWR|3LHND|4DMSP|579DMG|67CDMG|8RCR|aDUR
20	43433 42321	9	   	274.52	DCR|3VULN|3DMG|2CDMG|1DUR	137VULN|2LEGI|37BPWR|4DMSP|579DMG|67CDMG|8RCR|aDUR
21	45215 31133	1	 * 	273.55	DCR|3VULN|2DMG|2DUR|2TLV	158VULN|28DUR|3BEXP|4ZMB|6RCR|78TLV|8BPWR|9aDMG
