0	Index      	Bounty	 *	Score 	Summary	Detail	
1	32121 14264	2	 * 	284.43	DCR|4VULN|2DMG|2DUR	1RPLT|278aVULN|3LIT|47DUR|5DLOT|67DMG|7BPWR|9RCR
2	22553 63311	5	 * 	282.69	DCR|3VULN|3DMG|2DUR|1CDMG	1DUST|235VULN|45aDMG|5BPWR|6RCR|79DUR|8CDMG
3	33531 13541	6	 * 	282.42	DCR|3VULN|3DMG|3DUR|1SELL	1RPLT|28aDUR|39FEWX|48aVULN|58aDMG|6RCR|7SELL|8aBPWR
4	42112 32152	4	 * 	281.50	DCR|4VULN|2DMG|3TLV|1DUR	1679VULN|278TLV|3DUR|4CGEN|57DMG|7BPWR|aRCR
5	42152 32152	4	   	281.40	DCR|4VULN|2DMG|3TLV|1DUR	1679VULN|278TLV|3DUR|4ERES|57DMG|7BPWR|aRCR
6	42152 32152	3	   	281.40	DCR|4VULN|2DMG|3TLV|1DUR	1679VULN|278TLV|3DUR|4ERES|57DMG|7BPWR|aRCR
7	42312 32152	3	   	281.40	DCR|4VULN|2DMG|3TLV|1DUR	1679VULN|278TLV|3ERES|4DUR|57DMG|7BPWR|aRCR
8	42352 32152	2	   	281.40	DCR|4VULN|2DMG|3TLV|1DUR	1679VULN|278TLV|3DUR|4ERES|57DMG|7BPWR|aRCR
9	22553 11431	10	 * 	280.38	DCR|5VULN|3DMG	1DUST|23578VULN|45aDMG|5BPWR|6BELT|9RCR
10	44321 22631	4	 * 	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	14aVULN|29aDUR|3DUST|5CDMG|6RCR|7aDMG|8RPLT|aBPWR
11	44321 23131	4	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	14aVULN|29aDUR|3DUST|5CDMG|6RCR|7RPLT|8aDMG|aBPWR
12	44324 23131	5	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	14aVULN|29aDUR|3DUST|5CDMG|6RCR|7RPLT|8aDMG|aBPWR
13	44324 23131	6	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	14aVULN|29aDUR|3DUST|5CDMG|6RCR|7RPLT|8aDMG|aBPWR
14	44521 23131	4	   	280.36	DCR|3VULN|3DUR|2DMG|1CDMG	13aVULN|29aDUR|4DUST|5CDMG|6RCR|7RPLT|8aDMG|aBPWR
15	42351 32152	5	 * 	278.40	DCR|4VULN|2DUR|3TLV|1DMG	1679VULN|278TLV|3ERES|4DMG|57DUR|7BPWR|aRCR
16	42112 32353	4	   	276.93	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8AART|9RCR|aLIT
17	42152 32353	3	   	276.83	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3DUR|4ERES|57DMG|7BPWR|8AART|9RCR|aLIT
18	42152 32353	4	   	276.83	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3DUR|4ERES|57DMG|7BPWR|8AART|9RCR|aLIT
19	42312 32353	3	   	276.83	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3ERES|4DUR|57DMG|7BPWR|8AART|9RCR|aLIT
20	42352 32353	2	   	276.83	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3DUR|4ERES|57DMG|7BPWR|8AART|9RCR|aLIT
21	41513 53211	2	   	276.12	DCR|4VULN|2DMG|2DUR	138aVULN|2FEWX|4aDUR|5RMIN|6aDMG|7RCR|9MBVNT|aBPWR
22	41513 53211	3	   	276.12	DCR|4VULN|2DMG|2DUR	138aVULN|2FEWX|4aDUR|5RMIN|6aDMG|7RCR|9MBVNT|aBPWR
23	43513 53211	1	   	276.12	DCR|4VULN|2DMG|2DUR	138aVULN|2LHND|4aDUR|5RMIN|6aDMG|7RCR|9MBVNT|aBPWR
24	45113 53211	1	   	276.12	DCR|4VULN|2DMG|2DUR	128aVULN|3LWND|4aDUR|5RMIN|6aDMG|7RCR|9MBVNT|aBPWR
25	45213 53211	1	   	276.12	DCR|4VULN|2DMG|2DUR	128aVULN|3FEWX|4aDUR|5RMIN|6aDMG|7RCR|9MBVNT|aBPWR
26	43511 22241	1	   	275.09	DCR|4VULN|2DMG|1DUR|1CDMG	1389VULN|2LHND|4DUR|5CDMG|6RCR|7aDMG
27	32121 14266	2	   	275.02	DCR|3VULN|3DUR|2DMG	1RPLT|278VULN|3LIT|47aDUR|5DLOT|67DMG|7BPWR|9RCR
28	42152 32261	3	 * 	274.42	DCR|3VULN|3DMG|2TLV|1DUR	167VULN|27TLV|3DUR|4ERES|579DMG|7BPWR|8TBNT|aRCR
29	42152 32261	4	   	274.42	DCR|3VULN|3DMG|2TLV|1DUR	167VULN|27TLV|3DUR|4ERES|579DMG|7BPWR|8TBNT|aRCR
30	42312 32261	3	   	274.42	DCR|3VULN|3DMG|2TLV|1DUR	167VULN|27TLV|3ERES|4DUR|579DMG|7BPWR|8TBNT|aRCR
31	42352 32261	2	   	274.42	DCR|3VULN|3DMG|2TLV|1DUR	167VULN|27TLV|3DUR|4ERES|579DMG|7BPWR|8TBNT|aRCR
32	42351 32353	5	   	273.83	DCR|3VULN|2DUR|1DMG|2TLV|1AART	167VULN|27TLV|3ERES|4DMG|57DUR|7BPWR|8AART|9RCR|aLIT
33	42351 12152	6	 * 	273.35	DCR|3VULN|2DMG|2DUR|3TLV	179VULN|267TLV|3ERES|48DMG|57DUR|7BPWR|aRCR
34	12512 32353	3	   	273.22	DCR|3VULN|2DMG|1TLV|1DUR|1AART	17CGEN|267VULN|3TLV|4DUR|57DMG|7BPWR|8AART|9RCR|aLIT
35	12322 42353	5	   	273.22	DCR|3VULN|2DMG|1TLV|1DUR|1AART	17CGEN|237VULN|4TLV|5DUR|67DMG|7BPWR|8AART|9RCR|aLIT
36	52512 32353	3	   	273.02	DCR|3VULN|2DMG|1TLV|1DUR|1AART	17ERES|267VULN|3TLV|4DUR|57DMG|7BPWR|8AART|9RCR|aLIT
37	52322 42353	5	   	273.02	DCR|3VULN|2DMG|1TLV|1DUR|1AART	17ERES|237VULN|4TLV|5DUR|67DMG|7BPWR|8AART|9RCR|aLIT
38	12623 63121	4	   	272.52	DCR|3VULN|3DMG|1TLV|1AART	1CGEN|26aVULN|3AART|456DMG|6BPWR|7RCR|8TLV|9LIT
39	22553 21253	10	   	272.44	DCR|4VULN|2DMG|1TLV|1ASPD	1DUST|235aVULN|45DMG|5BPWR|6TLV|7RCVC|8ASPD|9RCR
40	52623 63121	4	   	272.42	DCR|3VULN|3DMG|1TLV|1AART	1ERES|26aVULN|3AART|456DMG|6BPWR|7RCR|8TLV|9LIT
41	41234 62322	4	 * 	271.62	DCR|4VULN|3DUR|3LIT|1SELL	1689VULN|2FEWX|389LIT|4BELT|5SELL|789DUR|89BPWR|aRCR
42	22553 63133	5	   	271.10	DCR|4VULN|2DMG|1DUR|1AART	1DUST|235aVULN|45DMG|5BPWR|6RCR|7DUR|8AART|9RMIN
43	52322 42261	5	   	270.60	DCR|3VULN|3DMG|1DUR|1TLV	17ERES|237VULN|4TLV|5DUR|679DMG|7BPWR|8TBNT|aRCR
44	52512 32261	3	   	270.60	DCR|3VULN|3DMG|1DUR|1TLV	17ERES|267VULN|3TLV|4DUR|579DMG|7BPWR|8TBNT|aRCR
45	12551 32353	5	   	270.21	DCR|3VULN|2DUR|1DMG|1TLV|1AART	17CGEN|267VULN|3TLV|4DMG|57DUR|7BPWR|8AART|9RCR|aLIT
46	42112 32441	4	   	269.97	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8ASPD|9BEXP|aRCR
47	42112 32451	4	   	269.97	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8ASPD|9FEWX|aRCR
48	42312 32441	3	   	269.87	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3ERES|4DUR|57DMG|7BPWR|8ASPD|9BEXP|aRCR
49	42312 32451	3	   	269.87	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3ERES|4DUR|57DMG|7BPWR|8ASPD|9FEWX|aRCR
50	42112 32421	4	   	269.87	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8ASPD|9DUST|aRCR
51	42112 32541	4	   	269.87	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8LEGI|9ASPD|aRCR
52	42152 32421	3	   	269.77	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4ERES|57DMG|7BPWR|8ASPD|9DUST|aRCR
53	42152 32421	4	   	269.77	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4ERES|57DMG|7BPWR|8ASPD|9DUST|aRCR
54	42312 32421	3	   	269.77	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3ERES|4DUR|57DMG|7BPWR|8ASPD|9DUST|aRCR
55	42312 32541	3	   	269.77	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3ERES|4DUR|57DMG|7BPWR|8LEGI|9ASPD|aRCR
56	42352 32421	2	   	269.77	DCR|3VULN|2DMG|2TLV|1DUR|1ASPD	167VULN|27TLV|3DUR|4ERES|57DMG|7BPWR|8ASPD|9DUST|aRCR
57	42538 13241	3	   	269.48	DCR|4VULN|2DUR|1TLV|2LIT	138aVULN|2TLV|4MBVNT|5aLIT|6RCR|7BBNT|9aDUR|aBPWR
58	45338 13241	1	   	269.48	DCR|4VULN|2DUR|1TLV|2LIT	128aVULN|3TLV|4MBVNT|5aLIT|6RCR|7BBNT|9aDUR|aBPWR
59	41244 23221	10	   	269.41	DCR|3VULN|3DMG|1TLV|2LIT	17aVULN|2FEWX|37LIT|457DMG|6RCR|7BPWR|8ERES|9TLV
60	22145 33531	7	   	269.14	DCR|3VULN|3DMG|2DUR	18aDUST|28aVULN|3FEWX|4RMIN|59DUR|6RCR|78aDMG|8aBPWR
61	41513 53311	2	   	269.14	DCR|3VULN|3DMG|2DUR	13aVULN|2FEWX|4aDUR|5RMIN|68aDMG|7RCR|9MBVNT|aBPWR
62	41513 53311	3	   	269.14	DCR|3VULN|3DMG|2DUR	13aVULN|2FEWX|4aDUR|5RMIN|68aDMG|7RCR|9MBVNT|aBPWR
63	43513 53311	1	   	269.14	DCR|3VULN|3DMG|2DUR	13aVULN|2LHND|4aDUR|5RMIN|68aDMG|7RCR|9MBVNT|aBPWR
64	45113 53311	1	   	269.14	DCR|3VULN|3DMG|2DUR	12aVULN|3LWND|4aDUR|5RMIN|68aDMG|7RCR|9MBVNT|aBPWR
65	45213 53311	1	   	269.14	DCR|3VULN|3DMG|2DUR	12aVULN|3FEWX|4aDUR|5RMIN|68aDMG|7RCR|9MBVNT|aBPWR
66	12332 84548	3	 * 	269.02	DCR|5VULN|2DUR|1ASPD	17CGEN|23579VULN|4MBVNT|67DUR|7BPWR|8ASPD|aRCR
67	42112 32354	4	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8AART|9RCR|aZMB
68	42112 32355	4	   	268.62	DCR|3VULN|2DMG|2TLV|1DUR|1AART	167VULN|27TLV|3DUR|4CGEN|57DMG|7BPWR|8AART|9RCR|aLHND
