0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13312 44233	7	 * 	297.67	DCR|4VULN|3DUR|2CDMG|1TLV	1AART|257DUR|3678VULN|47CDMG|7BPWR|9RCR|aTLV
2	21215 13132	3	 * 	291.98	DCR|4VULN|3DMG|2DUR	14aBEXP|2345VULN|4aBPWR|6RCR|78aDMG|9aDUR
3	21415 13132	2	   	291.98	DCR|4VULN|3DMG|2DUR	14aBEXP|2345VULN|4aBPWR|6RCR|78aDMG|9aDUR
4	31415 15112	2	   	291.98	DCR|4VULN|3DMG|2DUR	14aLHND|2345VULN|4aBPWR|6RCR|78aDMG|9aDUR
5	54211 32212	9	 * 	291.98	DCR|4VULN|3DMG|3ASPD	19aASPD|2RMIN|3RCVC|4LWND|589aVULN|6RCR|79aDMG|9aBPWR
6	54211 33412	9	   	291.98	DCR|4VULN|3DMG|3ASPD	19aASPD|2RMIN|3RCVC|4LWND|579aVULN|6RCR|89aDMG|9aBPWR
7	54221 32212	9	   	291.88	DCR|4VULN|3DMG|3ASPD	19aASPD|2RMIN|3RCVC|4DUST|589aVULN|6RCR|79aDMG|9aBPWR
8	54221 33412	9	   	291.88	DCR|4VULN|3DMG|3ASPD	19aASPD|2RMIN|3RCVC|4DUST|579aVULN|6RCR|89aDMG|9aBPWR
9	23264 63311	6	   	291.04	DCR|4VULN|3DMG|1TLV|1CDMG	19aBEXP|2DUST|389aVULN|4TLV|5CDMG|6RCR|79aDMG|9aBPWR
10	13312 14121	9	 * 	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|3679VULN|467CDMG|67BPWR|8RPLT|aRCR
11	13312 14131	8	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|3679VULN|467CDMG|67BPWR|8RPLT|aRCR
12	13312 14136	9	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RPLT|9RCR
13	13312 14215	9	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9LWND
14	13312 14235	9	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9FEWX
15	13312 14235	10	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9FEWX
16	13312 14245	8	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9LWND
17	13312 14255	8	   	287.56	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9BEXP
18	13312 14225	10	   	287.46	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9ERES
19	13312 14236	8	   	287.46	DCR|4VULN|3DUR|3CDMG	1AART|257DUR|367aVULN|467CDMG|67BPWR|8RCR|9MBVNT
20	21636 36243	8	   	285.60	DCR|4VULN|3DMG|1DUR	17BEXP|2467VULN|3MBVNT|567DMG|67BPWR|8DUR|9LIT|aRCR
21	21232 14553	9	 * 	283.11	DCR|5VULN|3CDMG|1DMG	17BEXP|2367aVULN|467CDMG|5AART|67BPWR|8RCR|9DMG
22	13312 64233	7	   	282.80	DCR|3VULN|3DUR|2CDMG|2AART|1TLV	16AART|257DUR|378VULN|47CDMG|7BPWR|9RCR|aTLV
23	13312 44232	7	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|3678VULN|47CDMG|7BPWR|9RCR|aMLV
24	13312 44234	7	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|3678VULN|47CDMG|7BPWR|9RCR|aLHND
25	13312 44235	7	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|3678VULN|47CDMG|7BPWR|9RCR|aCGEN
26	13112 43436	7	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|3FEWX|47CDMG|678aVULN|7BPWR|9RCR
27	13312 44336	8	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|367aVULN|47CDMG|7BPWR|8LWND|9RCR
28	13312 44351	10	   	281.42	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|367aVULN|47CDMG|7BPWR|8LWND|9RCR
29	13312 44231	7	   	281.32	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|3678VULN|47CDMG|7BPWR|9RCR|aTBNT
30	13312 44236	7	   	281.32	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|3678VULN|47CDMG|7BPWR|9RCR|aBBNT
31	13312 53436	7	   	281.32	DCR|4VULN|3DUR|2CDMG	1AART|257DUR|378aVULN|47CDMG|6LEGI|7BPWR|9RCR
32	21215 12661	3	 * 	281.08	DCR|5VULN|2DMG|1DUR	14BEXP|23458VULN|4BPWR|6RCR|7DUR|9aDMG
33	21633 32211	10	   	281.08	DCR|5VULN|2DMG|1DUR	19BEXP|24589VULN|3MBVNT|6RCR|79DMG|9BPWR|aDUR
34	21633 32212	9	   	281.08	DCR|5VULN|2DMG|1DUR	19BEXP|24589VULN|3MBVNT|6RCR|79DMG|9BPWR|aDUR
35	21633 33511	10	   	281.08	DCR|5VULN|2DMG|1DUR	19BEXP|24579VULN|3MBVNT|6RCR|89DMG|9BPWR|aDUR
36	21633 33512	9	   	281.08	DCR|5VULN|2DMG|1DUR	19BEXP|24579VULN|3MBVNT|6RCR|89DMG|9BPWR|aDUR
37	21243 23314	3	 * 	280.58	DCR|5VULN|3DMG	18aBEXP|2368aVULN|478DMG|5TBNT|8aBPWR|9RCR
38	21443 23314	2	   	280.58	DCR|5VULN|3DMG	18aBEXP|2368aVULN|478DMG|5TBNT|8aBPWR|9RCR
39	21633 32211	9	   	280.48	DCR|5VULN|3DMG	19BEXP|24589VULN|3MBVNT|6RCR|79aDMG|9BPWR
40	21633 33511	9	   	280.48	DCR|5VULN|3DMG	19BEXP|24579VULN|3MBVNT|6RCR|89aDMG|9BPWR
41	21633 32213	10	   	278.48	DCR|5VULN|2DMG|1CDMG	19BEXP|24589VULN|3MBVNT|6RCR|79DMG|9BPWR|aCDMG
42	21633 32216	9	   	278.48	DCR|5VULN|2DMG|1CDMG	19BEXP|24589VULN|3MBVNT|6RCR|79DMG|9BPWR|aCDMG
43	21633 33513	10	   	278.48	DCR|5VULN|2DMG|1CDMG	19BEXP|24579VULN|3MBVNT|6RCR|89DMG|9BPWR|aCDMG
44	21633 33516	9	   	278.48	DCR|5VULN|2DMG|1CDMG	19BEXP|24579VULN|3MBVNT|6RCR|89DMG|9BPWR|aCDMG
45	21133 63252	5	 * 	278.08	DCR|5VULN|2DUR|1DMG	18BEXP|2458aVULN|38DUR|6RCR|7TBNT|8BPWR|9DMG
46	21135 63252	4	   	278.08	DCR|5VULN|2DUR|1DMG	18BEXP|2458aVULN|38DUR|6RCR|7TBNT|8BPWR|9DMG
47	21215 12662	3	   	278.08	DCR|5VULN|2DUR|1DMG	14BEXP|23458VULN|4BPWR|6RCR|7aDUR|9DMG
48	21215 13133	3	   	277.19	DCR|4VULN|3DMG|1DUR	14BEXP|2345VULN|4BPWR|6RCR|78aDMG|9DUR
49	21415 13133	2	   	277.19	DCR|4VULN|3DMG|1DUR	14BEXP|2345VULN|4BPWR|6RCR|78aDMG|9DUR
50	31415 15113	2	   	277.19	DCR|4VULN|3DMG|1DUR	14LHND|2345VULN|4BPWR|6RCR|78aDMG|9DUR
51	21215 12663	3	   	277.14	DCR|5VULN|1DMG|1DUR|1CDMG	14BEXP|23458VULN|4BPWR|6RCR|7DUR|9DMG|aCDMG
52	14512 22334	9	 * 	276.47	DCR|3VULN|3DUR|2DMG	1AART|2RPLT|39DMG|4RMIN|589DUR|69aVULN|7RCR|9BPWR
53	21636 34334	9	   	276.22	DCR|4VULN|2DMG|2DUR	19BEXP|2469VULN|3MBVNT|56DMG|69BPWR|7LWND|89DUR|aRCR
54	21633 34653	6	   	276.12	DCR|4VULN|2DMG|2DUR	18BEXP|2458VULN|3MBVNT|6RCR|78DUR|8BPWR|9aDMG
55	23233 12543	6	   	276.12	DCR|4VULN|2DMG|2DUR	18BEXP|2DUST|3458VULN|68DUR|7RCR|8BPWR|9aDMG
56	52511 32211	10	   	276.02	DCR|4VULN|2DMG|3ASPD	149ASPD|2DUST|3RMIN|589aVULN|6RCR|79DMG|9BPWR
57	52511 32232	9	   	276.02	DCR|4VULN|2DMG|3ASPD	14aASPD|2DUST|3RMIN|589aVULN|6RCR|7aDMG|aBPWR
58	52511 33411	10	   	276.02	DCR|4VULN|2DMG|3ASPD	149ASPD|2DUST|3RMIN|579aVULN|6RCR|89DMG|9BPWR
59	52511 33432	9	   	276.02	DCR|4VULN|2DMG|3ASPD	14aASPD|2DUST|3RMIN|579aVULN|6RCR|8aDMG|aBPWR
60	54111 32211	10	   	276.02	DCR|4VULN|2DMG|3ASPD	149ASPD|2RMIN|3DUST|589aVULN|6RCR|79DMG|9BPWR
61	54111 32232	9	   	276.02	DCR|4VULN|2DMG|3ASPD	14aASPD|2RMIN|3DUST|589aVULN|6RCR|7aDMG|aBPWR
62	54111 33411	10	   	276.02	DCR|4VULN|2DMG|3ASPD	149ASPD|2RMIN|3DUST|579aVULN|6RCR|89DMG|9BPWR
63	54111 33432	9	   	276.02	DCR|4VULN|2DMG|3ASPD	14aASPD|2RMIN|3DUST|579aVULN|6RCR|8aDMG|aBPWR
64	13312 14133	9	   	275.93	DCR|3VULN|3DUR|3CDMG|1ASPD	1AART|257DUR|367VULN|467CDMG|67BPWR|8RPLT|9RCR|aASPD
65	13312 14635	7	   	275.93	DCR|3VULN|3DUR|3CDMG|1ASPD	1AART|257DUR|367VULN|467CDMG|67BPWR|8RCVC|9ASPD|aRCR
