0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36224 26112	8	 * 	297.16	DCR|4VULN|3DMG|2CDMG|1TLV	1DLOT|2378VULN|38BPWR|48CDMG|568DMG|9RCR|aTLV
2	42434 42321	2	 * 	295.10	DCR|3VULN|3DMG|2DUR|2LIT|1ASPD	189VULN|2MBVNT|358DMG|45LIT|58BPWR|6ASPD|78DUR|aRCR
3	36343 24112	6	 * 	290.87	DCR|3VULN|3DMG|3DUR	1DLOT|278VULN|378DUR|4LHND|5LIT|678DMG|78BPWR|9BEXP|aRCR
4	36313 24112	6	   	290.77	DCR|3VULN|3DMG|3DUR	1DLOT|278VULN|378DUR|4DUST|5LIT|678DMG|78BPWR|9BEXP|aRCR
5	36313 24162	6	   	290.77	DCR|3VULN|3DMG|3DUR	1DLOT|278VULN|378DUR|4DUST|5LIT|678DMG|78BPWR|9LHND|aRCR
6	36224 26331	6	 * 	289.70	DCR|3VULN|2DMG|2DUR|2CDMG|1TLV	1DLOT|23aVULN|3aBPWR|4aCDMG|56DMG|7RCR|8TLV|9aDUR
7	42431 42338	2	   	286.44	DCR|3VULN|2DMG|2DUR|1CDMG|1ASPD	158VULN|2MBVNT|38DMG|4LIT|6ASPD|78DUR|8BPWR|9CDMG|aRCR
8	41215 52332	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|468DUR|578DMG|8BPWR|9RCR|aMLV
9	41215 52333	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|468DUR|578DMG|8BPWR|9RCR|aZMB
10	41261 52332	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|478DMG|568DUR|8BPWR|9RCR|aMLV
11	41261 52333	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|478DMG|568DUR|8BPWR|9RCR|aZMB
12	42215 52332	1	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|468DUR|578DMG|8BPWR|9RCR|aMLV
13	42215 52333	1	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|468DUR|578DMG|8BPWR|9RCR|aZMB
14	42261 52332	1	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|478DMG|568DUR|8BPWR|9RCR|aMLV
15	42261 52333	1	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|478DMG|568DUR|8BPWR|9RCR|aZMB
16	44212 52332	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2FEWX|468DUR|578DMG|8BPWR|9RCR|aMLV
17	44212 52333	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2FEWX|468DUR|578DMG|8BPWR|9RCR|aZMB
18	44213 62332	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2FEWX|458DUR|678DMG|8BPWR|9RCR|aMLV
19	44213 62333	2	   	282.46	DCR|3VULN|3DMG|3DUR	138VULN|2FEWX|458DUR|678DMG|8BPWR|9RCR|aZMB
20	41215 52331	2	   	282.36	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|468DUR|578DMG|8BPWR|9RCR|aERES
21	41261 52331	2	   	282.36	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|478DMG|568DUR|8BPWR|9RCR|aERES
22	42215 52331	1	   	282.36	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|468DUR|578DMG|8BPWR|9RCR|aERES
23	42261 52331	1	   	282.36	DCR|3VULN|3DMG|3DUR	138VULN|2BEXP|478DMG|568DUR|8BPWR|9RCR|aERES
24	44212 52331	2	   	282.36	DCR|3VULN|3DMG|3DUR	138VULN|2FEWX|468DUR|578DMG|8BPWR|9RCR|aERES
25	44213 62331	2	   	282.36	DCR|3VULN|3DMG|3DUR	138VULN|2FEWX|458DUR|678DMG|8BPWR|9RCR|aERES
26	36224 26111	8	   	280.91	DCR|4VULN|3DMG|2CDMG	1DLOT|2378VULN|38BPWR|48CDMG|568DMG|9RCR|aLWND
27	36224 26113	8	   	280.81	DCR|4VULN|3DMG|2CDMG	1DLOT|2378VULN|38BPWR|48CDMG|568DMG|9RCR|aDUST
28	41163 31261	1	   	279.39	DCR|3VULN|2DMG|2DUR|1TLV	148VULN|2AART|3BBNT|5TLV|68DUR|78DMG|8BPWR|9RPLT|aRCR
29	36112 31636	3	 * 	279.23	DCR|5VULN|2DUR|2ASPD	1DLOT|24589VULN|3MLV|68ASPD|78DUR|8BPWR|aRCR
30	36212 31636	2	   	279.23	DCR|5VULN|2DUR|2ASPD	1DLOT|24589VULN|3MLV|68ASPD|78DUR|8BPWR|aRCR
31	36212 31636	4	   	279.23	DCR|5VULN|2DUR|2ASPD	1DLOT|23589VULN|38BPWR|4MLV|68ASPD|78DUR|aRCR
