0	Index      	Bounty	 *	Score 	Summary	Detail	
1	11226 13663	7	 * 	279.50	DCR|4VULN|3DMG|1DUR|2LIT	1248VULN|3ERES|58LIT|68aDMG|7RCR|8BPWR|9DUR
2	12412 53131	1	 * 	279.00	DCR|4VULN|3DUR|1TLV|1CDMG	1568VULN|2CGEN|3TLV|457DUR|5BPWR|9CDMG|aRCR
3	11226 13642	7	 * 	278.80	DCR|4VULN|2DMG|1TLV|3LIT	1248VULN|3ERES|589LIT|68DMG|7RCR|8BPWR|aTLV
4	11226 13631	7	 * 	275.60	DCR|5VULN|2DMG|2LIT|1AART	12489VULN|3ERES|58LIT|68DMG|7RCR|8BPWR|aAART
5	31532 43383	6	 * 	274.12	DCR|4VULN|2TLV|2ASPD|2LIT|1CDMG	17LIT|24ASPD|3478VULN|47BPWR|5MBVNT|67TLV|9CDMG|aRCR
6	13651 11131	1	 * 	272.86	DCR|4VULN|3DUR|1DMG|1CDMG	1478VULN|234DUR|4BPWR|5MLV|6DMG|9CDMG|aRCR
7	31533 42412	5	   	270.67	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6DUR|8TLV|9AART|aRCR
8	31533 25112	7	   	270.67	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6TLV|8DUR|9AART|aRCR
9	31533 25612	8	   	270.67	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1AART	1LIT|24ASPD|347VULN|4BPWR|5DMG|6TLV|8DUR|9AART|aRCR
10	31533 26412	6	   	270.67	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1AART	1LIT|24ASPD|348VULN|4BPWR|5DMG|6TLV|7DUR|9AART|aRCR
11	31533 36412	5	   	270.67	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|1AART	1LIT|24ASPD|348VULN|4BPWR|5DMG|6TLV|7DUR|9AART|aRCR
12	56331 32261	3	   	270.29	DCR|3VULN|2DMG|1TLV|2ASPD|1DUR	1aASPD|2BELT|38aVULN|4BBNT|5TLV|6DUR|7aDMG|9RCR|aBPWR
13	31534 33512	6	 * 	269.71	DCR|3VULN|2DUR|1TLV|3ASPD|2LIT	17LIT|247ASPD|34aVULN|47BPWR|5TLV|67DUR|8RPLT|9RCR
14	12653 53133	9	 * 	268.95	DCR|4VULN|2DMG|2CDMG|1DUR	1478VULN|27CDMG|3ERES|5FEWX|67DMG|7BPWR|9DUR|aRCR
15	31533 62343	7	   	268.85	DCR|4VULN|2DMG|3LIT|2ASPD	179LIT|24ASPD|3478VULN|47BPWR|57DMG|6LEGI|aRCR
16	11324 34632	10	   	268.65	DCR|4VULN|1TLV|2ASPD|1DUR|2LIT	129aVULN|39LIT|4RMIN|5TLV|6DUR|79ASPD|8RCR|9BPWR
17	16132 42725	5	 * 	268.25	DCR|4VULN|3DMG|3LIT	178aVULN|24aLIT|348ERES|48aBPWR|5MBVNT|68aDMG|9RCR
18	26141 23633	1	 * 	267.77	DCR|5VULN|2TLV|1DMG	1MLV|23567VULN|46TLV|6BPWR|8RPLT|9DMG|aRCR
19	26143 13633	1	   	267.77	DCR|5VULN|2TLV|1DMG	1MLV|23567VULN|45TLV|5BPWR|8RPLT|9DMG|aRCR
20	11324 34633	9	   	267.66	DCR|3VULN|1TLV|1DMG|2ASPD|1DUR|2LIT	129VULN|39LIT|4RMIN|5TLV|6DUR|79ASPD|8RCR|9BPWR|aDMG
21	33313 63362	1	 * 	267.65	DCR|3VULN|2DUR|1TLV|2CDMG	1LIT|24CDMG|34aVULN|4BPWR|59DUR|6ASPD|7RCR|8TLV
22	13614 34131	1	   	266.16	DCR|3VULN|3DUR|1TLV|1CDMG	158VULN|234DUR|6ASPD|7TLV|9CDMG|aRCR
23	12412 23131	1	 * 	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	158VULN|2CGEN|36TLV|457DUR|5BPWR|9CDMG|aRCR
24	12412 53431	1	   	266.03	DCR|3VULN|3DUR|2TLV|1CDMG	156VULN|2CGEN|38TLV|457DUR|5BPWR|9CDMG|aRCR
25	11226 13632	7	   	265.94	DCR|5VULN|2DMG|2LIT	12489VULN|3ERES|58LIT|68DMG|7RCR|8BPWR|aRPLT
26	11226 13634	7	   	265.94	DCR|5VULN|2DMG|2LIT	12489VULN|3ERES|58LIT|68DMG|7RCR|8BPWR|aFEWX
27	11226 13635	7	   	265.94	DCR|5VULN|2DMG|2LIT	12489VULN|3ERES|58LIT|68DMG|7RCR|8BPWR|aRCVC
28	11226 13636	7	   	265.94	DCR|5VULN|2DMG|2LIT	12489VULN|3ERES|58LIT|68DMG|7RCR|8BPWR|aBEXP
29	11226 13526	10	   	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1249VULN|3ERES|5LIT|6DMG|7RCR|8DUR|aTLV
30	22141 41226	1	 * 	264.69	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1MLV|26DUR|348VULN|5CDMG|7TLV|9DMG|aRCR
31	13611 11451	1	 * 	264.26	DCR|3VULN|3DUR|1TLV|1DMG	17aVULN|234DUR|5MLV|6DMG|8TLV|9RCR
32	11226 13661	7	   	263.74	DCR|4VULN|2DMG|1DUR|2LIT	1248VULN|3ERES|58LIT|68DMG|7RCR|8BPWR|9DUR|aBBNT
33	11732 15473	1	 * 	263.67	DCR|4VULN|2DMG|2DUR	1479VULN|2MBVNT|37DUR|579MLV|6TBNT|79BPWR|89DMG|aRCR
34	31533 23112	6	   	263.56	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LIT|24ASPD|34VULN|4BPWR|57DMG|6TLV|8DUR|9AART|aRCR
35	31533 24112	7	   	263.56	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LIT|24ASPD|34VULN|4BPWR|57DMG|6TLV|8DUR|9AART|aRCR
36	31533 24612	8	   	263.56	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LIT|24ASPD|34VULN|4BPWR|57DMG|6TLV|8DUR|9AART|aRCR
37	31533 33112	5	   	263.56	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LIT|24ASPD|34VULN|4BPWR|57DMG|6TLV|8DUR|9AART|aRCR
38	31536 33112	4	   	263.56	DCR|2VULN|2DMG|1TLV|2ASPD|1DUR|1AART	1LIT|24ASPD|34VULN|4BPWR|57DMG|6TLV|8DUR|9AART|aRCR
39	31534 33336	6	 * 	263.25	DCR|2VULN|3DUR|1TLV|3ASPD|3LIT	179LIT|247ASPD|34VULN|47BPWR|5TLV|678DUR|aRCR
40	11226 13613	7	   	263.25	DCR|4VULN|3DMG|2LIT	1248VULN|3ERES|58LIT|68aDMG|7RCR|8BPWR|9BEXP
41	11226 13653	7	   	263.25	DCR|4VULN|3DMG|2LIT	1248VULN|3ERES|58LIT|68aDMG|7RCR|8BPWR|9LWND
42	11316 42412	3	   	262.73	DCR|3VULN|1TLV|1DMG|1DUR|1AART	127VULN|3LIT|4ASPD|5DMG|6DUR|8TLV|9AART|aRCR
43	11316 36412	3	   	262.73	DCR|3VULN|1TLV|1DMG|1DUR|1AART	128VULN|3LIT|4ASPD|5DMG|6TLV|7DUR|9AART|aRCR
44	16251 33412	6	   	262.73	DCR|3VULN|1TLV|1DMG|1DUR|1AART	145VULN|2LIT|3DUR|6ASPD|7DMG|8TLV|9AART|aRCR
45	33651 33412	6	   	262.73	DCR|3VULN|1TLV|1DMG|1DUR|1AART	1LIT|2DUR|345VULN|6ASPD|7DMG|8TLV|9AART|aRCR
46	11716 34482	1	   	262.68	DCR|3VULN|3DUR|1DMG|2LIT|1AART	157VULN|2MBVNT|378DUR|47LIT|6AART|7BPWR|9RCR|aDMG
47	11738 34482	1	   	262.68	DCR|3VULN|3DUR|1DMG|2LIT|1AART	147VULN|2MBVNT|378DUR|57LIT|6AART|7BPWR|9RCR|aDMG
48	33246 34482	2	   	262.68	DCR|3VULN|3DUR|1DMG|2LIT|1AART	17LIT|278DUR|357VULN|4MBVNT|6AART|7BPWR|9RCR|aDMG
