0	Index      	Bounty	 *	Score 	Summary	Detail	
1	15473 11426	5	 * 	275.83	DCR|5VULN|2DMG|1ASPD	1aLWND|2MBVNT|3ASPD|4aDMG|5789aVULN|6RCR|aBPWR
2	41311 23214	8	 * 	275.01	DCR|4VULN|2DMG|2CDMG|1AART	1DMSP|2RPLT|3aCDMG|458aVULN|6aDMG|7RCR|9AART|aBPWR
3	41311 23264	9	   	275.01	DCR|4VULN|2DMG|2CDMG|1AART	1DMSP|2RPLT|3aCDMG|458aVULN|6aDMG|7RCR|9AART|aBPWR
4	36133 43226	6	 * 	271.66	DCR|4VULN|3DUR|1DMG	1FEWX|238DUR|4567VULN|9DMG|aRCR
5	16121 51325	6	 * 	270.43	DCR|3VULN|3DUR|2ASPD|1DMG	1aLWND|23aDUR|4DMG|579VULN|6RCR|8aASPD|aBPWR
6	41311 23354	9	 * 	268.03	DCR|3VULN|3DMG|2CDMG|1AART	1DMSP|2RPLT|3aCDMG|45aVULN|69aDMG|7RCR|8AART|aBPWR
7	42321 25325	7	 * 	267.12	DCR|4VULN|2ASPD|2LIT|1CDMG|1AART	1DMSP|28ASPD|3CDMG|4AART|5689VULN|78LIT|8BPWR|aRCR
8	15473 11226	5	 * 	266.50	DCR|4VULN|2DMG|2ASPD	1aLWND|2MBVNT|38ASPD|4aDMG|579aVULN|6RCR|aBPWR
9	15473 11416	5	   	266.50	DCR|4VULN|2DMG|2ASPD	1aLWND|2MBVNT|39ASPD|4aDMG|578aVULN|6RCR|aBPWR
10	42211 21653	6	   	266.50	DCR|4VULN|2DMG|2ASPD	1DMSP|29ASPD|3BEXP|459aVULN|69DMG|7BBNT|8RCR|9BPWR
11	16511 31334	9	   	265.70	DCR|3VULN|2DUR|1DMG|1TLV|1CDMG	1LWND|28DUR|347VULN|5CDMG|6TLV|9DMG|aRCR
12	16121 53215	7	   	265.27	DCR|3VULN|3DUR|1DMG|1TLV	1LWND|237DUR|4DMG|589VULN|6RCR|aTLV
13	16121 51242	6	   	264.08	DCR|3VULN|3DUR|1DMG|2LIT	1aLWND|23aDUR|4DMG|578VULN|6RCR|9aLIT|aBPWR
14	42111 43226	6	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1DMSP|2ASPD|3DMG|467VULN|58DUR|9TLV|aRCR
15	42511 23226	6	   	263.05	DCR|3VULN|2DUR|1DMG|1TLV|1ASPD	1DMSP|2ASPD|38DUR|457VULN|6DMG|9TLV|aRCR
16	35611 83344	7	   	260.69	DCR|5VULN|1DMG|1CDMG	1FEWX|2MBVNT|34689VULN|5CDMG|7RCR|aDMG
17	16121 51241	6	   	260.35	DCR|3VULN|2DUR|1DMG|1TLV	1LWND|23DUR|4DMG|578VULN|6RCR|9LIT|aTLV
18	41311 23364	8	   	260.14	DCR|3VULN|2DMG|2CDMG|2AART	1DMSP|2RPLT|3aCDMG|45aVULN|6aDMG|7RCR|89AART|aBPWR
19	42211 21652	6	   	260.11	DCR|3VULN|2DMG|2ASPD|1DUR	1DMSP|29ASPD|3BEXP|459VULN|69DMG|7BBNT|8RCR|9BPWR|aDUR
20	25324 12123	5	   	259.22	DCR|4VULN|1DMG|1CDMG|1AART	1CGEN|2AART|3568VULN|4DMG|7LIT|9CDMG|aRCR
21	25324 22123	6	   	259.22	DCR|4VULN|1DMG|1CDMG|1AART	1CGEN|2AART|3568VULN|4DMG|7LIT|9CDMG|aRCR
22	36131 13562	8	   	258.86	DCR|3VULN|3DUR|1TLV|1CDMG	1FEWX|236DUR|478VULN|5CDMG|9RCR|aTLV
23	41311 23235	10	   	258.84	DCR|4VULN|2DMG|1CDMG	1DMSP|2RPLT|3CDMG|4589VULN|6aDMG|7RCR
24	16121 51236	6	   	258.44	DCR|4VULN|2DUR|1DMG	1LWND|23DUR|4DMG|578aVULN|6RCR|9FEWX
25	36141 62213	10	   	258.44	DCR|4VULN|2DUR|1DMG	1FEWX|23DUR|4DMG|568aVULN|7CGEN|9RCR
26	23532 43142	2	   	258.37	DCR|3VULN|3DMG|2CDMG	19CGEN|24CDMG|349DMG|49BPWR|579VULN|6BELT|8TBNT|aRCR
27	15114 43847	9	   	258.34	DCR|4VULN|2DUR|1DMG	1LWND|2MBVNT|37DUR|468aVULN|5DMG|9RCR
