0	Index      	Bounty	 *	Score 	Summary	Detail	
1	53331 43353	3	 * 	275.01	DCR|3VULN|2DMG|3LIT|1TLV|1DUR	1aDMG|23aLIT|4BBNT|5DUR|6TLV|79aVULN|8RCR|aBPWR
2	22245 23313	1	 * 	274.80	DCR|3VULN|2DMG|2DUR|2ASPD	1RCVC|29aVULN|34DUR|59ASPD|6DMSP|79DMG|8RCR|9BPWR
3	52215 62113	8	 * 	273.27	DCR|3VULN|3DMG|2ASPD|1CDMG	189DMG|29ASPD|3CDMG|4FEWX|569VULN|7BELT|9BPWR|aRCR
4	52231 43353	1	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1aDMG|2aLIT|3RCVC|4BBNT|5DUR|6TLV|79aVULN|8RCR|aBPWR
5	52321 43353	1	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1aDMG|2aLIT|3BBNT|4RCVC|5DUR|6TLV|79aVULN|8RCR|aBPWR
6	53231 43353	2	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1aDMG|2aLIT|3RCVC|4BBNT|5DUR|6TLV|79aVULN|8RCR|aBPWR
7	53321 43353	2	   	270.00	DCR|3VULN|2DMG|1TLV|1DUR|2LIT	1aDMG|2aLIT|3BBNT|4RCVC|5DUR|6TLV|79aVULN|8RCR|aBPWR
8	55331 13315	4	 * 	269.53	DCR|3VULN|2DMG|3ASPD|1DUR	18DMG|2DLOT|3DUR|468ASPD|5TBNT|789VULN|8BPWR|aRCR
9	42233 12124	2	 * 	268.41	DCR|4VULN|2TLV|1DUR|1CDMG|1ASPD	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aASPD
10	42233 12124	3	   	268.41	DCR|4VULN|2TLV|1DUR|1CDMG|1ASPD	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aASPD
11	22254 53313	1	 * 	265.81	DCR|2VULN|2DMG|3ASPD|2DUR	15RCVC|29VULN|36DUR|469ASPD|69BPWR|79DMG|8RCR|aLIT
12	22615 53323	1	 * 	265.16	DCR|4VULN|2ASPD|1DMG|1TLV	1RCVC|269aVULN|3TLV|4ZMB|56ASPD|6BPWR|7DMG|8RCR
13	43216 15232	5	 * 	264.18	DCR|4VULN|2DUR|1TLV|1AART	1ERES|24DUR|347aVULN|4BPWR|5AART|6TLV|8RCR|9DUST
14	22245 23316	1	   	264.14	DCR|2VULN|2DMG|2DUR|2ASPD|1TLV	1RCVC|29VULN|34DUR|59ASPD|6DMSP|79DMG|8RCR|9BPWR|aTLV
15	53313 12333	6	 * 	263.76	DCR|2VULN|3DMG|3LIT|1TLV|1DUR	15aDMG|23aLIT|4DUR|6TLV|7TBNT|8RCR|9aVULN|aBPWR
16	53313 15333	6	   	263.76	DCR|2VULN|3DMG|3LIT|1TLV|1DUR	15aDMG|23aLIT|4DUR|6TLV|7BBNT|8RCR|9aVULN|aBPWR
17	53313 52333	5	   	263.76	DCR|2VULN|3DMG|3LIT|1TLV|1DUR	15aDMG|23aLIT|4DUR|6TLV|7TBNT|8RCR|9aVULN|aBPWR
18	53313 55333	5	   	263.76	DCR|2VULN|3DMG|3LIT|1TLV|1DUR	15aDMG|23aLIT|4DUR|6TLV|7BBNT|8RCR|9aVULN|aBPWR
19	53315 52333	4	   	263.76	DCR|2VULN|3DMG|3LIT|1TLV|1DUR	15aDMG|23aLIT|4DUR|6TLV|7TBNT|8RCR|9aVULN|aBPWR
20	43212 12124	5	   	263.03	DCR|4VULN|2DUR|1CDMG|1ASPD	1ERES|24DUR|3478VULN|4BPWR|5MLV|6CDMG|9RCR|aASPD
21	11212 62111	7	 * 	262.80	DCR|4VULN|3DUR|1ASPD	1LEGI|245MLV|3478VULN|478BPWR|678DUR|9ASPD|aRCR
22	53313 52333	4	 * 	262.69	DCR|2VULN|2DMG|2DUR|3LIT|1TLV	1aDMG|23aLIT|45DUR|6TLV|7TBNT|8RCR|9aVULN|aBPWR
23	53313 55333	4	   	262.69	DCR|2VULN|2DMG|2DUR|3LIT|1TLV	1aDMG|23aLIT|45DUR|6TLV|7BBNT|8RCR|9aVULN|aBPWR
24	53314 43333	4	   	262.69	DCR|2VULN|2DMG|2DUR|3LIT|1TLV	1aDMG|23aLIT|49DUR|5BBNT|6TLV|7aVULN|8RCR|aBPWR
25	53331 43333	3	   	262.69	DCR|2VULN|2DMG|2DUR|3LIT|1TLV	1aDMG|23aLIT|4BBNT|59DUR|6TLV|7aVULN|8RCR|aBPWR
26	53351 43333	3	   	262.69	DCR|2VULN|2DMG|2DUR|3LIT|1TLV	1aDMG|23aLIT|4TBNT|59DUR|6TLV|7aVULN|8RCR|aBPWR
27	43216 26212	10	   	262.36	DCR|4VULN|3DUR|1ASPD|1AART|1SELL	19ERES|249DUR|3489VULN|49BPWR|5AART|6SELL|7RCR|aASPD
28	53131 34232	9	   	261.83	DCR|3VULN|2DMG|2ASPD|1AART	1aDMG|2LIT|3aASPD|4AART|5ERES|6MLV|7RCR|89aVULN|aBPWR
29	53122 21411	8	   	261.79	DCR|3VULN|2DMG|3ASPD	19DMG|2LIT|359ASPD|4BELT|6DMSP|79aVULN|8RCR|9BPWR
30	34141 12317	1	 * 	261.54	DCR|4VULN|2DMG|1TLV	18BEXP|2MBVNT|38DMG|4RPLT|578aVULN|6RCR|8BPWR|9TLV
31	11573 41331	7	   	261.44	DCR|4VULN|2DMG|1DUR	1LEGI|28MLV|3MBVNT|48DMG|5678VULN|8BPWR|9RCR|aDUR
32	26225 14346	10	 * 	260.94	DCR|4VULN|3DMG	13RCVC|2RPLT|479DMG|5789VULN|6MBVNT|79BPWR|aRCR
33	26243 14346	10	   	260.94	DCR|4VULN|3DMG	13RCVC|2RPLT|4789VULN|579DMG|6MBVNT|79BPWR|aRCR
34	22254 23313	1	   	260.21	DCR|3VULN|2DMG|2ASPD|1DUR	15RCVC|29aVULN|3DUR|49ASPD|6DMSP|79DMG|8RCR|9BPWR
35	52222 63532	3	 * 	259.11	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD	18DMG|2ASPD|3aCDMG|4DUR|57VULN|6TLV|9RCR
36	52216 34331	4	   	259.06	DCR|2VULN|2DMG|2CDMG|1TLV|1DUR|1ASPD|1SELL	18DMG|2ASPD|38CDMG|4FEWX|5SELL|6TLV|78VULN|8BPWR|9RCR|aDUR
37	53131 12662	5	   	258.94	DCR|2VULN|2DMG|2ASPD|2AART|1TLV	1aDMG|2LIT|3aASPD|49AART|5ERES|6TLV|7RCR|8aVULN|aBPWR
38	52322 51262	2	 * 	258.51	DCR|2VULN|3DMG|2CDMG|1DUR|1ASPD	156DMG|2ASPD|3ERES|46VULN|6BPWR|79CDMG|8DUR|aRCR
39	52322 34352	4	 * 	258.48	DCR|2VULN|3DMG|3ASPD|1TLV	158DMG|289ASPD|3FEWX|4RMIN|6TLV|78VULN|8BPWR|aRCR
40	43211 23366	5	 * 	258.34	DCR|4VULN|2DUR|1DMG	1ERES|24DUR|3467VULN|4BPWR|5RPLT|8BBNT|9RCR|aDMG
41	43213 33188	9	   	258.34	DCR|4VULN|2DUR|1DMG	1ERES|24DUR|3489VULN|4BPWR|5LHND|6MBVNT|7DMG|aRCR
42	43211 23363	5	 * 	257.81	DCR|5VULN|2DUR	1ERES|24DUR|3467aVULN|4BPWR|5RPLT|8BBNT|9RCR
43	43211 23663	5	   	257.81	DCR|5VULN|2DUR	1ERES|24DUR|3467aVULN|4BPWR|5RPLT|8TBNT|9RCR
44	11225 53252	1	   	257.72	DCR|3VULN|2DUR|2AART|1TLV	1LEGI|27DUR|367VULN|45AART|7BPWR|8RCR|9TLV|aLIT
45	52231 43333	1	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2aLIT|3RCVC|4BBNT|59DUR|6TLV|7aVULN|8RCR|aBPWR
46	52251 43333	1	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2aLIT|3RCVC|4TBNT|59DUR|6TLV|7aVULN|8RCR|aBPWR
47	52321 43333	1	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2aLIT|3BBNT|4RCVC|59DUR|6TLV|7aVULN|8RCR|aBPWR
48	53231 43333	2	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2aLIT|3RCVC|4BBNT|59DUR|6TLV|7aVULN|8RCR|aBPWR
49	53251 43333	2	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2aLIT|3RCVC|4TBNT|59DUR|6TLV|7aVULN|8RCR|aBPWR
50	53321 43333	2	   	257.68	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1aDMG|2aLIT|3BBNT|4RCVC|59DUR|6TLV|7aVULN|8RCR|aBPWR
51	22245 23312	1	   	257.55	DCR|2VULN|2DMG|2DUR|2ASPD|1AART	1RCVC|29VULN|34DUR|59ASPD|6DMSP|79DMG|8RCR|9BPWR|aAART
52	22254 53311	1	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	15RCVC|29VULN|36DUR|469ASPD|69BPWR|79DMG|8RCR|aFEWX
53	22254 53312	1	   	257.51	DCR|2VULN|2DMG|3ASPD|2DUR	15RCVC|29VULN|36DUR|469ASPD|69BPWR|79DMG|8RCR|aCGEN
54	22245 23311	1	   	257.41	DCR|2VULN|2DMG|3ASPD|2DUR	1RCVC|29VULN|34DUR|59aASPD|6DMSP|79DMG|8RCR|9BPWR
55	42233 12121	2	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aMLV
56	42233 12121	3	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aMLV
57	42233 12122	2	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aCGEN
58	42233 12122	3	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aCGEN
59	42233 12125	2	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aDMSP
60	42233 12125	3	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aDMSP
61	42233 12126	2	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aRCVC
62	42233 12126	3	   	257.40	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aRCVC
63	42322 22423	2	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2678VULN|3DUR|4BBNT|5CDMG|9RCR|aDMG
64	42352 22423	2	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2678VULN|3DUR|4TBNT|5CDMG|9RCR|aDMG
65	43222 22423	3	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2DUR|3678VULN|4BBNT|5CDMG|9RCR|aDMG
66	43252 22423	3	   	257.30	DCR|4VULN|1DMG|1DUR|1CDMG	1ERES|2DUR|3678VULN|4TBNT|5CDMG|9RCR|aDMG
67	42233 12123	3	   	257.30	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aDUST
68	42233 12123	2	   	257.30	DCR|4VULN|2TLV|1DUR|1CDMG	1ERES|2478VULN|34TLV|4BPWR|5DUR|6CDMG|9RCR|aDUST
69	22621 63432	1	 * 	257.23	DCR|4VULN|2TLV|1DMG|1AART	1RCVC|2468VULN|36TLV|5MBVNT|6BPWR|7DMG|9AART|aRCR
70	53133 12453	5	   	257.11	DCR|2VULN|2DMG|1TLV|1DUR|1ASPD|1AART	18DMG|2LIT|3ASPD|4AART|56VULN|7RCR|9DUR|aTLV
71	23352 42262	4	   	256.98	DCR|5VULN|1DUR|1CDMG	1RCVC|2CDMG|3LHND|45679VULN|8DUR|aRCR
72	42322 22426	2	   	256.78	DCR|5VULN|1DUR|1CDMG	1ERES|2678aVULN|3DUR|4BBNT|5CDMG|9RCR
73	43222 22426	3	   	256.78	DCR|5VULN|1DUR|1CDMG	1ERES|2DUR|3678aVULN|4BBNT|5CDMG|9RCR
74	52226 42213	3	   	256.47	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	19DMG|279ASPD|3CDMG|4DUR|5DMSP|69VULN|8BELT|9BPWR|aRCR
75	52232 13342	6	   	256.47	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	18DMG|278ASPD|3CDMG|4RPLT|5MLV|68VULN|8BPWR|9DUR|aRCR
76	52232 13342	7	   	256.47	DCR|2VULN|2DMG|3ASPD|1DUR|1CDMG	18DMG|278ASPD|3CDMG|4RPLT|5MLV|68VULN|8BPWR|9DUR|aRCR
77	52151 11336	7	   	256.39	DCR|4VULN|2DMG|1ASPD	18DMG|2ASPD|38BEXP|4CGEN|5ZMB|678aVULN|8BPWR|9RCR
78	52351 11336	7	   	256.39	DCR|4VULN|2DMG|1ASPD	18DMG|2ASPD|38FEWX|4CGEN|5ZMB|678aVULN|8BPWR|9RCR
79	26343 23135	6	 * 	256.15	DCR|2VULN|3DUR|2DMG|1TLV	1RCVC|28RPLT|349DUR|59DMG|6RCR|79VULN|9BPWR|aTLV
80	43215 53313	4	   	256.11	DCR|3VULN|3DUR|1TLV|1ASPD	1ERES|249DUR|346VULN|4BPWR|5TBNT|7ASPD|8TLV|aRCR
81	55312 43333	3	 * 	256.10	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1aDMG|2DLOT|39DUR|4TBNT|5AART|6aTLV|7aVULN|8RCR|aBPWR
82	55313 34333	3	   	256.10	DCR|2VULN|2DMG|2DUR|2TLV|1AART	1aDMG|2DLOT|39DUR|4TBNT|5aVULN|6aTLV|7AART|8RCR|aBPWR
83	43212 51313	4	   	255.85	DCR|2VULN|3DUR|2DMG|1TLV	1ERES|249DUR|34VULN|4BPWR|57DMG|6TBNT|8TLV|aRCR
84	11225 53225	1	   	255.81	DCR|4VULN|2DUR|2AART	1LEGI|27DUR|367aVULN|45AART|7BPWR|8RCR|9DMSP
85	11225 53242	1	   	255.81	DCR|4VULN|2DUR|2AART	1LEGI|27DUR|367aVULN|45AART|7BPWR|8RCR|9FEWX
86	11225 53262	1	   	255.81	DCR|4VULN|2DUR|2AART	1LEGI|27DUR|367aVULN|45AART|7BPWR|8RCR|9LHND
87	11225 53232	1	   	255.71	DCR|4VULN|2DUR|2AART	1LEGI|27DUR|367aVULN|45AART|7BPWR|8RCR|9DUST
88	14225 53232	2	   	255.71	DCR|4VULN|2DUR|2AART	1LEGI|27DUR|367aVULN|45AART|7BPWR|8RCR|9DUST
89	53125 31136	4	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1DMG|2LIT|3ASPD|4BELT|56aVULN|78DUR|9RCR
90	43211 33421	10	   	255.10	DCR|3VULN|2DUR|1DMG|1ASPD	1ERES|24DUR|348VULN|4BPWR|5RPLT|6ASPD|7DMG|9LIT|aRCR
91	53131 12622	5	 * 	254.88	DCR|2VULN|2DMG|2ASPD|2TLV|1AART	1aDMG|2LIT|3aASPD|4AART|5ERES|69TLV|7RCR|8aVULN|aBPWR
92	52163 11433	10	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1DMG|2ASPD|3BEXP|4568VULN|7RMIN|9DUR|aRCR
93	52363 11433	10	   	254.86	DCR|4VULN|1DMG|1DUR|1ASPD	1DMG|2ASPD|3FEWX|4568VULN|7RMIN|9DUR|aRCR
94	11573 41338	7	   	254.85	DCR|4VULN|2DMG|1AART	1LEGI|28MLV|3MBVNT|48DMG|5678VULN|8BPWR|9RCR|aAART
95	53133 12451	5	   	254.51	DCR|2VULN|2DMG|1DUR|1CDMG|1ASPD|1AART	18DMG|2LIT|3ASPD|4AART|56VULN|7RCR|9DUR|aCDMG
96	53133 44213	10	   	254.13	DCR|3VULN|1DMG|2LIT|1CDMG|1ASPD|1AART	1DMG|26LIT|3ASPD|4AART|58aVULN|7RCR|9CDMG
97	61632 43221	1	   	253.69	DCR|4VULN|1TLV|1DUR|1CDMG	1CGEN|2CDMG|3TLV|4567VULN|8DUR|9RCR|aMLV
98	34141 12338	1	   	253.60	DCR|4VULN|2DMG	18BEXP|2MBVNT|38DMG|4RPLT|578aVULN|6RCR|8BPWR|9LIT
99	61632 43222	1	   	253.59	DCR|4VULN|1TLV|1DUR|1CDMG	1CGEN|2CDMG|3TLV|4567VULN|8DUR|9RCR|aERES
