0	Index      	Bounty	 *	Score 	Summary	Detail	
1	42323 35353	10	 * 	267.68	DCR|4VULN|2TLV|1DUR|1CDMG	19LWND|2LIT|369aVULN|4CDMG|5DUR|7RCR|89TLV|9BPWR
2	12323 35353	10	 * 	266.49	DCR|3VULN|2TLV|1DMG|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aDMG
3	32553 26313	4	 * 	264.37	DCR|2VULN|2DMG|1TLV|2CDMG|1DUR|2LIT	1RCVC|27DMG|37VULN|49CDMG|5DUR|67LIT|7BPWR|8TLV|aRCR
4	32413 12254	2	 * 	262.12	DCR|3VULN|2DMG|2TLV|2ASPD	1RCVC|2aDMG|3aTLV|459VULN|6DUST|7aASPD|8RCR|aBPWR
5	32541 15121	7	 * 	261.90	DCR|4VULN|3DMG|1CDMG|1SELL	14RCVC|268DMG|368aVULN|5SELL|68BPWR|7RCR|9CDMG
6	21531 33212	10	 * 	260.64	DCR|5VULN|2DMG|1AART	1aERES|2RPLT|3789aVULN|4aDMG|5AART|6RCR|aBPWR
7	35313 24353	5	 * 	260.33	DCR|4VULN|2DUR|1TLV	1RCVC|25DUR|348aVULN|6TLV|7RCR|9LIT
8	35314 24323	4	   	260.33	DCR|4VULN|2DUR|1TLV	1RCVC|29DUR|3458VULN|6TLV|7RCR|aASPD
9	12322 65133	8	   	259.90	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	18DUST|2LIT|389VULN|4CDMG|5DMG|68TLV|7RCR|8BPWR|aAART
10	13226 81263	1	 * 	259.40	DCR|5VULN|1TLV|1DMG	15DUST|24569VULN|3MBVNT|5BPWR|7DMG|8RCR|aTLV
11	22613 43613	6	   	259.19	DCR|5VULN|2DMG	1ERES|26DMG|34579VULN|8LIT|aRCR
12	32512 26234	7	 * 	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	1RCVC|2aDMG|37aVULN|4MLV|56ASPD|8RCR|9aDUR|aBPWR
13	32522 26224	7	   	258.77	DCR|3VULN|2DMG|2DUR|2ASPD	1RCVC|2aDMG|37aVULN|4CGEN|56ASPD|8RCR|9aDUR|aBPWR
14	22612 26224	7	   	258.57	DCR|3VULN|2DMG|2DUR|2ASPD	1aERES|2aDMG|347VULN|56ASPD|8RCR|9aDUR|aBPWR
15	32513 41234	7	 * 	258.27	DCR|3VULN|3DMG|2DUR	1RCVC|26aDMG|35aVULN|4MLV|7ZMB|8RCR|9aDUR|aBPWR
16	32523 41224	7	   	258.27	DCR|3VULN|3DMG|2DUR	1RCVC|26aDMG|35aVULN|4CGEN|7ZMB|8RCR|9aDUR|aBPWR
17	22613 41224	7	   	258.07	DCR|3VULN|3DMG|2DUR	1aERES|26aDMG|345VULN|7ZMB|8RCR|9aDUR|aBPWR
18	12122 66153	9	   	257.95	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1DUST|28LIT|3LHND|4CDMG|58DMG|6TLV|78VULN|8BPWR|9DUR|aRCR
19	12122 66163	8	   	257.95	DCR|2VULN|2DMG|1TLV|1DUR|2LIT|1CDMG	1DUST|28LIT|3LHND|4CDMG|58DMG|6TLV|78VULN|8BPWR|9DUR|aRCR
20	21531 36212	10	 * 	257.95	DCR|4VULN|3DMG|1AART	1aERES|2RPLT|389aVULN|47aDMG|5AART|6RCR|aBPWR
21	35313 24324	5	 * 	257.85	DCR|3VULN|3DUR|1TLV|1CDMG	1RCVC|259DUR|348VULN|6TLV|7RCR|aCDMG
22	35314 24231	4	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1RCVC|2DUR|345aVULN|6TLV|7RCR|8LHND|9DMG
23	41314 24323	4	   	257.50	DCR|4VULN|1TLV|1DMG|1DUR	1LWND|2RCVC|3458VULN|6TLV|7RCR|9DUR|aDMG
24	22662 31331	6	 * 	257.02	DCR|2VULN|3DMG|1TLV|2CDMG	17ERES|247DMG|38VULN|5ASPD|67CDMG|7BPWR|9RCR|aTLV
25	24261 22326	9	   	256.07	DCR|3VULN|2DMG|2DUR|1CDMG	1aERES|27DUR|39aVULN|4LWND|5CDMG|6aDMG|8RCR|aBPWR
26	32552 33224	4	   	256.03	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1RCVC|2aDMG|36aVULN|4CDMG|5CGEN|7SELL|8RCR|9aDUR|aBPWR
27	32553 33224	5	   	256.03	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1RCVC|2aDMG|36aVULN|4CDMG|5CGEN|7SELL|8RCR|9aDUR|aBPWR
28	32551 33224	4	   	255.93	DCR|3VULN|2DMG|2DUR|1CDMG|1SELL	1RCVC|2aDMG|36aVULN|4CDMG|5ERES|7SELL|8RCR|9aDUR|aBPWR
29	32233 65432	9	 * 	255.85	DCR|3VULN|3DUR|2DMG	1RCVC|27DMG|3RMIN|4BEXP|578VULN|679DUR|7BPWR|aRCR
30	35314 24312	4	   	255.78	DCR|5VULN|1TLV|1DUR	1RCVC|2DUR|3458aVULN|6TLV|7RCR|9MLV
31	12323 35355	9	   	254.73	DCR|3VULN|2TLV|1DUR|1CDMG	19DUST|2LIT|369VULN|4CDMG|5DUR|7RCR|89TLV|9BPWR|aASPD
32	35313 61353	5	 * 	254.19	DCR|4VULN|2DUR|1DMG	1RCVC|25DUR|348aVULN|6RCR|7DMG|9LIT
33	35314 61323	4	   	254.19	DCR|4VULN|2DUR|1DMG	1RCVC|29DUR|3458VULN|6RCR|7DMG|aASPD
34	32541 15131	7	 * 	253.40	DCR|3VULN|3DMG|1TLV|1SELL	14RCVC|268DMG|368VULN|5SELL|68BPWR|7RCR|9BEXP|aTLV
35	35311 31135	9	 * 	253.30	DCR|3VULN|2DUR|2CDMG|1DMG	1RCVC|29DUR|349VULN|5DMG|6LIT|7BELT|89CDMG|9BPWR|aRCR
36	22623 34314	2	 * 	253.12	DCR|2VULN|3DUR|1TLV|1DMG|1CDMG	1ERES|2DMG|3CDMG|457DUR|69VULN|8RCR|aTLV
37	32412 12254	2	 * 	253.08	DCR|2VULN|3DMG|2TLV|2ASPD	1RCVC|25aDMG|3aTLV|49VULN|6DUST|7aASPD|8RCR|aBPWR
38	42323 35333	10	   	252.93	DCR|3VULN|2DUR|1TLV|1CDMG	1LWND|2LIT|36aVULN|4CDMG|59DUR|7RCR|8TLV
39	12323 35356	10	 * 	252.74	DCR|3VULN|2TLV|2CDMG|1DUR	19DUST|2LIT|369VULN|4aCDMG|5DUR|7RCR|89TLV|9BPWR
40	35313 24322	5	   	252.51	DCR|3VULN|3DUR|1TLV	1RCVC|259DUR|348VULN|6TLV|7RCR|aLIT
41	35313 24352	5	   	252.51	DCR|3VULN|3DUR|1TLV	1RCVC|25aDUR|348VULN|6TLV|7RCR|9LIT
42	32443 26133	2	 * 	252.34	DCR|2VULN|2DMG|2DUR|1TLV	1RCVC|2aDMG|3TLV|4MBVNT|5aVULN|6LWND|7LIT|8RCR|9aDUR|aBPWR
43	35313 24334	5	 * 	252.28	DCR|3VULN|3DUR|2TLV	1RCVC|25aDUR|348VULN|6aTLV|7RCR|9aDUST|aBPWR
44	34214 15331	10	   	252.22	DCR|4VULN|2DUR|1TLV	1RCVC|27BEXP|3LWND|478aVULN|57DUR|6RCR|7BPWR|9TLV
45	32543 33313	9	   	252.19	DCR|2VULN|2DMG|2DUR|1TLV|1SELL	14RCVC|29DMG|39VULN|5TLV|6SELL|7LIT|89DUR|9BPWR|aRCR
46	35313 24312	5	   	252.02	DCR|4VULN|2DUR|1TLV	1RCVC|25DUR|348aVULN|6TLV|7RCR|9MLV
47	35314 24313	4	   	252.02	DCR|4VULN|2DUR|1TLV	1RCVC|2aDUR|3458VULN|6TLV|7RCR|9MLV
48	35314 24321	4	   	252.02	DCR|4VULN|2DUR|1TLV	1RCVC|29DUR|3458VULN|6TLV|7RCR|aCGEN
49	35314 24322	4	   	252.02	DCR|4VULN|2DUR|1TLV	1RCVC|29DUR|3458VULN|6TLV|7RCR|aLWND
50	35314 63323	4	   	252.02	DCR|4VULN|2DUR|1TLV	1RCVC|29DUR|3458VULN|6RCR|7CGEN|aTLV
51	35313 61324	5	   	251.71	DCR|3VULN|3DUR|1DMG|1CDMG	1RCVC|259DUR|348VULN|6RCR|7DMG|aCDMG
52	13224 16615	1	   	251.49	DCR|3VULN|2TLV|1DMG|1CDMG|1AART	17DUST|247VULN|3MBVNT|5AART|67TLV|7BPWR|8CDMG|9RCR|aDMG
53	12321 35353	10	   	251.23	DCR|4VULN|2TLV|1CDMG	19DUST|2LIT|369aVULN|4CDMG|5LWND|7RCR|89TLV|9BPWR
54	12323 35365	9	   	251.20	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1DUST|2LIT|36VULN|4CDMG|5DUR|7RCR|8TLV|9aDMG
55	35313 24231	5	 * 	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RCVC|25DUR|34aVULN|6TLV|7RCR|8LHND|9DMG
56	35313 24253	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RCVC|25DUR|349VULN|6TLV|7RCR|8LHND|aDMG
57	35313 24343	5	   	251.04	DCR|3VULN|2DUR|1TLV|1DMG	1RCVC|25DUR|348VULN|6TLV|7RCR|9LHND|aDMG
58	13112 33235	1	 * 	250.82	DCR|3VULN|3DMG|3ASPD	167DUST|249VULN|379DMG|579ASPD|79BPWR|8BBNT|aRCR
59	14112 33235	2	   	250.82	DCR|3VULN|3DMG|3ASPD	167DUST|249VULN|379DMG|579ASPD|79BPWR|8BBNT|aRCR
60	14212 33235	3	   	250.82	DCR|3VULN|3DMG|3ASPD	167DUST|249VULN|379DMG|579ASPD|79BPWR|8BBNT|aRCR
61	14252 23235	6	   	250.82	DCR|3VULN|3DMG|3ASPD	157DUST|249VULN|379DMG|679ASPD|79BPWR|8BBNT|aRCR
62	14252 33235	4	   	250.82	DCR|3VULN|3DMG|3ASPD	167DUST|249VULN|379DMG|579ASPD|79BPWR|8BBNT|aRCR
63	21531 24136	10	   	250.81	DCR|4VULN|1TLV|1DMG|1AART	1ERES|2RPLT|378aVULN|4DMG|5AART|6TLV|9RCR
64	32523 33313	9	   	250.68	DCR|3VULN|2DMG|2DUR|1SELL	1RCVC|29DMG|359VULN|4CGEN|6SELL|7LIT|89DUR|9BPWR|aRCR
65	22613 33313	9	   	250.48	DCR|3VULN|2DMG|2DUR|1SELL	19ERES|29DMG|345VULN|6SELL|7LIT|89DUR|9BPWR|aRCR
66	12322 65131	8	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	18DUST|2LIT|389VULN|4CDMG|5DMG|68TLV|7RCR|8BPWR|aLWND
67	12322 65132	8	   	250.24	DCR|3VULN|2TLV|1DMG|1CDMG	18DUST|2LIT|389VULN|4CDMG|5DMG|68TLV|7RCR|8BPWR|aFEWX
68	12322 65135	8	 * 	250.14	DCR|3VULN|3TLV|1DMG|1CDMG	18DUST|2LIT|389VULN|4CDMG|5DMG|68aTLV|7RCR|8BPWR
