0	Index      	Bounty	 *	Score 	Summary	Detail	
1	34141 22263	8	 * 	293.71	DCR|3VULN|2DMG|2DUR|2TLV|2CDMG	1RMIN|27aVULN|3RCVC|4aTLV|57CDMG|67DMG|7aBPWR|8aDUR|9RCR
2	42313 31652	10	 * 	293.69	DCR|3VULN|3DMG|2DUR|1TLV	148VULN|289DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aTLV
3	42313 31623	8	 * 	290.98	DCR|4VULN|2DMG|2DUR|2LIT	1489VULN|28DMG|3ERES|5aLIT|68DUR|7RCR|8BPWR
4	42326 11432	9	 * 	289.06	DCR|3VULN|3DMG|3CDMG|1DUR	178VULN|278DMG|3ERES|4DUR|578CDMG|6RMIN|78BPWR|9LIT|aRCR
5	42521 33532	9	 * 	284.78	DCR|3VULN|3DUR|2DMG|1AART	159VULN|29DMG|3AART|4FEWX|6LIT|789DUR|9BPWR|aRCR
6	42143 31623	8	   	284.69	DCR|3VULN|2DMG|2DUR|1TLV|2LIT	189VULN|28DMG|3RCVC|4TLV|5aLIT|68DUR|7RCR|8BPWR
7	42313 31621	8	   	284.43	DCR|4VULN|2DMG|2DUR	1489VULN|28DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aZMB
8	42313 31622	8	   	284.43	DCR|4VULN|2DMG|2DUR	1489VULN|28DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aLHND
9	42313 31626	8	   	284.43	DCR|4VULN|2DMG|2DUR	1489VULN|28DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aDMSP
10	42313 31626	10	   	284.43	DCR|4VULN|2DMG|2DUR	148aVULN|28DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|9RCVC
11	42313 31624	8	   	284.33	DCR|4VULN|2DMG|2DUR	1489VULN|28DMG|3aERES|5LIT|68DUR|7RCR|8BPWR
12	42313 31625	8	   	284.33	DCR|4VULN|2DMG|2DUR	1489VULN|28DMG|3ERES|5LIT|68DUR|7RCR|8BPWR|aDUST
13	33125 32363	5	   	283.48	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	12RMIN|3aDUR|45aVULN|6TLV|7CDMG|8aDMG|9RCR|aBPWR
14	12121 33465	5	 * 	282.46	DCR|3VULN|3DMG|3DUR	1RCVC|234DUR|58aDMG|68aVULN|7RMIN|8aBPWR|9RCR
15	34311 22266	8	 * 	281.50	DCR|4VULN|2DMG|2CDMG|1DUR	1RMIN|247aVULN|3ERES|57CDMG|67DMG|7BPWR|8DUR|9RCR
16	34311 22636	10	   	281.50	DCR|4VULN|2DMG|2CDMG|1TLV	1RMIN|247aVULN|3ERES|57CDMG|67DMG|7BPWR|8TLV|9RCR
17	42311 32125	7	 * 	278.28	DCR|5VULN|2DMG|1CDMG	14678VULN|2aDMG|3ERES|5CDMG|9RCR
18	42311 32625	8	   	278.28	DCR|5VULN|2DMG|1CDMG	14678VULN|2aDMG|3ERES|5CDMG|9RCR
