0	Index      	Bounty	 *	Score 	Summary	Detail	
1	13161 23522	7	 * 	272.42	DCR|3VULN|2DMG|2DUR|2ASPD|1CDMG	1LHND|24aVULN|34DUR|4aBPWR|5ERES|6aDMG|7RCR|8CDMG|9aASPD
2	12325 24133	2	 * 	270.06	DCR|4VULN|2TLV|2DUR|1AART	1aLHND|24DUR|347aVULN|4aBPWR|5RPLT|6RCR|8aTLV|9AART
3	26232 31522	10	 * 	267.19	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1TLV|28LIT|3DUST|4ASPD|58DMG|6aVULN|78DUR|8BPWR|9RCR
4	26232 31525	8	   	267.19	DCR|2VULN|2DMG|2DUR|1TLV|2LIT	1TLV|28LIT|3DUST|4ASPD|58DMG|69VULN|78DUR|8BPWR|aRCR
5	23331 14454	4	 * 	265.93	DCR|3VULN|3DUR|3TLV|1CDMG	12aTLV|2aBPWR|3CDMG|49aVULN|57aDUR|6MBVNT|8RCR
6	23351 14454	3	   	265.93	DCR|3VULN|3DUR|3TLV|1CDMG	12aTLV|2aBPWR|3CDMG|49aVULN|57aDUR|6MBVNT|8RCR
7	25331 14454	4	   	265.93	DCR|3VULN|3DUR|3TLV|1CDMG	12aTLV|3CDMG|49aVULN|57aDUR|6MBVNT|8RCR|aBPWR
8	25351 14454	3	   	265.93	DCR|3VULN|3DUR|3TLV|1CDMG	12aTLV|3CDMG|49aVULN|57aDUR|6MBVNT|8RCR|aBPWR
9	26444 34325	6	 * 	265.71	DCR|4VULN|1TLV|1DMG|1DUR	1TLV|2LIT|3MBVNT|4569VULN|7DUR|8RCR|aDMG
10	23331 35453	6	 * 	265.48	DCR|4VULN|2TLV|2CDMG|1DUR	12TLV|26BPWR|36CDMG|4568VULN|7BBNT|9RCR|aDUR
11	12325 21422	2	 * 	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|24DUR|348VULN|4BPWR|5RPLT|6RCR|7CDMG|9DMG|aTLV
12	12325 24622	2	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|24DUR|347VULN|4BPWR|5RPLT|6RCR|8CDMG|9DMG|aTLV
13	13125 21422	3	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|248VULN|34DUR|4BPWR|5RPLT|6RCR|7CDMG|9DMG|aTLV
14	13125 24622	3	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|247VULN|34DUR|4BPWR|5RPLT|6RCR|8CDMG|9DMG|aTLV
15	13165 21422	4	   	264.79	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	1LHND|248VULN|34DUR|4BPWR|5RPLT|6RCR|7CDMG|9DMG|aTLV
16	12325 23442	2	 * 	264.46	DCR|3VULN|3DUR|1TLV|2CDMG	19LHND|247DUR|349VULN|49BPWR|5RPLT|6RCR|89CDMG|aTLV
17	13125 23442	3	   	264.46	DCR|3VULN|3DUR|1TLV|2CDMG	19LHND|249VULN|347DUR|49BPWR|5RPLT|6RCR|89CDMG|aTLV
18	35161 14454	1	   	264.26	DCR|3VULN|3DUR|1TLV|2CDMG	1DMSP|27aDUR|3MBVNT|4TLV|59aVULN|6aCDMG|8RCR|aBPWR
