0	Index      	Bounty	 *	Score 	Summary	Detail	
1	16311 63611	9	 * 	297.70	DCR|3VULN|3DMG|3DUR|1TLV	178VULN|28aDMG|3TLV|4BEXP|589DUR|6RCR|8BPWR
2	13233 15224	10	 * 	295.25	DCR|4VULN|2DMG|1TLV|2CDMG|1DUR	189aVULN|2TLV|3aCDMG|4LHND|5DUR|6aDMG|7RCR|aBPWR
3	16311 61612	10	   	292.78	DCR|3VULN|3DMG|2DUR|1TLV	18aVULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9LIT
4	16311 63622	10	   	292.14	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aCDMG
5	11522 13363	5	   	291.81	DCR|3VULN|3DUR|2DMG|1TLV	159VULN|2RPLT|359DUR|4RMIN|59BPWR|6RCR|79DMG|8AART|aTLV
6	16311 63623	10	   	291.71	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|58aDUR|6RCR|8BPWR|9AART
7	13221 48625	10	 * 	291.55	DCR|4VULN|3DUR|1TLV|3CDMG	179aVULN|2TLV|37aCDMG|47aDUR|5MBVNT|6RMIN|7aBPWR|8RCR
8	16312 63623	9	 * 	291.14	DCR|4VULN|3DMG|1TLV|1DUR	1789VULN|289DMG|3TLV|4BEXP|589FEWX|6RCR|89BPWR|aDUR
9	13221 18134	7	 * 	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	179VULN|27TLV|3CDMG|48DUR|5MBVNT|67DMG|7BPWR|aRCR
10	13221 18334	8	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	179VULN|27TLV|3CDMG|48DUR|5MBVNT|67DMG|7BPWR|aRCR
11	13511 18134	7	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	179VULN|27TLV|38DUR|4CDMG|5MBVNT|67DMG|7BPWR|aRCR
12	13511 18334	8	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	179VULN|27TLV|38DUR|4CDMG|5MBVNT|67DMG|7BPWR|aRCR
13	13221 18115	7	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	17aVULN|27TLV|3CDMG|48DUR|5MBVNT|67DMG|7BPWR|9RCR
14	13221 18315	8	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	17aVULN|27TLV|3CDMG|48DUR|5MBVNT|67DMG|7BPWR|9RCR
15	13511 18115	7	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	17aVULN|27TLV|38DUR|4CDMG|5MBVNT|67DMG|7BPWR|9RCR
16	13511 18315	8	   	290.45	DCR|3VULN|2DMG|2TLV|2DUR|1CDMG	17aVULN|27TLV|38DUR|4CDMG|5MBVNT|67DMG|7BPWR|9RCR
17	16311 63621	8	 * 	289.87	DCR|4VULN|2DMG|2DUR|1TLV	178aVULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9LHND
18	13233 16524	10	 * 	289.86	DCR|3VULN|3DMG|1TLV|2CDMG|1DUR	19aVULN|2TLV|3aCDMG|4LHND|5DUR|67aDMG|8RCR|aBPWR
19	16311 63631	9	   	289.77	DCR|4VULN|2DMG|2DUR|1TLV	178aVULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9DUST
20	13413 15224	10	   	288.94	DCR|4VULN|2DMG|1TLV|1DUR|1CDMG	189aVULN|2TLV|3aLWND|4CDMG|5DUR|6aDMG|7RCR|aBPWR
21	13233 15244	10	 * 	288.79	DCR|3VULN|2DMG|2DUR|1TLV|2CDMG	18aVULN|2TLV|3aCDMG|4LHND|59DUR|6aDMG|7RCR|aBPWR
22	16312 63622	9	   	288.54	DCR|4VULN|3DMG|1TLV|1CDMG	1789VULN|289DMG|3TLV|4BEXP|589FEWX|6RCR|89BPWR|aCDMG
23	16351 12334	8	   	288.46	DCR|3VULN|3DMG|1TLV|2CDMG|2LIT	19aVULN|25aDMG|3TLV|48CDMG|6aLIT|7RCR|aBPWR
24	16311 63621	9	   	286.79	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aLIT
25	16311 61633	10	   	282.67	DCR|2VULN|3DMG|3DUR|1TLV	18VULN|278DMG|3TLV|4BEXP|58aDUR|6RCR|8BPWR|9AART
26	16311 63631	8	   	282.47	DCR|3VULN|2DMG|2DUR|1TLV|1CDMG	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9ZMB|aCDMG
27	13233 15124	10	 * 	282.28	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	19aVULN|28TLV|3aCDMG|4LHND|5DUR|6aDMG|7RCR|aBPWR
28	13221 18134	8	   	282.18	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	179VULN|27TLV|38CDMG|4DUR|5MBVNT|67DMG|7BPWR|aRCR
29	13511 18134	8	   	282.18	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	179VULN|27TLV|3DUR|48CDMG|5MBVNT|67DMG|7BPWR|aRCR
30	13221 18115	8	   	282.18	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	17aVULN|27TLV|38CDMG|4DUR|5MBVNT|67DMG|7BPWR|9RCR
31	13511 18115	8	   	282.18	DCR|3VULN|2DMG|2TLV|2CDMG|1DUR	17aVULN|27TLV|3DUR|48CDMG|5MBVNT|67DMG|7BPWR|9RCR
32	16311 63633	8	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|58aDUR|6RCR|8BPWR|9ZMB
33	16311 63611	10	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6RCR|8BPWR|aRPLT
34	16311 63612	10	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6RCR|8BPWR|aRCVC
35	16311 63612	9	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6RCR|8BPWR|aLHND
36	16311 63613	9	   	282.05	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6RCR|8BPWR|aZMB
37	16311 13713	9	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6MBVNT|8BPWR|aRCR
38	16311 13773	8	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6MBVNT|8BPWR|aRCR
39	16341 13713	9	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4LWND|589DUR|6MBVNT|8BPWR|aRCR
40	16361 13713	9	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4FEWX|589DUR|6MBVNT|8BPWR|aRCR
41	16311 63613	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|589DUR|6RCR|8BPWR|aDUST
42	16311 63632	10	   	281.95	DCR|3VULN|3DUR|2DMG|1TLV	178VULN|28DMG|3TLV|4BEXP|58aDUR|6RCR|8BPWR|9DUST
43	16311 61632	8	   	281.74	DCR|2VULN|3DMG|2DUR|1TLV|1CDMG	18VULN|278DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9CDMG|aLIT
44	16315 63321	9	 * 	280.37	DCR|4VULN|2TLV|2DUR|1DMG	179aVULN|2DMG|39TLV|4BEXP|5LHND|6RCR|89DUR|9BPWR
45	16325 63321	9	   	280.27	DCR|4VULN|2TLV|2DUR|1DMG	179aVULN|2DMG|39TLV|4DUST|5LHND|6RCR|89DUR|9BPWR
46	45333 32631	4	 * 	279.43	DCR|4VULN|3DMG|2DUR	168DMG|2CGEN|37RCVC|48DUR|568aVULN|68BPWR|9RCR
47	12523 22346	3	 * 	279.37	DCR|4VULN|3DUR|3LIT|1DMG	1578VULN|24RMIN|378DUR|678LIT|78BPWR|9RCR|aDMG
48	12533 22346	4	   	279.37	DCR|4VULN|3DUR|3LIT|1DMG	1578VULN|2RMIN|378DUR|4DMSP|678LIT|78BPWR|9RCR|aDMG
49	13221 18118	7	 * 	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	17VULN|27TLV|3CDMG|48aDUR|5MBVNT|67DMG|7BPWR|9RCR
50	13221 18318	8	   	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	17VULN|27TLV|3CDMG|48aDUR|5MBVNT|67DMG|7BPWR|9RCR
51	13511 18118	7	   	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	17VULN|27TLV|38aDUR|4CDMG|5MBVNT|67DMG|7BPWR|9RCR
52	13511 18318	8	   	278.99	DCR|2VULN|3DUR|2DMG|2TLV|1CDMG	17VULN|27TLV|38aDUR|4CDMG|5MBVNT|67DMG|7BPWR|9RCR
53	16311 63621	10	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aMLV
54	16311 63622	9	   	278.49	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aLHND
55	16311 63623	9	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	178VULN|28DMG|3TLV|4BEXP|58DUR|6RCR|8BPWR|9AART|aTBNT
56	41312 61423	10	 * 	277.97	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2DUR|39TLV|4BEXP|5LHND|6RCR|89aVULN|9BPWR
57	41362 63323	10	   	277.97	DCR|3VULN|3DMG|2TLV|1DUR	189DMG|2DUR|39TLV|4FEWX|5LHND|6RCR|79aVULN|9BPWR
58	41322 61423	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	179DMG|2DUR|39TLV|4DUST|5LHND|6RCR|89aVULN|9BPWR
59	41322 63323	10	   	277.87	DCR|3VULN|3DMG|2TLV|1DUR	189DMG|2DUR|39TLV|4DUST|5LHND|6RCR|79aVULN|9BPWR
60	16311 61633	9	 * 	277.53	DCR|2VULN|3DMG|2TLV|2DUR	18VULN|278DMG|3aTLV|4BEXP|58DUR|6RCR|8BPWR|9AART
