0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31343 43313	5	 * 	290.03	DCR|3VULN|3DUR|2DMG|2TLV	138DUR|2aDMG|48TLV|578VULN|6BBNT|8BPWR|9RCR
2	32131 65333	10	   	282.28	DCR|3VULN|3DUR|2TLV|2ASPD|1CDMG	127DUR|39aVULN|4CDMG|5aTLV|6RCR|8aASPD|aBPWR
3	31343 43311	5	   	282.10	DCR|3VULN|3DUR|2TLV|1DMG|1AART	138DUR|2DMG|48TLV|578VULN|6BBNT|8BPWR|9RCR|aAART
4	35343 43313	5	   	280.75	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|2ASPD|48TLV|578VULN|6BBNT|8BPWR|9RCR|aDMG
5	32131 44333	10	 * 	277.32	DCR|2VULN|3DUR|2DMG|1TLV|2CDMG	127DUR|39VULN|49CDMG|5TLV|6CGEN|89DMG|9BPWR|aRCR
6	36231 62362	9	 * 	273.95	DCR|4VULN|2TLV|2DUR|1CDMG	17DUR|27TLV|3LHND|4CDMG|5789VULN|6DMSP|7BPWR|aRCR
7	31424 21151	9	 * 	273.11	DCR|2VULN|3DMG|3DUR|1TLV	14aDUR|246DMG|3RMIN|4aBPWR|5TLV|7aVULN|8aCGEN|9RCR
8	31343 43312	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|2DMG|48TLV|578VULN|6BBNT|8BPWR|9RCR|aLWND
9	31343 43314	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|2DMG|48TLV|578VULN|6BBNT|8BPWR|9RCR|aLHND
10	31343 43315	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|2DMG|48TLV|578VULN|6BBNT|8BPWR|9RCR|aCGEN
11	31343 43316	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	138DUR|2DMG|48TLV|578VULN|6BBNT|8BPWR|9RCR|aDMSP
12	32111 61313	3	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	128DUR|368VULN|4RMIN|5BBNT|78TLV|8BPWR|9RCR|aDMG
13	32143 31313	3	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	128DUR|348VULN|5RMIN|6TBNT|78TLV|8BPWR|9RCR|aDMG
14	32343 43313	5	   	272.44	DCR|3VULN|3DUR|2TLV|1DMG	128DUR|3ZMB|48TLV|578VULN|6BBNT|8BPWR|9RCR|aDMG
15	31353 35151	4	 * 	271.40	DCR|3VULN|3DMG|3DUR	134DUR|279DMG|57aVULN|6RPLT|7BPWR|8RCR
16	35343 43311	5	   	270.35	DCR|3VULN|3DUR|2TLV|1AART	138DUR|2ASPD|48TLV|578VULN|6BBNT|8BPWR|9RCR|aAART
