0	Index      	Bounty	 *	Score 	Summary	Detail	
1	18372 38243	7	 * 	297.60	DCR|3VULN|3DMG|3DUR|1TLV	1MBVNT|237DMG|467DUR|57aVULN|7BPWR|8RCR|9TLV
2	18472 12118	4	 * 	292.55	DCR|4VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|5789VULN|78BPWR|aRCR
3	18472 12141	4	   	292.55	DCR|4VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|578aVULN|78BPWR|9RCR
4	18123 14176	3	 * 	281.81	DCR|5VULN|2DMG|2DUR	1MBVNT|2aDMG|3ERES|4568aVULN|7RCR|9aDUR|aBPWR
5	33522 52421	10	 * 	280.62	DCR|3VULN|2DUR|1TLV|1DMG|2CDMG|1SELL	1SELL|2AART|38DUR|4TLV|589VULN|68CDMG|7RCR|8BPWR|aDMG
6	18472 12142	4	   	279.81	DCR|3VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|578VULN|78BPWR|9RCR|aLIT
7	18372 38232	7	   	279.71	DCR|3VULN|3DMG|3DUR	1MBVNT|237DMG|467DUR|579VULN|7BPWR|8RCR|aLIT
8	18372 38234	7	   	279.71	DCR|3VULN|3DMG|3DUR	1MBVNT|237DMG|467DUR|579VULN|7BPWR|8RCR|aASPD
9	18436 74342	3	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DMG|37DUR|4TLV|5CGEN|678VULN|7BPWR|9AART|aRCR
10	18444 74342	5	   	278.39	DCR|3VULN|2DMG|2DUR|1TLV	1MBVNT|27DMG|37DUR|4CGEN|5TLV|678VULN|7BPWR|9AART|aRCR
11	17842 31542	8	   	276.95	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1MBVNT|268VULN|3AART|4TLV|58ASPD|78DUR|8BPWR|9DMG|aRCR
12	17842 31542	9	   	276.95	DCR|3VULN|2DUR|1TLV|1DMG|2ASPD	1MBVNT|268VULN|3AART|4TLV|58ASPD|78DUR|8BPWR|9DMG|aRCR
13	18484 38241	10	   	276.80	DCR|4VULN|3DUR|2DMG	1MBVNT|27DMG|367DUR|457aVULN|7BPWR|8LWND|9RCR
14	34123 34126	8	 * 	276.56	DCR|3VULN|2DMG|2TLV|2DUR|1SELL	1SELL|2aDMG|3aTLV|46DUR|5DUST|78aVULN|9RCR|aBPWR
15	18372 38242	7	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1MBVNT|237DMG|467DUR|57VULN|7BPWR|8RCR|9TLV|aBEXP
16	18372 38244	7	   	272.91	DCR|2VULN|3DMG|3DUR|1TLV	1MBVNT|237DMG|467DUR|57VULN|7BPWR|8RCR|9TLV|aCGEN
17	18372 38241	7	   	272.81	DCR|2VULN|3DMG|3DUR|1TLV	1MBVNT|237DMG|467DUR|57VULN|7BPWR|8RCR|9TLV|aDUST
18	41211 65321	8	   	272.00	DCR|3VULN|3DUR|2DMG|2ASPD	1RMIN|279VULN|39aDUR|47ASPD|57DMG|6RCR|79BPWR|89ERES
19	34126 34231	7	 * 	271.84	DCR|4VULN|2DUR|1TLV|1DMG|1SELL	1SELL|2DMG|3TLV|46DUR|5789VULN|aRCR
20	41221 65321	8	   	271.83	DCR|3VULN|3DMG|2DUR|1CDMG|1NUKE	1RMIN|279VULN|37DUR|4NUKE|579DMG|6RCR|79BPWR|89ERES|aCDMG
21	18332 44128	4	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|239DMG|46aCGEN|59aDUR|7RCR|89aVULN|9aBPWR
22	18334 44128	5	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|239DMG|46aCGEN|59aDUR|7RCR|89aVULN|9aBPWR
23	18334 74128	6	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|239DMG|46aCGEN|59aDUR|7RCR|89aVULN|9aBPWR
24	18443 84128	3	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|269DMG|34aDUR|59aCGEN|7RCR|89aVULN|9aBPWR
25	18712 44126	4	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|346CGEN|59aDUR|7RCR|89aVULN|9aBPWR
26	18714 44126	5	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|346CGEN|59aDUR|7RCR|89aVULN|9aBPWR
27	18742 44126	3	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|346CGEN|59aDUR|7RCR|89aVULN|9aBPWR
28	18832 44126	4	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|3RCVC|46CGEN|59aDUR|7RCR|89aVULN|9aBPWR
29	18834 44126	5	   	271.60	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|3RCVC|46CGEN|59aDUR|7RCR|89aVULN|9aBPWR
30	18472 12144	4	   	271.50	DCR|3VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|578VULN|78BPWR|9RCR|aCGEN
31	18472 12146	4	   	271.50	DCR|3VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|578VULN|78BPWR|9RCR|aFEWX
32	18472 12147	4	   	271.50	DCR|3VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|578VULN|78BPWR|9RCR|aRCVC
33	18472 12143	4	   	271.40	DCR|3VULN|3DMG|3DUR	1MBVNT|278DMG|367DUR|4RPLT|578VULN|78BPWR|9RCR|aDUST
34	18152 44128	3	   	271.40	DCR|3VULN|3DMG|3DUR	1MBVNT|269DMG|3aERES|4RCVC|59aDUR|7RCR|89aVULN|9aBPWR
35	18372 38231	7	   	271.40	DCR|3VULN|3DMG|3DUR	1MBVNT|237DMG|467DUR|579VULN|7BPWR|8RCR|aFEWX
36	18812 44128	3	   	271.40	DCR|3VULN|3DMG|3DUR	1MBVNT|269DMG|3RCVC|4aERES|59aDUR|7RCR|89aVULN|9aBPWR
37	18152 24126	3	   	271.40	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|36ERES|4RCVC|59aDUR|7RCR|89aVULN|9aBPWR
38	18812 24126	3	   	271.40	DCR|3VULN|3DMG|3DUR	1MBVNT|29aDMG|3RCVC|46ERES|59aDUR|7RCR|89aVULN|9aBPWR
39	18182 44128	3	   	271.30	DCR|3VULN|3DMG|3DUR	1MBVNT|269DMG|34aERES|59aDUR|7RCR|89aVULN|9aBPWR
40	18312 24128	3	   	271.30	DCR|3VULN|3DMG|3DUR	1MBVNT|239DMG|46aERES|59aDUR|7RCR|89aVULN|9aBPWR
41	18372 38223	7	   	271.30	DCR|3VULN|3DMG|3DUR	1MBVNT|237DMG|467DUR|57aVULN|7BPWR|8RCR|9ERES
42	18441 44128	3	   	271.30	DCR|3VULN|3DMG|3DUR	1MBVNT|269DMG|34aDUR|59aERES|7RCR|89aVULN|9aBPWR
43	62251 32133	1	   	270.80	DCR|3VULN|3DUR|2DMG|2LIT	18BEXP|248VULN|34LIT|48BPWR|56DMG|789DUR|aRCR
44	62251 32133	2	   	270.80	DCR|3VULN|3DUR|2DMG|2LIT	18BEXP|248VULN|34LIT|48BPWR|56DMG|789DUR|aRCR
45	18484 38243	10	   	269.40	DCR|3VULN|3DUR|2DMG|1CDMG	1MBVNT|27DMG|367DUR|457VULN|7BPWR|8LWND|9RCR|aCDMG
46	33522 52433	10	 * 	268.86	DCR|3VULN|2DUR|1TLV|2CDMG|1SELL	1SELL|2AART|38DUR|4TLV|58aVULN|68CDMG|7RCR|8BPWR|9LIT
47	17221 26373	7	   	268.62	DCR|3VULN|2DMG|2DUR|1TLV|1NUKE	1MBVNT|279VULN|3CGEN|4NUKE|57DMG|67DUR|7BPWR|8RCR|aTLV
48	17241 64713	2	 * 	268.51	DCR|4VULN|2TLV|2DUR	1MBVNT|279aVULN|3LIT|4RMIN|5aDUR|6aTLV|8RCR|aBPWR
49	33522 52421	8	 * 	268.32	DCR|3VULN|2DUR|1TLV|2CDMG|2AART|1SELL	1SELL|2aAART|38DUR|4TLV|589VULN|68CDMG|7RCR|8BPWR
50	33522 52421	9	 * 	268.32	DCR|3VULN|2DUR|1TLV|2CDMG|2AART|1SELL	1SELL|2aAART|38DUR|4TLV|589VULN|68CDMG|7RCR|8BPWR
51	15334 78411	7	   	268.31	DCR|2VULN|3DMG|1TLV|2ASPD|1CDMG	1MBVNT|2aASPD|36aDMG|4CDMG|5TLV|7RCR|8AART|9aVULN|aBPWR
52	14863 74143	1	   	268.30	DCR|3VULN|3DMG|1TLV|2LIT	1MBVNT|28LIT|378DMG|458VULN|6RCR|8BPWR|9BBNT|aTLV
53	17253 74143	2	   	268.30	DCR|3VULN|3DMG|1TLV|2LIT	1MBVNT|258VULN|38LIT|478DMG|6RCR|8BPWR|9BBNT|aTLV
54	18324 72413	4	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|23aDMG|4LIT|5aDUR|6RCR|7LHND|8TLV|9aVULN|aBPWR
55	18344 72413	3	   	267.99	DCR|2VULN|3DMG|2DUR|1TLV	1MBVNT|23aDMG|4LIT|5aDUR|6RCR|7LHND|8TLV|9aVULN|aBPWR
56	15612 38243	7	 * 	267.88	DCR|3VULN|3DUR|1TLV|3ASPD	1MBVNT|247ASPD|367DUR|57aVULN|7BPWR|8RCR|9TLV
57	17248 31541	9	   	267.84	DCR|3VULN|3DMG|2DUR	1MBVNT|268VULN|3CGEN|4AART|589DMG|78DUR|8BPWR|aRCR
58	33543 24321	10	   	267.69	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|2AART|38DUR|458VULN|678DMG|8BPWR|9RCR|aLHND
59	33543 24321	9	   	267.69	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|2AART|38DUR|458VULN|678DMG|8BPWR|9RCR|aCGEN
60	33543 24322	10	   	267.69	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|2AART|38DUR|458VULN|678DMG|8BPWR|9RCR|aRMIN
61	33543 24323	9	   	267.69	DCR|3VULN|3DMG|2DUR|1SELL	1SELL|2AART|38DUR|458VULN|678DMG|8BPWR|9RCR|aFEWX
