0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31614 31241	10	 * 	297.64	DCR|3VULN|3DUR|2DMG|3ASPD	178VULN|2ERES|378DUR|4CGEN|5aDMG|678ASPD|78BPWR|9RCR
2	36116 63332	6	 * 	297.61	DCR|3VULN|3DMG|2DUR|2CDMG	17aVULN|2LEGI|3LIT|47aDMG|57DUR|6RCR|7aBPWR|8LHND|9aCDMG
3	31614 31243	9	   	296.31	DCR|3VULN|3DUR|3ASPD|1DMG|1TLV	178VULN|2ERES|378DUR|4CGEN|5DMG|678ASPD|78BPWR|9RCR|aTLV
4	35112 64331	1	 * 	296.26	DCR|4VULN|2DMG|2ASPD|1TLV|1CDMG|1SELL	1489VULN|28ASPD|3TLV|5CDMG|6SELL|78DMG|8BPWR|aRCR
5	33342 63631	9	 * 	292.81	DCR|4VULN|2DMG|2TLV|1DUR|1ASPD	134aVULN|234LHND|34aBPWR|5aTLV|6ASPD|7DUR|8aDMG|9RCR
6	32641 36131	5	 * 	289.77	DCR|4VULN|2DMG|2DUR|1CDMG	1345VULN|24DUR|4BPWR|6RCVC|7CDMG|8RCR|9aDMG
7	32642 61121	6	 * 	289.70	DCR|4VULN|2DUR|2TLV|1DMG|1ASPD	134aVULN|24DUR|4aBPWR|5aTLV|6ASPD|7DMG|8RCR|9aBEXP
8	31614 31242	9	   	288.36	DCR|3VULN|3DUR|3ASPD|1DMG	178VULN|2ERES|378DUR|4CGEN|5DMG|678ASPD|78BPWR|9RCR|aLIT
9	31614 31243	10	   	288.36	DCR|3VULN|3DUR|3ASPD|1DMG	178VULN|2ERES|378DUR|4CGEN|5DMG|678ASPD|78BPWR|9RCR|aLIT
10	33354 21236	10	 * 	287.94	DCR|5VULN|2DUR|1DMG	1368aVULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG
11	32642 11413	7	 * 	287.49	DCR|5VULN|3DUR|1TLV	1346aVULN|247DUR|4BPWR|5TLV|8RCR|9FEWX
12	33354 21231	10	   	285.99	DCR|4VULN|2DMG|2DUR	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9aDMG
13	32642 61233	6	   	285.69	DCR|4VULN|2DUR|1DMG|1TLV|1ASPD	1348VULN|24DUR|4BPWR|5TLV|6ASPD|7DMG|9BBNT|aRCR
14	32523 24125	6	   	284.78	DCR|3VULN|3DUR|2DMG	149VULN|249DUR|3RMIN|49BPWR|5AART|6LIT|7ERES|89DMG|aRCR
15	32642 11511	6	   	283.09	DCR|4VULN|2DUR|1DMG|1TLV	1346VULN|24DUR|4BPWR|5TLV|7LHND|8DMG|9LIT|aRCR
16	32642 13511	6	   	283.09	DCR|4VULN|2DUR|1DMG|1TLV	1346VULN|24DUR|4BPWR|5TLV|7LWND|8DMG|9LIT|aRCR
17	32642 15113	6	   	283.09	DCR|4VULN|2DUR|1DMG|1TLV	1346VULN|24DUR|4BPWR|5TLV|7RCR|8ZMB|9LIT|aDMG
18	32642 21511	5	   	283.09	DCR|4VULN|2DUR|1DMG|1TLV	1347VULN|24DUR|4BPWR|5TLV|6LHND|8DMG|9LIT|aRCR
19	32246 31131	9	   	283.06	DCR|3VULN|3DUR|2DMG|1TLV	17aVULN|28aDUR|3LHND|4TLV|5RMIN|6aDMG|9RCR|aBPWR
20	32523 41531	7	 * 	282.77	DCR|4VULN|3DUR|2ASPD	149aVULN|249DUR|37RMIN|49BPWR|5AART|69ASPD|8RCR
21	32511 31245	9	 * 	282.73	DCR|4VULN|3DUR|3ASPD	178aVULN|278DUR|3RMIN|4aCGEN|5aERES|678ASPD|78aBPWR|9RCR
22	32511 31245	8	   	282.73	DCR|4VULN|3DUR|3ASPD	178aVULN|278DUR|3RMIN|4aCGEN|5aERES|678ASPD|78aBPWR|9RCR
23	32541 22531	7	   	282.67	DCR|4VULN|3DUR|2ASPD	169aVULN|279DUR|3RMIN|4AART|59ASPD|8RCR|9BPWR
24	32511 31243	10	   	282.63	DCR|4VULN|3DUR|3ASPD	178aVULN|278DUR|3RMIN|4CGEN|5ERES|678ASPD|78BPWR|9RCR
25	32111 25611	4	 * 	281.75	DCR|3VULN|2DMG|2DUR|2TLV	158VULN|28DUR|3LIT|46DMG|78TLV|8BPWR|9DUST|aRCR
26	32112 25611	5	   	281.75	DCR|3VULN|2DMG|2DUR|2TLV	158VULN|28DUR|3LIT|46DMG|78TLV|8BPWR|9DUST|aRCR
27	34341 33631	9	 * 	281.50	DCR|4VULN|2DMG|3TLV|1DUR|1NUKE	145aVULN|2NUKE|34aTLV|4aBPWR|6FEWX|7DUR|8aDMG|9RCR
28	34112 64331	2	 * 	281.26	DCR|4VULN|2DMG|2CDMG|1TLV|1NUKE|1SELL	1489VULN|2NUKE|3TLV|58CDMG|6SELL|78DMG|8BPWR|aRCR
29	34312 64331	3	 * 	281.26	DCR|4VULN|2DMG|2CDMG|1TLV|1NUKE|1SELL	1489VULN|2NUKE|3TLV|58CDMG|6SELL|78DMG|8BPWR|aRCR
30	31614 31241	9	   	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	178VULN|2ERES|378DUR|4CGEN|5DMG|678ASPD|78BPWR|9RCR|aBEXP
31	31614 31242	10	   	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	178VULN|2ERES|378DUR|4CGEN|5DMG|678ASPD|78BPWR|9RCR|aRMIN
32	32511 31241	10	   	280.06	DCR|3VULN|3DUR|3ASPD|1DMG	178VULN|278DUR|3RMIN|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aDMG
33	34611 31241	10	   	279.96	DCR|3VULN|3DUR|3ASPD|1DMG|1NUKE	178VULN|2NUKE|378DUR|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aDMG
34	33354 21251	10	   	279.40	DCR|4VULN|2DUR|1DMG|1ASPD	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9ASPD|aDMG
35	32642 11421	7	   	278.95	DCR|4VULN|3DUR|1TLV|1ASPD	1346VULN|247DUR|4BPWR|5TLV|8RCR|9ASPD|aBEXP
36	32642 11227	7	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1346VULN|247DUR|4BPWR|5TLV|8MBVNT|9ASPD|aRCR
37	32642 11422	7	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1346VULN|247DUR|4BPWR|5TLV|8RCR|9ASPD|aTBNT
38	32642 11423	7	   	278.85	DCR|4VULN|3DUR|1TLV|1ASPD	1346VULN|247DUR|4BPWR|5TLV|8RCR|9ASPD|aBBNT
39	32241 51236	7	 * 	278.50	DCR|4VULN|2DUR|2TLV|2CDMG	1578VULN|28DUR|3LHND|45TLV|58BPWR|68CDMG|9LEGI|aRCR
40	32636 23341	7	 * 	278.35	DCR|5VULN|2TLV|1DUR|2LIT	1359aVULN|2DUR|49LIT|6BELT|7RCR|89TLV|9BPWR
41	33343 43631	9	   	278.09	DCR|4VULN|2DMG|1TLV|1DUR	134aVULN|234LHND|34aBPWR|5aZMB|6TLV|7DUR|8aDMG|9RCR
42	51323 43631	9	   	277.99	DCR|4VULN|2DMG|1TLV|1DUR	1RMIN|24aBEXP|345aVULN|4aBPWR|6TLV|7DUR|8aDMG|9RCR
43	32643 15332	6	   	277.98	DCR|5VULN|2DUR|1DMG	1346aVULN|24DUR|4BPWR|5ZMB|7RCR|8TBNT|9DMG
44	22112 63532	6	 * 	277.69	DCR|3VULN|3DUR|1DMG|2CDMG	17LHND|27aDUR|3LIT|4DMG|57aVULN|6RCR|7aBPWR|8LWND|9aCDMG
45	33354 21233	9	   	276.70	DCR|4VULN|2DUR|1DMG	1368VULN|238LHND|38BPWR|4AART|58DUR|7RCR|9DMG|aLIT
46	33366 13136	9	   	276.56	DCR|3VULN|2DMG|2ASPD|1TLV|1DUR	137VULN|23LHND|37BPWR|47DMG|5RMIN|67ASPD|8DUR|9RCR|aTLV
47	32112 26135	9	   	276.50	DCR|4VULN|2DMG|1DUR|2LIT	1589VULN|2DUR|39LIT|49DMG|67RCVC|9BPWR|aRCR
48	31214 31245	9	 * 	276.42	DCR|4VULN|2DMG|3ASPD	178aVULN|2ERES|378FEWX|4aCGEN|5aDMG|678ASPD|78aBPWR|9RCR
49	32641 63232	9	   	276.35	DCR|4VULN|3DUR|1CDMG|1ASPD	1345VULN|249DUR|4BPWR|6ASPD|7RPLT|8RCR|aCDMG
50	32642 11431	7	   	276.26	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8RCR|9LIT|aZMB
51	32642 11433	7	   	276.26	DCR|4VULN|3DUR|1TLV	1346VULN|247DUR|4BPWR|5TLV|8RCR|9LIT|aBEXP
52	32511 31243	9	   	276.24	DCR|3VULN|3DUR|3ASPD|1TLV	178VULN|278DUR|3RMIN|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aTLV
53	32511 31243	8	   	276.24	DCR|3VULN|3DUR|3ASPD|1TLV	178VULN|278DUR|3RMIN|4CGEN|5ERES|678ASPD|78BPWR|9RCR|aTLV
54	32525 21633	4	   	276.22	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3RMIN|48BPWR|58DMG|68CGEN|9TBNT|aRCR
55	32535 21633	3	   	276.22	DCR|4VULN|2DMG|2DUR	1478VULN|24DUR|3RMIN|48BPWR|58DMG|68CGEN|9TBNT|aRCR
