0	Index      	Bounty	 *	Score 	Summary	Detail	
1	31114 25341	6	 * 	287.32	DCR|4VULN|3DUR|2LIT|1ASPD|1AART	19LIT|2ASPD|389aVULN|469DUR|5AART|7RCR|9BPWR
2	31114 25342	6	 * 	284.74	DCR|3VULN|3DUR|1DMG|2LIT|1ASPD|1AART	19LIT|2ASPD|389VULN|469DUR|5AART|7RCR|9BPWR|aDMG
3	11541 11221	7	 * 	281.60	DCR|4VULN|2DMG|2TLV|1DUR	1DMSP|236aVULN|3aBPWR|4DUR|5aTLV|7RCR|8BELT|9aDMG
4	11541 11253	7	 * 	278.08	DCR|5VULN|2DUR|2TLV	1DMSP|2369aVULN|39BPWR|49DUR|59TLV|7RCR|8BELT
5	11513 13632	10	 * 	277.09	DCR|4VULN|3DMG|1TLV	1DMSP|238aVULN|38BPWR|4TLV|578DMG|68DUST|9RCR
6	11541 22632	10	 * 	274.69	DCR|4VULN|3ASPD|2TLV|1DUR	1DMSP|238aVULN|38BPWR|4DUR|58TLV|678ASPD|9RCR
7	11541 22632	8	   	274.69	DCR|4VULN|3ASPD|2TLV|1DUR	1DMSP|2389VULN|38BPWR|4DUR|58TLV|678ASPD|aRCR
8	11513 31532	5	   	273.75	DCR|4VULN|1DMG|1TLV|1DUR|1CDMG	1DMSP|2369VULN|3BPWR|4TLV|5DMG|7RCR|8DUR|aCDMG
9	33323 33365	5	 * 	273.59	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|24LHND|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aDMG
10	34323 33365	5	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|24LWND|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aDMG
11	35322 33365	4	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|24FEWX|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aDMG
12	35323 33365	5	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	17LIT|24FEWX|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aDMG
13	35323 35411	8	   	273.59	DCR|4VULN|2DUR|1DMG|2LIT	19LIT|246FEWX|3489VULN|49BPWR|59DUR|7RCR|aDMG
14	11541 22633	9	 * 	272.11	DCR|3VULN|3ASPD|2TLV|1DMG|1DUR	1DMSP|238VULN|38BPWR|4DUR|58TLV|678ASPD|9RCR|aDMG
15	11253 41314	3	   	269.76	DCR|4VULN|1DMG|1TLV|1DUR|1AART	1DMSP|2468VULN|3AART|4BPWR|5DMG|7TLV|9DUR|aRCR
16	11124 11632	2	 * 	269.73	DCR|3VULN|2DMG|2DUR|1TLV	1DMSP|279VULN|3TBNT|47DUR|5RMIN|67DMG|7BPWR|8TLV|aRCR
17	31123 35365	7	   	269.71	DCR|4VULN|2TLV|1DUR|2LIT|1ASPD	1aLIT|2ASPD|368aVULN|4ERES|5DUR|7aTLV|9RCR|aBPWR
18	11541 11251	7	   	269.54	DCR|4VULN|2DUR|2TLV|1ASPD	1DMSP|2369VULN|39BPWR|49DUR|59TLV|7RCR|8BELT|aASPD
19	11523 31532	5	   	268.51	DCR|4VULN|1DMG|1DUR|1CDMG|1ASPD	1DMSP|2369VULN|3BPWR|4ASPD|5DMG|7RCR|8DUR|aCDMG
20	33323 33364	5	   	267.18	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|24LHND|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aCDMG
21	34323 33364	5	   	267.18	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|24LWND|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aCDMG
22	35322 33364	4	   	267.18	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|24FEWX|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aCDMG
23	35323 33364	5	   	267.18	DCR|4VULN|2DUR|2LIT|1CDMG	17LIT|24FEWX|3478VULN|47BPWR|57DUR|6RMIN|9RCR|aCDMG
24	35323 35412	8	   	266.76	DCR|4VULN|3DUR|2LIT	19LIT|246FEWX|3489VULN|49BPWR|59aDUR|7RCR
25	11624 13132	4	 * 	266.26	DCR|4VULN|2DMG|2ASPD|1SELL	1DMSP|2469VULN|39DMG|5BBNT|7SELL|89ASPD|9BPWR|aRCR
26	11654 13132	3	 * 	266.26	DCR|4VULN|2DMG|2ASPD|1SELL	1DMSP|2469VULN|39DMG|5BBNT|7SELL|89ASPD|9BPWR|aRCR
27	11513 31345	5	   	266.05	DCR|3VULN|2DMG|1TLV|1DUR|1ASPD	1DMSP|236VULN|3BPWR|4TLV|5aDMG|7RCR|8ASPD|9DUR
28	11231 24365	5	 * 	265.62	DCR|3VULN|2DUR|1DMG|2CDMG|1AART	1DMSP|279VULN|3AART|4BEXP|59DUR|69CDMG|8RCR|9BPWR|aDMG
29	11513 13633	9	   	265.46	DCR|3VULN|3DMG|1TLV|1ASPD	1DMSP|238VULN|38BPWR|4TLV|578DMG|68DUST|9RCR|aASPD
30	11513 31356	5	   	265.46	DCR|3VULN|3DMG|1TLV|1ASPD	1DMSP|236VULN|3BPWR|4TLV|59aDMG|7RCR|8ASPD
31	11531 11221	8	   	265.35	DCR|4VULN|2DMG|2TLV	1DMSP|236aVULN|3aBPWR|4FEWX|5aTLV|7RCR|8BELT|9aDMG
32	11531 11221	9	   	265.35	DCR|4VULN|2DMG|2TLV	1DMSP|236aVULN|3aBPWR|4FEWX|5aTLV|7RCR|8BELT|9aDMG
33	11626 23531	6	 * 	265.26	DCR|4VULN|2ASPD|1DMG|1DUR	1DMSP|2479VULN|3DMG|57LWND|67ASPD|7BPWR|8DUR|aRCR
34	11253 63314	3	   	264.71	DCR|3VULN|2DMG|1TLV|1DUR|1AART	1DMSP|248VULN|3AART|4BPWR|57DMG|6TLV|9DUR|aRCR
35	31114 25343	6	   	264.68	DCR|3VULN|3DUR|2LIT|1ASPD|1AART	19LIT|2ASPD|389VULN|469DUR|5AART|7RCR|9BPWR|aDMSP
36	11451 13322	2	 * 	264.64	DCR|5VULN|2ASPD|1DUR	16DMSP|24579VULN|35ASPD|5BPWR|8DUR|aRCR
37	11451 25322	2	   	264.64	DCR|5VULN|2ASPD|1DUR	1DMSP|24569VULN|35ASPD|5BPWR|7RCVC|8DUR|aRCR
38	11451 43322	2	   	264.64	DCR|5VULN|2ASPD|1DUR	1DMSP|24579VULN|35ASPD|5BPWR|6RCVC|8DUR|aRCR
39	11521 13322	4	   	264.64	DCR|5VULN|2ASPD|1DUR	16DMSP|23579VULN|35BPWR|45ASPD|8DUR|aRCR
40	11521 25322	4	   	264.64	DCR|5VULN|2ASPD|1DUR	1DMSP|23569VULN|35BPWR|45ASPD|7RCVC|8DUR|aRCR
41	11521 43322	4	   	264.64	DCR|5VULN|2ASPD|1DUR	1DMSP|23579VULN|35BPWR|45ASPD|6RCVC|8DUR|aRCR
42	11511 16324	4	   	264.52	DCR|4VULN|2TLV|1DUR|1ASPD|1AART	1DMSP|2357VULN|35BPWR|45TLV|6AART|8DUR|9ASPD|aRCR
43	11623 26216	9	   	264.16	DCR|3VULN|3DMG|2LIT|1ASPD	1DMSP|249VULN|359DMG|6ASPD|7ERES|89LIT|9BPWR|aRCR
44	22161 36531	2	   	263.92	DCR|4VULN|2TLV|1DMG|1DUR	14LHND|2346VULN|4BPWR|59TLV|7DMG|8DUR|aRCR
45	11623 21532	6	   	263.45	DCR|3VULN|2DMG|1DUR|1CDMG|1ASPD	1DMSP|249VULN|35DMG|6ASPD|7RCR|8DUR|aCDMG
46	11513 13636	9	   	262.76	DCR|3VULN|3DMG|1TLV	1DMSP|238VULN|38BPWR|4TLV|578DMG|68DUST|9RCR|aLIT
47	11451 21362	2	   	262.47	DCR|4VULN|2ASPD|1DMG|1CDMG	1DMSP|2456VULN|35ASPD|5BPWR|7BBNT|8DMG|9CDMG|aRCR
48	11521 21362	4	   	262.47	DCR|4VULN|2ASPD|1DMG|1CDMG	1DMSP|2356VULN|35BPWR|45ASPD|7BBNT|8DMG|9CDMG|aRCR
49	11513 31342	5	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DMSP|236VULN|3BPWR|4TLV|5DMG|7RCR|8ASPD|9DUR|aCDMG
50	11541 26312	8	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1DMSP|237VULN|3BPWR|4DUR|5TLV|6ASPD|8DMG|9RCR|aCDMG
51	51513 21632	3	   	262.11	DCR|3VULN|1DMG|1TLV|1DUR|1CDMG|1ASPD	1CDMG|2RPLT|3TLV|4ASPD|5DUR|679VULN|8DMG|aRCR
52	31123 15365	7	   	261.65	DCR|3VULN|2DUR|2TLV|2LIT|1ASPD	1aLIT|2ASPD|38aVULN|4ERES|56DUR|7aTLV|9RCR|aBPWR
53	11511 11221	7	   	261.64	DCR|4VULN|2DMG|1TLV	1DMSP|236aVULN|3aBPWR|4TLV|5aLHND|7RCR|8BELT|9aDMG
54	11515 11221	9	   	261.64	DCR|4VULN|2DMG|1TLV	1DMSP|236aVULN|3aBPWR|4TLV|5aBEXP|7RCR|8BELT|9aDMG
55	11515 11221	8	   	261.64	DCR|4VULN|2DMG|1TLV	1DMSP|236aVULN|3aBPWR|4TLV|5aBEXP|7RCR|8BELT|9aDMG
56	11516 11221	7	   	261.64	DCR|4VULN|2DMG|1TLV	1DMSP|236aVULN|3aBPWR|4TLV|5aLWND|7RCR|8BELT|9aDMG
57	11542 11221	7	   	261.64	DCR|4VULN|2DMG|1DUR	1DMSP|236aVULN|3aBPWR|4DUR|5aMLV|7RCR|8BELT|9aDMG
58	11621 22221	4	   	261.54	DCR|4VULN|2DMG|1DUR	1DMSP|2456VULN|35DMG|5BPWR|7MLV|8DUR|9FEWX|aRCR
59	11621 22251	4	   	261.54	DCR|4VULN|2DMG|1DUR	1DMSP|2456VULN|35DMG|5BPWR|7MLV|8DUR|9BEXP|aRCR
60	11651 22221	3	   	261.54	DCR|4VULN|2DMG|1DUR	1DMSP|2456VULN|35DMG|5BPWR|7MLV|8DUR|9FEWX|aRCR
61	11651 22251	3	   	261.54	DCR|4VULN|2DMG|1DUR	1DMSP|2456VULN|35DMG|5BPWR|7MLV|8DUR|9BEXP|aRCR
62	22534 11632	3	   	261.54	DCR|4VULN|2DMG|1TLV	17LHND|2579VULN|3RMIN|4TBNT|67DMG|7BPWR|8TLV|aRCR
