0	Index      	Bounty	 *	Score 	Summary	Detail	
1	36323 15313	10	 * 	277.13	DCR|3VULN|2DMG|2DUR|1TLV	17DUR|2MLV|37aVULN|4LIT|5CGEN|67DMG|7BPWR|8TLV|9RCR
2	31361 14326	2	 * 	273.53	DCR|4VULN|3DUR|2TLV	157DUR|2RPLT|3TBNT|457aVULN|57BPWR|67TLV|8BEXP|9RCR
3	32633 32254	1	 * 	268.78	DCR|3VULN|2TLV|2DUR|1DMG|1AART	17DUR|2DUST|37TLV|4AART|5BBNT|67aVULN|7BPWR|8DMG|9RCR
4	31212 42345	1	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|2BELT|3MLV|4579VULN|67LIT|7BPWR|8TLV|aRCR
5	36325 11323	6	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|2MLV|357aVULN|47LIT|6RCR|7BPWR|8RPLT|9TLV
6	36325 11323	8	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	18DUR|2MLV|358aVULN|48LIT|6RCR|7RPLT|8BPWR|9TLV
7	36325 11523	7	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	18DUR|2MLV|358aVULN|48LIT|6RCR|7RPLT|8BPWR|9TLV
8	36325 31323	5	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|2MLV|357aVULN|47LIT|6RCR|7BPWR|8RPLT|9TLV
9	36342 31323	3	   	267.08	DCR|4VULN|2DUR|1TLV|2LIT	17DUR|2MLV|347aVULN|57LIT|6RCR|7BPWR|8RPLT|9TLV
10	31361 14323	2	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	157DUR|2RPLT|3TBNT|457VULN|57BPWR|67TLV|8BEXP|9RCR|aCDMG
11	31361 14423	2	   	266.13	DCR|3VULN|3DUR|2TLV|1CDMG	157DUR|2RPLT|3TBNT|457VULN|57BPWR|67TLV|8LHND|9RCR|aCDMG
12	36326 31112	4	 * 	264.36	DCR|3VULN|3DUR|1TLV|3LIT	157DUR|2MLV|37aVULN|457LIT|57BPWR|6RCR|8TLV|9FEWX
13	36326 31142	4	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	157DUR|2MLV|37aVULN|457LIT|57BPWR|6RCR|8TLV|9BEXP
14	36326 31152	4	   	264.36	DCR|3VULN|3DUR|1TLV|3LIT	157DUR|2MLV|37aVULN|457LIT|57BPWR|6RCR|8TLV|9LHND
15	36326 31632	4	   	264.26	DCR|3VULN|3DUR|1TLV|3LIT	157DUR|2MLV|37aVULN|457LIT|57BPWR|6RCR|8DUST|9TLV
16	36323 15316	9	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DUR|2MLV|37VULN|4LIT|5CGEN|67DMG|7BPWR|8TLV|9RCR|aAART
17	36323 15316	8	   	262.10	DCR|2VULN|2DMG|2DUR|1TLV|1AART	17DUR|2MLV|37VULN|4LIT|5CGEN|67DMG|7BPWR|8TLV|9RCR|aAART
18	31411 24241	1	   	261.88	DCR|4VULN|2DUR|1TLV|1AART	19DUR|2BELT|3TLV|4679VULN|5AART|89CGEN|9BPWR|aRCR
19	36321 11552	6	 * 	261.42	DCR|2VULN|3DUR|2DMG|1CDMG	17aDUR|2MLV|37VULN|4LIT|5ASPD|67DMG|7BPWR|8RCR|9CDMG
20	36321 11552	5	   	261.42	DCR|2VULN|3DUR|2DMG|1CDMG	17aDUR|2MLV|37VULN|4LIT|5ASPD|67DMG|7BPWR|8RCR|9CDMG
21	36325 11363	9	 * 	260.94	DCR|4VULN|2DUR|1DMG|2LIT	18DUR|2MLV|358aVULN|48LIT|6RCR|7RPLT|8BPWR|9DMG
22	31361 14322	2	   	260.79	DCR|3VULN|3DUR|2TLV	157DUR|2RPLT|3TBNT|457VULN|57BPWR|67TLV|8BEXP|9RCR|aLIT
23	31361 14422	2	   	260.79	DCR|3VULN|3DUR|2TLV	157DUR|2RPLT|3TBNT|457VULN|57BPWR|67TLV|8LHND|9RCR|aLIT
24	36323 15611	10	   	260.74	DCR|2VULN|2DMG|2DUR|1TLV	17DUR|2MLV|37VULN|4LIT|5CGEN|67DMG|7BPWR|8ASPD|9RCR|aTLV
25	32421 16331	3	   	260.30	DCR|4VULN|2TLV|2DUR	19DUR|2FEWX|359aVULN|4ZMB|6BEXP|7RCR|89TLV|9BPWR
26	32441 16331	3	   	260.30	DCR|4VULN|2TLV|2DUR	19DUR|2FEWX|359aVULN|4CGEN|6BEXP|7RCR|89TLV|9BPWR
27	36341 16331	4	   	260.30	DCR|4VULN|2TLV|2DUR	19DUR|2MLV|359aVULN|4LHND|6BEXP|7RCR|89TLV|9BPWR
28	36343 16331	3	   	260.30	DCR|4VULN|2TLV|2DUR	19DUR|2MLV|349aVULN|5LHND|6BEXP|7RCR|89TLV|9BPWR
29	36361 16331	3	   	260.20	DCR|4VULN|2TLV|2DUR	19DUR|2MLV|359aVULN|4DUST|6BEXP|7RCR|89TLV|9BPWR
30	33331 53322	1	 * 	259.79	DCR|2VULN|3DMG|2DUR|1TLV	19DUR|2ZMB|389DMG|4DMSP|5BELT|69VULN|7RCR|9BPWR|aTLV
31	36326 31113	4	 * 	259.73	DCR|2VULN|3DUR|1TLV|3LIT|1DMG	157DUR|2MLV|37VULN|457LIT|57BPWR|6RCR|8TLV|9FEWX|aDMG
32	36326 31143	4	   	259.73	DCR|2VULN|3DUR|1TLV|3LIT|1DMG	157DUR|2MLV|37VULN|457LIT|57BPWR|6RCR|8TLV|9BEXP|aDMG
33	36326 31153	4	   	259.73	DCR|2VULN|3DUR|1TLV|3LIT|1DMG	157DUR|2MLV|37VULN|457LIT|57BPWR|6RCR|8TLV|9LHND|aDMG
34	32413 22513	3	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	18DUR|2FEWX|38aVULN|4CDMG|5TLV|68LIT|7RCR|8BPWR|9CGEN
35	32413 22543	3	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	18DUR|2FEWX|38aVULN|4CDMG|5TLV|68LIT|7RCR|8BPWR|9MLV
36	32413 22553	3	   	259.68	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	18DUR|2FEWX|38aVULN|4CDMG|5TLV|68LIT|7RCR|8BPWR|9RMIN
37	36326 31633	4	   	259.63	DCR|2VULN|3DUR|1TLV|3LIT|1DMG	157DUR|2MLV|37VULN|457LIT|57BPWR|6RCR|8DUST|9TLV|aDMG
38	32413 22533	3	   	259.58	DCR|3VULN|2DUR|1TLV|2LIT|1CDMG	18DUR|2FEWX|38aVULN|4CDMG|5TLV|68LIT|7RCR|8BPWR|9ERES
39	32421 16336	3	   	259.32	DCR|3VULN|2TLV|2DUR|1DMG	19DUR|2FEWX|359VULN|4ZMB|6BEXP|7RCR|89TLV|9BPWR|aDMG
40	31361 22436	2	 * 	259.31	DCR|4VULN|3DUR|3LIT	157DUR|2RPLT|3TBNT|4579VULN|579BPWR|679LIT|89CGEN|aRCR
41	36325 11326	8	   	259.26	DCR|3VULN|3DUR|1TLV|2LIT	18aDUR|2MLV|358VULN|48LIT|6RCR|7RPLT|8BPWR|9TLV
42	36325 11326	6	   	259.26	DCR|3VULN|3DUR|1TLV|2LIT	17aDUR|2MLV|357VULN|47LIT|6RCR|7BPWR|8RPLT|9TLV
