0	Index      	 *	Score 	Summary	Detail	
1	22312 15521	 * 	285.24	DCR|DCR|2VULN|1TLV|1MSLTOX|1DUR	1aVULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9TLV
2	25214 12335	 * 	283.34	DCR|DCR|2VULN|2MLV|1TLV	19VULN|29BEXP|34LHND|5MDPS|6TLV|79MLV|8aRCR|9BPWR
3	25231 12335	   	283.34	DCR|DCR|2VULN|2MLV|1TLV	19VULN|29BEXP|3LHND|4MDPS|5RCVC|6TLV|79MLV|8aRCR|9BPWR
4	25235 12335	   	283.34	DCR|DCR|2VULN|2MLV|1TLV	19VULN|29BEXP|35LHND|4MDPS|6TLV|79MLV|8aRCR|9BPWR
5	25224 12335	   	283.24	DCR|DCR|2VULN|2MLV|1TLV	19VULN|2BEXP|39LHND|4AEWIND|5MDPS|6TLV|79MLV|8aRCR|9BPWR
6	23412 15423	 * 	277.48	DCR|DCR|3VULN|1TLV	13aVULN|2RPLT|4TLV|5RCVC|69RCR|7FRZARM|8LHND
7	23412 12255	   	277.38	DCR|DCR|3VULN|1TLV	139VULN|2RPLT|4TLV|5RCVC|6aRCR|7AEFRZ|8LWND
8	22512 15521	   	268.89	DCR|DCR|2VULN|1TLV|1DUR	1aVULN|2FEWX|3RCVC|4MGNBOS|5VENTOX|67RCR|8DUR|9TLV
9	22612 15521	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1aVULN|2FEWX|3AEFRZ|4MGNBOS|5VENTOX|67RCR|8DUR|9TLV
10	36122 15121	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1AME|2RMIN|3MGNBOS|4DUR|5FRZICY|67RCR|8aVULN|9TLV
11	36512 15121	   	268.79	DCR|DCR|2VULN|1TLV|1DUR	1AME|2RMIN|3DUR|4MULHEA|5FRZICY|67RCR|8aVULN|9TLV
12	31222 15121	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1AME|2BLAICY|3ERES|4DUR|5VENTOX|67RCR|8aVULN|9TLV
13	32122 15121	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1AME|2ERES|3TSLFST|4DUR|5VENTOX|67RCR|8aVULN|9TLV
14	32512 15121	   	268.69	DCR|DCR|2VULN|1TLV|1DUR	1AME|2ERES|3DUR|4MGNBOS|5VENTOX|67RCR|8aVULN|9TLV
15	22312 15122	   	267.53	DCR|DCR|3VULN|1MSLTOX	189VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|aRMIN
16	22312 15125	   	267.53	DCR|DCR|3VULN|1MSLTOX	189VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|aLHND
17	25362 15122	   	267.53	DCR|DCR|3VULN|1MSLTOX	189VULN|24BEXP|3MSLTOX|5VENTOX|67RCR|aRMIN
18	22312 15121	   	267.43	DCR|DCR|3VULN|1MSLTOX	189VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|aSNITOX
19	22312 15123	   	267.43	DCR|DCR|3VULN|1MSLTOX	189VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|aLEGI
20	22312 15124	   	267.43	DCR|DCR|3VULN|1MSLTOX	189VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|aTBNT
21	22312 15126	   	267.43	DCR|DCR|3VULN|1MSLTOX	189VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|aAEFRZ
22	25362 15121	   	267.43	DCR|DCR|3VULN|1MSLTOX	189VULN|24BEXP|3MSLTOX|5VENTOX|67RCR|aSNITOX
23	25362 15123	   	267.43	DCR|DCR|3VULN|1MSLTOX	189VULN|24BEXP|3MSLTOX|5VENTOX|67RCR|aLEGI
24	26622 15322	   	266.58	DCR|DCR|3VULN|1MLV	19aVULN|2MLV|3AIRBOS|4ERES|5MULHEA|67RCR|8RAT
25	22312 15531	   	265.98	DCR|DCR|2VULN|1MSLTOX|1DUR	1aVULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9ASPD
26	23415 12235	 * 	265.58	DCR|DCR|2VULN|2TLV	13VULN|2RPLT|45TLV|6aRCR|7AEFRZ|8LWND|9DMSP
27	22312 15143	 * 	265.45	DCR|DCR|2VULN|1DMG|1MSLTOX	18VULN|249FEWX|3MSLTOX|5VENTOX|67RCR|aDMG
28	36122 15162	   	264.73	DCR|DCR|3VULN|1DUR	1aAME|2RMIN|3aMGNBOS|4DUR|5FRZICY|67RCR|89aVULN|aBPWR
29	22266 23315	 * 	262.75	DCR|DCR|1VULN|1TLV|1DMG|1CDMG	1VULN|2FEWX|3LHND|4RMIN|5DMG|6TLV|7aRCR|8CANSTR|9CDMG
30	36122 15163	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1AME|2RMIN|3MGNBOS|4DUR|5FRZICY|67RCR|89VULN|aDMG
31	23543 12846	   	262.65	DCR|DCR|1VULN|1TLV|1DMG|1AART	1VULN|2RPLT|3MBVNT|4DUST|5FEWX|6DMG|7TLV|8AART|9aRCR
32	22312 14351	 * 	259.97	DCR|DCR|2VULN|2MSLTOX	1aVULN|24FEWX|3aMSLTOX|5VENTOX|69RCR|7LIT|8aDUST|aBPWR
33	22312 15561	   	259.04	DCR|DCR|2VULN|1MSLTOX|1DUR	19VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|aZMB
34	22312 15144	   	259.04	DCR|DCR|2VULN|1MSLTOX|1AART	18VULN|249FEWX|3MSLTOX|5VENTOX|67RCR|aAART
35	22312 15154	   	259.04	DCR|DCR|2VULN|1MSLTOX|1DUR	18VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|9LWND|aDUR
36	22312 15511	   	259.04	DCR|DCR|2VULN|1MSLTOX|1DUR	1aVULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9CGEN
37	22312 15523	   	259.04	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9TLV|aRCVC
38	22312 15526	   	259.04	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9TLV|aLIT
39	22312 15562	   	258.94	DCR|DCR|2VULN|1MSLTOX|1DUR	19VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|aLSRHEA
40	22312 15563	   	258.94	DCR|DCR|2VULN|1MSLTOX|1DUR	19VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|aERES
41	22312 15522	   	258.94	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9TLV|aAETHUN
42	22312 15524	   	258.94	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR|1MSE	1VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9TLV|aMSE
43	22312 15525	   	258.94	DCR|DCR|1VULN|1TLV|1MSLTOX|1DUR	1VULN|24FEWX|3MSLTOX|5VENTOX|67RCR|8DUR|9TLV|aERES
44	26325 51343	   	258.29	DCR|DCR|2VULN|1MLV|1DUR	15VULN|2MLV|3LIT|4RMIN|6CGEN|7MBVNT|89RCR|aDUR
45	31222 15126	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AME|2BLAICY|3ERES|4DUR|5VENTOX|67RCR|8VULN|9TLV|aMLV
46	32122 15126	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AME|2ERES|3TSLFST|4DUR|5VENTOX|67RCR|8VULN|9TLV|aMLV
47	32512 15126	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1AME|2ERES|3DUR|4MGNBOS|5VENTOX|67RCR|8VULN|9TLV|aMLV
48	62523 51312	 * 	257.91	ACR|DCR|3VULN|1DMG|1DUR	1aRCR|2DMG|3ASPD|468VULN|5BBNT|7LIT|9DUR
49	31322 15662	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AME|2BLAICY|3CGEN|4DUR|5VENTOX|67RCR|8AART|9VULN|aTLV
50	31222 15662	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AME|2BLAICY|3ERES|4DUR|5VENTOX|67RCR|8AART|9VULN|aTLV
51	32122 15662	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AME|2ERES|3TSLFST|4DUR|5VENTOX|67RCR|8AART|9VULN|aTLV
52	23537 22135	   	255.62	DCR|DCR|2TLV|1VULN|1MSLTOX	1VULN|2RPLT|3MBVNT|4RAT|58TLV|6MSLTOX|7BELT|9aRCR
53	23412 16235	   	255.34	DCR|DCR|2VULN|1TLV	13VULN|2RPLT|4TLV|57RCVC|6aRCR|8LWND|9DMSP
