0	Index      	 *	Score 	Summary	Detail	
1	36323 23365	 * 	267.51	DCR|2VULN|3DMG|2TLV|2CDMG|1AART|1SELL	169DMG|29CDMG|3SELL|4LIT|56TLV|69BPWR|7AART|89VULN|aRCR
2	36333 62213	 * 	267.44	DCR|DCR|2DMG|1VULN|1AART|1CDMG|1SELL	1aDMG|2CDMG|3SELL|4VULN|5AART|6DUST|79RCR|8MGNBOS
3	36333 22212	 * 	263.61	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUR|79RCR|8MGNBOS|aRAT
4	36333 22213	 * 	263.61	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUR|79RCR|8MGNBOS|aLIT
5	36333 22214	 * 	263.61	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUR|79RCR|8MGNBOS|aDMSP
6	36333 22216	 * 	263.61	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUR|79RCR|8MGNBOS|aFEWX
7	36333 22211	 * 	263.51	DCR|DCR|1VULN|1DMG|1DUR|1AART|1CDMG|1SELL	1DMG|2CDMG|3SELL|4VULN|5AART|6DUR|79RCR|8MGNBOS|aDUST
8	32533 62213	 * 	254.04	DCR|DCR|2DMG|1VULN|2AAC|1AART	1aDMG|23AAC|4VULN|5AART|6DUST|79RCR|8MGNBOS
9	32333 62213	   	253.94	DCR|DCR|2DMG|1VULN|1AART|1AAC	1aDMG|2AAC|3AEFRZ|4VULN|5AART|6DUST|79RCR|8MGNBOS
10	32533 22212	   	250.20	DCR|DCR|1VULN|2AAC|1DMG|1DUR|1AART	1DMG|23AAC|4VULN|5AART|6DUR|79RCR|8MGNBOS|aRAT
11	32533 22213	   	250.20	DCR|DCR|1VULN|2AAC|1DMG|1DUR|1AART	1DMG|23AAC|4VULN|5AART|6DUR|79RCR|8MGNBOS|aLIT
12	32533 22214	   	250.20	DCR|DCR|1VULN|2AAC|1DMG|1DUR|1AART	1DMG|23AAC|4VULN|5AART|6DUR|79RCR|8MGNBOS|aDMSP
13	32533 22216	   	250.20	DCR|DCR|1VULN|2AAC|1DMG|1DUR|1AART	1DMG|23AAC|4VULN|5AART|6DUR|79RCR|8MGNBOS|aFEWX
14	32333 22212	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART|1AAC	1DMG|2AAC|3AEFRZ|4VULN|5AART|6DUR|79RCR|8MGNBOS|aRAT
15	32333 22213	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART|1AAC	1DMG|2AAC|3AEFRZ|4VULN|5AART|6DUR|79RCR|8MGNBOS|aLIT
16	32333 22214	   	250.10	DCR|DCR|1VULN|1DMG|1DUR|1AART|1AAC	1DMG|2AAC|3AEFRZ|4VULN|5AART|6DUR|79RCR|8MGNBOS|aDMSP
