0	Index      	 *	Score 	Summary	Detail	
1	13165 33612	 * 	266.89	DCR|DCR|2VULN|2DMG	1aLHND|2ZMB|3aDMG|4RPLT|5MGNBOS|6BEXP|7aVULN|89RCR|aBPWR
2	23165 33612	   	266.79	DCR|DCR|2VULN|2DMG|1AAC	1AAC|2aLHND|3aDMG|4RPLT|5MGNBOS|6DUST|7aVULN|89RCR|aBPWR
3	63221 41423	 * 	255.24	DCR|DCR|2VULN|1TLV	1aVULN|2ZMB|3TBNT|49RAT|5TLV|68RCR|7LHND
4	63221 41411	   	249.63	DCR|DCR|1VULN|1TLV|1CDMG	1VULN|2ZMB|3TBNT|4RAT|5TLV|68RCR|7LHND|9ASPD|aCDMG
5	61213 23664	   	249.53	DCR|DCR|1VULN|1TLV|1AART	1VULN|2FEWX|3ASPD|4LIT|5MBVNT|6AEFRZ|7AART|89RCR|aTLV
6	15163 31161	   	249.00	DCR|DCR|2VULN|1DMG	1LHND|24VULN|3BELT|5LEGI|6BOSS|7aRCR|8DMG|9DUST
7	15112 12161	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2VULN|3BELT|4LIT|5ERES|6aRCR|7TLV|8DMG|9DUST
8	64112 12161	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1VULN|2LHND|3BELT|4LIT|5ERES|6aRCR|7TLV|8DMG|9DUST
9	63414 32312	 * 	245.22	DCR|4VULN|1TLV|1DMG|1CDMG	1389VULN|26ZMB|4CDMG|5DMG|7TLV|aRCR
10	15122 26212	   	242.79	DCR|DCR|2VULN|1DUR	1LHND|27VULN|3BELT|4BEXP|5DUR|6CGEN|8RAT|9aRCR
11	15162 51212	   	242.79	DCR|DCR|2VULN|1DUR	1LHND|24VULN|3BELT|5CGEN|6LWND|7DUR|8RAT|9aRCR
12	15352 26212	   	242.79	DCR|DCR|2VULN|1DUR	1LHND|27VULN|3LWND|4BELT|5DUR|6CGEN|8RAT|9aRCR
13	64122 26212	   	242.79	DCR|DCR|2VULN|1DUR	17VULN|2LHND|3BELT|4BEXP|5DUR|6CGEN|8RAT|9aRCR
14	15122 66212	   	242.69	DCR|DCR|2VULN|1DUR	1LHND|27VULN|3BELT|4BEXP|5DUR|6ERES|8RAT|9aRCR
15	15134 51212	   	242.69	DCR|DCR|2VULN|1DUR	1LHND|25VULN|3BELT|4ERES|6LWND|7DUR|8RAT|9aRCR
16	15152 26212	   	242.69	DCR|DCR|2VULN|1DUR	1LHND|27VULN|3BELT|4LEGI|5DUR|6CGEN|8RAT|9aRCR
17	15163 11212	   	242.69	DCR|DCR|2VULN|1DUR	1LHND|24VULN|3BELT|5LEGI|6CGEN|7DUR|8RAT|9aRCR
18	64163 11212	   	242.69	DCR|DCR|2VULN|1DUR	14VULN|2LHND|3BELT|5LEGI|6CGEN|7DUR|8RAT|9aRCR
19	15163 61212	   	242.59	DCR|DCR|2VULN|1DUR	1LHND|24VULN|3BELT|5LEGI|6ERES|7DUR|8RAT|9aRCR
20	51421 62333	 * 	241.44	DCR|3VULN|3DUR|2DMG	1BBNT|29aVULN|3RPLT|49AEFRZ|5RAT|6RCR|7aDMG|89aDUR|9aBPWR
21	62421 62333	   	241.44	DCR|3VULN|3DUR|2DMG	19aVULN|2TBNT|3RPLT|49AEFRZ|5RAT|6RCR|7aDMG|89aDUR|9aBPWR
22	63221 41421	 * 	239.37	DCR|DCR|2TLV|1VULN	1VULN|2ZMB|3TBNT|49RAT|5aTLV|68RCR|7LHND
23	15116 21151	   	238.50	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2VULN|3BELT|4LIT|5RMIN|6MLV|7aRCR|8DMG|9DUST
24	15112 21161	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1LHND|2VULN|3BELT|4LIT|5ERES|6MLV|7aRCR|8DMG|9DUST
25	64112 21161	   	238.40	DCR|DCR|1VULN|1DMG|1MLV	1VULN|2LHND|3BELT|4LIT|5ERES|6MLV|7aRCR|8DMG|9DUST
26	31152 41413	   	237.60	DCR|DCR|1TLV|1DMG|1DUR	1CGEN|2DUR|3DMG|4RAT|5TBNT|68RCR|7LHND|9ASPD|aTLV
27	31152 42413	   	237.50	DCR|DCR|1TLV|1DMG|1DUR	1CGEN|2DUR|3DMG|4RAT|5TBNT|68RCR|7LEGI|9ASPD|aTLV
28	31152 43413	   	237.50	DCR|DCR|1TLV|1DMG|1DUR	1CGEN|2DUR|3DMG|4RAT|5TBNT|68RCR|7DUST|9ASPD|aTLV
29	21114 51262	 * 	237.16	DCR|2VULN|3DMG|1TLV|1DUR|1AAC	1AAC|2DUST|346DMG|56VULN|6BPWR|7TLV|8DUR|9BELT|aRCR
