0	Index      	 *	Score 	Summary	Detail	
1	13225 43262	 * 	275.21	DCR|DCR|2VULN|1TLV|1DMG	1DUST|2DMG|3LIT|4LEGI|5aVULN|67RCR|8RAT|9TLV
2	13235 43326	 * 	275.21	DCR|DCR|2VULN|2AAC|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|59VULN|67RCR|8aAAC
3	22163 45233	 * 	269.51	ACR|DCR|2VULN|2DMG|2TLV	14TLV|2aRCR|34DMG|4BPWR|5RCVC|67VULN|8FEWX|9LWND
4	22163 45133	   	269.41	ACR|DCR|2VULN|2DMG|2TLV	14TLV|2aRCR|34DMG|4BPWR|5RCVC|67VULN|8DUST|9LWND
5	22113 18648	   	268.69	ACR|DCR|2VULN|1TLV|1DMG|1DUR|1CDMG	1TLV|27RCR|3DMG|4MBVNT|5FEWX|6DUR|8aVULN|9CDMG
6	13225 43252	 * 	266.69	DCR|DCR|2VULN|2DMG	1aDUST|2aDMG|3LIT|4LEGI|59VULN|67RCR|8aRAT|aBPWR
7	51633 21413	   	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1RAT|2LWND|3VULN|4TLV|5RCVC|6RPLT|7MLV|89RCR|aDMG
8	52633 21413	   	264.81	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1RAT|2BEXP|3VULN|4TLV|5RCVC|6RPLT|7MLV|89RCR|aDMG
9	16633 21413	   	264.71	DCR|DCR|1VULN|1TLV|1DMG|1MLV	1DUST|2RAT|3VULN|4TLV|5RCVC|6RPLT|7MLV|89RCR|aDMG
10	13235 43252	   	262.85	DCR|DCR|2VULN|1DMG|1DUR	1aDUST|2DMG|3aLIT|4DUR|59VULN|67RCR|8aRAT|aBPWR
11	13235 43213	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4DUR|5aVULN|67RCR|8RAT|9LWND
12	13255 43233	   	262.75	DCR|DCR|2VULN|1DMG|1DUR	1DUST|2DMG|3LIT|4LWND|5aVULN|67RCR|8RAT|9DUR
