0	Index      	 *	Score 	Summary	Detail	
1	43336 22412	 * 	268.79	DCR|DCR|2VULN|2DUR|1AART	1aDUR|2CGEN|3AART|4BBNT|56VULN|79RCR|8RMIN
2	43336 22411	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1DUR|2CGEN|3AART|4BBNT|56VULN|79RCR|8RMIN|aAEPOI
3	43336 22413	   	256.24	DCR|DCR|2VULN|1DUR|1AART	1DUR|2CGEN|3AART|4BBNT|56VULN|79RCR|8RMIN|aAETHUN
4	43332 22412	 * 	254.04	DCR|DCR|3DUR|1VULN|1AART	15aDUR|2CGEN|3AART|4BBNT|6VULN|79RCR|8RMIN
5	11512 65211	 * 	243.67	DCR|2VULN|1FLTARM|1TLV|1DMG|1AART|1CDMG	1AEWIND|2DMSP|3TLV|45VULN|6AART|7DMG|8FLTARM|9RCR|aCDMG
6	12512 65211	   	243.57	DCR|2VULN|1FLTARM|1TLV|1DMG|1AART|1CDMG	1AEWIND|2AEFRZ|3TLV|45VULN|6AART|7DMG|8FLTARM|9RCR|aCDMG
7	14312 65211	   	243.57	DCR|2VULN|1FLTARM|1TLV|1DMG|1AART|1CDMG	1AEWIND|2TLV|3AEFRZ|45VULN|6AART|7DMG|8FLTARM|9RCR|aCDMG
8	43332 22415	   	242.59	DCR|DCR|1VULN|2DUR|1AART	15DUR|2CGEN|3AART|4BBNT|6VULN|79RCR|8RMIN|aZMB
9	43332 22416	   	242.59	DCR|DCR|1VULN|2DUR|1AART	15DUR|2CGEN|3AART|4BBNT|6VULN|79RCR|8RMIN|aBEXP
10	43332 22411	   	242.49	DCR|DCR|1VULN|2DUR|1AART	15DUR|2CGEN|3AART|4BBNT|6VULN|79RCR|8RMIN|aAEPOI
11	43332 22413	   	242.49	DCR|DCR|1VULN|2DUR|1AART	15DUR|2CGEN|3AART|4BBNT|6VULN|79RCR|8RMIN|aAETHUN
12	41143 32432	 * 	241.56	DCR|3VULN|1FLTARM|1DMG|1MLV|1DUR	1DUR|2RAT|3DMG|4ERES|589VULN|6MLV|7FLTARM|aRCR
