0	Index      	 *	Score 	Summary	Detail	
1	22426 23435	 * 	284.89	DCR|DCR|3VULN|1DMG|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aDMG
2	22426 33435	 * 	275.21	DCR|DCR|2VULN|2AART|1DMG	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aDMG
3	21351 23322	 * 	266.09	DCR|2VULN|3DUR|2DMG|1TLV|1AART	1AART|239DUR|39BPWR|4BBNT|5ASPD|69VULN|7RCR|89DMG|aTLV
4	22426 23431	   	264.83	DCR|DCR|3VULN|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aBOSS
5	22426 23432	   	264.83	DCR|DCR|3VULN|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aCGEN
6	22426 23436	   	264.83	DCR|DCR|3VULN|1AART	1AART|2LIT|3aLHND|467VULN|5MBVNT|89RCR
7	22426 23433	   	264.73	DCR|DCR|3VULN|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aBBNT
8	22426 23434	   	264.73	DCR|DCR|3VULN|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aDUST
9	22426 23437	   	264.73	DCR|DCR|3VULN|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aAEFRZ
10	22426 23438	   	264.73	DCR|DCR|3VULN|1AART	1AART|2LIT|3LHND|467VULN|5MBVNT|89RCR|aAEBURN
11	22426 24435	   	262.75	DCR|DCR|2VULN|1DMG|1AART	1AART|2LIT|3LHND|46VULN|5MBVNT|7DMSP|89RCR|aDMG
12	21351 23324	 * 	262.03	DCR|3VULN|3DUR|2DMG|1AART	1AART|239DUR|39BPWR|4BBNT|5ASPD|69aVULN|7RCR|89DMG
13	21352 23322	   	259.15	DCR|2VULN|3DUR|2DMG|1TLV|1AART|1AAC	1AART|239DUR|39BPWR|4BBNT|5AAC|69VULN|7RCR|89DMG|aTLV
14	61123 56233	 * 	257.96	DCR|DCR|1TLV|1DMG|1CDMG|1DUR|1AART	1DUR|2LIT|3ERES|4LHND|5DMG|68RCR|7AART|9TLV|aCDMG
15	63123 56233	   	257.96	DCR|DCR|1TLV|1DMG|1DUR|1AART|1CDMG	1DUR|2BOSS|3ERES|4LHND|5DMG|68RCR|7AART|9TLV|aCDMG
16	61123 56231	 * 	256.76	DCR|DCR|2DUR|1TLV|1DMG|1AART	1aDUR|2LIT|3ERES|4LHND|5DMG|68RCR|7AART|9TLV
17	63123 56231	   	256.76	DCR|DCR|2DUR|1TLV|1DMG|1AART	1aDUR|2BOSS|3ERES|4LHND|5DMG|68RCR|7AART|9TLV
18	22426 33431	   	255.14	DCR|DCR|2VULN|2AART	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aBOSS
19	22426 33432	   	255.14	DCR|DCR|2VULN|2AART	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aCGEN
20	22426 33436	   	255.14	DCR|DCR|2VULN|2AART	16AART|2LIT|3aLHND|47VULN|5MBVNT|89RCR
21	21352 23324	   	255.09	DCR|3VULN|3DUR|2DMG|1AART|1AAC	1AART|239DUR|39BPWR|4BBNT|5AAC|69aVULN|7RCR|89DMG
22	22426 33433	   	255.04	DCR|DCR|2VULN|2AART	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aBBNT
23	22426 33434	   	255.04	DCR|DCR|2VULN|2AART	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aDUST
24	22426 33437	   	255.04	DCR|DCR|2VULN|2AART	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aAEFRZ
25	22426 33438	   	255.04	DCR|DCR|2VULN|2AART	16AART|2LIT|3LHND|47VULN|5MBVNT|89RCR|aAEBURN
