0	Index      	 *	Score 	Summary	Detail	
1	35416 46311	 * 	269.79	DCR|DCR|1VULN|1TLV|1DUR|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7DUR|89RCR|aCDMG
2	33232 12365	 * 	263.28	DCR|DCR|2VULN|1DUR|1AART	1AART|2DUR|3ASPD|45VULN|6DUST|7aRCR|8LIT|9RPLT
3	35416 46313	   	263.08	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7DUR|89RCR|aASPD
4	35471 46311	   	259.19	DCR|DCR|1VULN|1MLV|1DUR|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TBNT|5MLV|6VULN|7DUR|89RCR|aCDMG
5	35414 14623	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1AART|1AAC	1AART|2MBVNT|3TSLARM|4TLV|5MLV|6AAC|7DMSP|89RCR|aVULN
6	35436 73241	 * 	257.67	DCR|DCR|2TLV|1MSLTOX|1DUR|1AART	1AART|2MBVNT|3TSLARM|4DUR|5ASPD|68TLV|7MSLTOX|9aRCR
7	35462 73241	 * 	257.14	DCR|DCR|2TLV|1DMG|1MSLTOX|1AART	1AART|2MBVNT|3TSLARM|4DMG|5BEXP|68TLV|7MSLTOX|9aRCR
8	35416 46312	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7DUR|89RCR|aRPLT
9	35416 46314	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7DUR|89RCR|aRCVC
10	35416 48311	   	256.14	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7FEWX|89RCR|aCDMG
11	35416 47311	   	256.04	DCR|DCR|1VULN|1TLV|1AART|1CDMG	1AART|2MBVNT|3TSLARM|4TLV|5TBNT|6VULN|7LEGI|89RCR|aCDMG
12	33622 32512	 * 	255.31	DCR|3VULN|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2DUR|356VULN|4CGEN|7RCR|8MLV|9DMG|aTLV
13	35411 72112	 * 	255.04	DCR|DCR|1VULN|2AART|1TLV	15AART|2MBVNT|3TSLARM|4TLV|6RPLT|7LHND|8VULN|9aRCR
14	35411 75112	   	255.04	DCR|DCR|1VULN|2AART|1TLV	15AART|2MBVNT|3TSLARM|4TLV|6RPLT|7LWND|8VULN|9aRCR
15	35412 45112	   	255.04	DCR|DCR|1VULN|2AART|1TLV	17AART|2MBVNT|3TSLARM|4TLV|5BEXP|6RPLT|8VULN|9aRCR
16	35814 35212	   	255.04	DCR|DCR|1VULN|2AART|1TLV	17AART|2MBVNT|3RPLT|4DUST|5TLV|6VULN|8VENTOX|9aRCR
17	35814 35112	   	254.94	DCR|DCR|1VULN|2AART|1TLV	17AART|2MBVNT|3RPLT|4DUST|5TLV|6VULN|8AIRARM|9aRCR
18	33432 32252	 * 	254.41	DCR|4VULN|1TLV|1MLV|1DUR|1AART	1AART|2DUR|3MLV|4569VULN|7RCR|8FEWX|aTLV
19	33432 32652	   	254.41	DCR|4VULN|1TLV|1MLV|1DUR|1AART	1AART|2DUR|3MLV|4569VULN|7RCR|8BEXP|aTLV
20	33622 32563	 * 	254.41	DCR|4VULN|1FLTARM|1MLV|1DUR|1AART	1AART|2DUR|3569VULN|4CGEN|7RCR|8MLV|aFLTARM
