0	Index      	 *	Score 	Summary	Detail	
1	51325 12532	 * 	275.11	DCR|DCR|2VULN|2DUR|1DMG	1RAT|2DMG|39DUR|4ERES|5aVULN|68RCR|7CANTOX
2	51331 13614	   	265.91	DCR|DCR|1VULN|1DMG|1MLV|1DUR|1CDMG	1RAT|2DMG|3DUR|4CDMG|5RCVC|6aRCR|7MLV|8VULN|9FEWX
3	12348 83318	 * 	265.23	DCR|DCR|1VULN|1TLV|1MLV|1AART	1MBVNT|2VULN|3LWND|4TLV|5LIT|6AART|7MLV|8ASPD|9aRCR
4	14344 16173	   	265.13	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1MBVNT|2DUR|3LWND|4TLV|5SNIFST|6aRCR|7MLV|8VULN|9ASPD
5	51325 12252	 * 	264.35	DCR|DCR|1VULN|2MLV|1DMG|1DUR	1RAT|2DMG|3DUR|4ERES|5VULN|69RCR|7CANTOX|8aMLV
6	51325 12511	   	262.65	DCR|DCR|2VULN|1DMG|1DUR	1RAT|2DMG|3DUR|4ERES|5aVULN|68RCR|7CANTOX|9LIT
7	51321 41314	   	262.65	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	1RAT|2DMG|37DUR|4ERES|5CDMG|6aRCR|8VULN|9FEWX
8	51321 41334	   	262.55	DCR|DCR|1VULN|2DUR|1DMG|1CDMG	1RAT|2DMG|37DUR|4ERES|5CDMG|6aRCR|8VULN|9AETHUN
9	51325 12531	 * 	260.35	DCR|DCR|3DUR|1VULN|1DMG	1RAT|2DMG|39aDUR|4ERES|5VULN|68RCR|7CANTOX
10	14344 16163	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR|1AAC	1MBVNT|2DUR|3LWND|4TLV|5SNIFST|6aRCR|7MLV|8VULN|9AAC
11	12542 65143	 * 	257.92	DCR|DCR|3VULN	1MBVNT|248VULN|3TBNT|5ASPD|6aRCR|7RCVC|9BASARM
12	51231 13614	   	252.25	DCR|DCR|1VULN|1DMG|1MLV|1CDMG	1RAT|2DMG|3LHND|4CDMG|5RCVC|6aRCR|7MLV|8VULN|9FEWX
13	12443 25813	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|35DMSP|4FEWX|6MLV|78RCR|9DMG|aDUR
14	12445 25813	   	252.15	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3DMSP|4FEWX|5RCVC|6MLV|78RCR|9DMG|aDUR
15	12143 25813	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3AEPOI|4FEWX|5DMSP|6MLV|78RCR|9DMG|aDUR
16	12145 25813	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3AEPOI|4FEWX|5RCVC|6MLV|78RCR|9DMG|aDUR
17	12448 25813	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3DMSP|4FEWX|5AEWIND|6MLV|78RCR|9DMG|aDUR
18	51325 12251	   	252.05	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2DMG|3DUR|4ERES|5VULN|69RCR|7CANTOX|8MLV|aBEXP
19	12148 25813	   	251.95	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1MBVNT|2VULN|3AEPOI|4FEWX|5AEWIND|6MLV|78RCR|9DMG|aDUR
20	51325 12253	   	251.95	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1RAT|2DMG|3DUR|4ERES|5VULN|69RCR|7CANTOX|8MLV|aLEGI
21	12344 16673	   	251.48	DCR|DCR|1VULN|1TLV|1MLV	1MBVNT|2VULN|3LWND|4TLV|5FRZFST|6aRCR|7MLV|8LHND|9ASPD
