0	Index      	 *	Score 	Summary	Detail	
1	35113 23421	 * 	257.29	DCR|3VULN|2DMG|1TLV|2ASPD|1AART	1AART|2RPLT|3aDMG|4TLV|57aVULN|6RCR|8TBNT|9aASPD|aBPWR
2	35143 23351	 * 	256.19	DCR|3VULN|2DMG|2DUR|2AART	1aAART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89DUR|9BPWR
3	35143 23352	 * 	255.19	DCR|3VULN|3DUR|2DMG|1AART	1AART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89aDUR|9BPWR
4	13635 32325	 * 	252.25	DCR|DCR|1VULN|1DMG|1MLV|1DUR	1LWND|2DMG|3RAT|4DUR|5LIT|6MLV|7VULN|8aRCR|9LHND
5	35125 22252	 * 	251.35	DCR|DCR|3DMG|1AART|1CDMG	1AART|2RPLT|348DMG|5LIT|6CDMG|7AEBURN|9aRCR
6	35113 21411	 * 	250.76	DCR|2DMG|1VULN|1FLTARM|1TLV|1MLV|1DUR|1AART	1AART|2RPLT|3aDMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9DUR
7	23542 42286	 * 	249.00	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3MBVNT|4SNITOX|57FEWX|69RCR|8aVULN
8	23537 41281	 * 	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4VULN|5CANTOX|69RCR|7BEXP|8DMSP|aTLV
9	23537 42281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4VULN|5CANTOX|69RCR|7FEWX|8DMSP|aTLV
10	23537 42481	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4VULN|5CANTOX|69RCR|78FEWX|aTLV
11	23542 46281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4SNITOX|5FEWX|69RCR|7VULN|8DMSP|aTLV
12	23542 46481	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4SNITOX|58FEWX|69RCR|7VULN|aTLV
13	23527 43281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|47LWND|5BASICY|69RCR|8VULN|aTLV
14	23527 44281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4LWND|5BASICY|69RCR|7DMSP|8VULN|aTLV
15	23542 41466	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7BEXP|9VULN|aTLV
16	23542 42281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4SNITOX|57FEWX|69RCR|8VULN|aTLV
17	23547 41281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	1LHND|2DMG|3MBVNT|4SNITOX|57BEXP|69RCR|8VULN|aTLV
18	23547 42281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	17LHND|2DMG|3MBVNT|4SNITOX|5BEXP|69RCR|8VULN|aTLV
19	63542 41281	   	249.00	DCR|DCR|1VULN|1TLV|1DMG	17BEXP|2DMG|3MBVNT|4SNITOX|5FEWX|69RCR|8VULN|aTLV
20	63543 41281	   	248.90	DCR|DCR|1VULN|1TLV|1DMG	17BEXP|2DMG|3MBVNT|4SNITOX|5LEGI|69RCR|8VULN|aTLV
21	23537 44182	   	248.80	DCR|DCR|2VULN|1DMG	1LHND|2DMG|3MBVNT|4aVULN|5CANTOX|69RCR|7TBNT|8AEPOI
22	13332 36421	 * 	248.33	ACR|DCR|2VULN|3DMG	1LWND|23aDMG|4AEBURN|58RCR|6TBNT|79VULN
23	23332 36421	   	248.33	ACR|DCR|2VULN|3DMG	1LHND|23aDMG|4AEBURN|58RCR|6TBNT|79VULN
24	35113 23411	   	243.74	DCR|3VULN|2DMG|1TLV|1AART	1AART|2RPLT|3aDMG|4TLV|57aVULN|6RCR|8TBNT|9aZMB|aBPWR
25	35143 23353	   	243.74	DCR|3VULN|2DMG|2DUR|1AART	1AART|2RPLT|39DMG|4RMIN|579VULN|6RCR|89DUR|9BPWR|aZMB
26	35113 42225	 * 	243.54	5VULN|2FLTARM|2DMG|1TLV|1AART	1AART|2RPLT|38DMG|4TLV|5689aVULN|78FLTARM|8BPWR
27	35113 23461	   	243.54	DCR|3VULN|2DMG|1TLV|1AART	1AART|2RPLT|39DMG|4TLV|57aVULN|6RCR|8TBNT
28	23542 41461	 * 	240.39	DCR|DCR|2DMG|1VULN	1LHND|2aDMG|3MBVNT|4SNITOX|5FEWX|68RCR|7BEXP|9VULN
29	23542 42288	   	240.39	DCR|DCR|2DMG|1VULN	1LHND|2aDMG|3MBVNT|4SNITOX|57FEWX|69RCR|8VULN
30	63542 42461	   	240.39	DCR|DCR|2DMG|1VULN	1BEXP|2aDMG|3MBVNT|4SNITOX|5FEWX|68RCR|7LHND|9VULN
31	13332 36423	   	239.61	ACR|DCR|2VULN|2DMG	1LWND|23DMG|4AEBURN|58RCR|6TBNT|79VULN|aASPD
32	35113 42222	 * 	239.10	4VULN|2FLTARM|2DMG|2AART|1TLV	1aAART|2RPLT|38DMG|4TLV|5689VULN|78FLTARM|8BPWR
33	34331 33534	   	239.03	DCR|DCR|1VULN|1MLV|1AART	1AART|2MLV|3RAT|4ASPD|5VULN|6BOSS|7RMIN|8AEFRZ|9aRCR
34	13632 23156	 * 	238.51	DCR|3VULN|2DUR|1TLV|1DMG	1LWND|2DMG|3RAT|45DUR|6TLV|7RCR|89aVULN
35	23632 23156	   	238.51	DCR|3VULN|2DUR|1TLV|1DMG	1LHND|2DMG|3RAT|45DUR|6TLV|7RCR|89aVULN
36	35113 23332	   	238.15	DCR|2VULN|1TLV|1DMG|1DUR|1AART|1CDMG	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8DUR|9CDMG|aASPD
37	35133 42252	   	237.46	DCR|DCR|3DMG|1AART|1SELL	1AART|2RPLT|358DMG|4SELL|6LIT|7AEBURN|9aRCR
38	35113 21432	   	237.11	DCR|2DMG|1VULN|1FLTARM|1TLV|1MLV|1AART	1AART|2RPLT|3aDMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9RCVC
39	35113 21441	   	237.11	DCR|2DMG|1VULN|1FLTARM|1TLV|1MLV|1AART	1AART|2RPLT|3aDMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9LHND
40	35113 42223	 * 	236.98	4VULN|2FLTARM|2DMG|2TLV|1AART	1AART|2RPLT|38DMG|4aTLV|5689VULN|78FLTARM|8BPWR
41	35113 52225	   	236.98	4VULN|2FLTARM|2DMG|2TLV|1AART	1AART|2RPLT|38DMG|46TLV|589aVULN|78FLTARM|8BPWR
42	11253 34325	   	236.55	DCR|DCR|1VULN|1DMG|1DUR	1LWND|2ERES|3DUR|4DMG|5LIT|6VULN|7RAT|8aRCR|9LHND
43	23542 41465	   	236.45	DCR|DCR|1VULN|1DMG|1DUR	1LHND|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7BEXP|9VULN|aDUR
44	23542 41483	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1LHND|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7BEXP|9AART|aVULN
45	63542 42483	   	236.45	DCR|DCR|1VULN|1DMG|1AART	1BEXP|2DMG|3MBVNT|4SNITOX|5FEWX|68RCR|7LHND|9AART|aVULN
46	35113 26421	   	235.15	DCR|2VULN|2DMG|1TLV|2ASPD|1AART	1AART|27RPLT|3aDMG|4TLV|5aVULN|6RCR|8TBNT|9aASPD|aBPWR
47	23322 66131	   	235.15	DCR|2VULN|2DMG|1TLV|1DUR|1CDMG	1LHND|23DMG|4DUR|5aVULN|6CGEN|7TLV|8RCR|9CDMG
48	13321 64163	   	235.00	DCR|2VULN|3DUR|2DMG|1MLV	19LWND|23DMG|459DUR|69VULN|7RCR|8RCVC|9BPWR|aMLV
49	13632 53116	 * 	233.95	DCR|2VULN|2DMG|2DUR|1TLV	1LWND|27DMG|3RAT|45DUR|6aVULN|8RCR|9TLV
50	23632 53116	   	233.95	DCR|2VULN|2DMG|2DUR|1TLV	1LHND|27DMG|3RAT|45DUR|6aVULN|8RCR|9TLV
51	23321 44313	 * 	233.94	DCR|3DMG|2TLV|1VULN|2DUR	19LHND|239DMG|45DUR|6LWND|7RCR|89TLV|9BPWR|aVULN
52	35165 21333	   	233.61	DCR|DCR|1DMG|1MLV|2ASPD|1AART	1AART|2RPLT|3DMG|4FEWX|59ASPD|68RCR|7AME|aMLV
53	35113 23551	   	233.17	DCR|2VULN|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|57VULN|6RCR|8CGEN|9MLV|aDUR
54	35113 21413	   	233.17	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9DUR|aLHND
55	35113 21414	   	233.17	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9DUR|aCGEN
56	35113 21415	   	233.17	DCR|1VULN|1FLTARM|1TLV|1DMG|1MLV|1DUR|1AART	1AART|2RPLT|3DMG|4TLV|5VULN|6RCR|7MLV|8FLTARM|9DUR|aBEXP
