0	Index      	 *	Score 	Summary	Detail	
1	62453 23323	 * 	265.88	DCR|DCR|2VULN|2TLV	19VULN|2RPLT|39RAT|4BEXP|57TLV|69LIT|8aRCR|9BPWR
2	41414 31141	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1AART	1AART|2BOSS|3TLV|4AME|5MBVNT|6DUR|7aRCR|8VULN|9SPLJET
3	42336 23122	   	256.10	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1SELL	1AART|2CDMG|3AEFBLL|4TLV|5RCVC|6LIT|79RCR|8SELL|aVULN
4	41534 23122	   	256.00	DCR|DCR|1VULN|1TLV|1AART|1CDMG|1SELL	1AART|2BOSS|3CDMG|4AEWIND|5AEFBLL|6TLV|79RCR|8SELL|aVULN
5	62413 21323	   	255.54	DCR|DCR|2VULN|1TLV	19VULN|2RPLT|39RAT|4LWND|5TLV|69LIT|7DMSP|8aRCR|9BPWR
6	62413 24323	   	255.34	DCR|DCR|2VULN|1TLV	19VULN|2RPLT|3RAT|49LWND|5TLV|6LIT|79AEPOI|8aRCR|9BPWR
7	62661 33133	 * 	254.53	DCR|5VULN|2TLV|1MLV	13459VULN|2RPLT|69BEXP|79TLV|8RCR|9BPWR|aMLV
8	62662 33133	   	254.53	DCR|5VULN|2TLV|1MLV	13459VULN|2RPLT|59BPWR|69BEXP|79TLV|8RCR|aMLV
9	33631 62315	 * 	249.56	DCR|2VULN|2DMG|2DUR|1TLV|1MLV	1BBNT|2CGEN|3aDMG|4MLV|5AME|6aDUR|7RCR|8TLV|9aVULN|aBPWR
10	51441 16723	 * 	249.10	DCR|DCR|2VULN|2CDMG	1MBVNT|2BOSS|39CDMG|49VULN|5ERES|6LWND|79RAT|8aRCR|9BPWR
11	51443 14723	   	249.10	DCR|DCR|2VULN|2CDMG	1MBVNT|2BOSS|39CDMG|49VULN|5DUST|6CGEN|79RAT|8aRCR|9BPWR
12	55414 48414	   	244.54	DCR|DCR|2VULN|1MLV	1MBVNT|24LHND|3AEFBLL|59VULN|6ZMB|78RCR|aMLV
13	42113 23527	 * 	244.31	DCR|DCR|1TLV|1DMG|1AART|1CDMG	1AART|2CDMG|3VENTOX|4RPLT|5MBVNT|6RAT|7TLV|8DMG|9aRCR
14	51441 16543	   	242.59	DCR|DCR|2VULN|1CDMG	1MBVNT|2BOSS|3CDMG|48VULN|5ERES|6LWND|7RAT|9aRCR
15	55414 48412	   	242.59	DCR|DCR|2VULN|1DUR	1MBVNT|24LHND|3AEFBLL|59VULN|6ZMB|78RCR|aDUR
16	41414 11141	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2BOSS|3TLV|4AME|5MBVNT|6FEWX|7aRCR|8VULN|9SPLJET
17	41462 41141	   	242.49	DCR|DCR|1VULN|1TLV|1AART	1AART|2BOSS|3TLV|4DUST|5MBVNT|6CGEN|7aRCR|8VULN|9SPLJET
18	41462 31141	   	242.39	DCR|DCR|1VULN|1TLV|1AART	1AART|2BOSS|3TLV|4DUST|5MBVNT|6AME|7aRCR|8VULN|9SPLJET
19	42331 13152	   	239.85	DCR|DCR|1TLV|1MLV|1AART|1CDMG	1AART|2CDMG|3AEFBLL|4TLV|5BEXP|6MLV|7RCVC|8aRCR|9BELT
20	42331 15152	   	239.85	DCR|DCR|1TLV|1MLV|1AART|1CDMG	1AART|2CDMG|3AEFBLL|4TLV|57BEXP|6MLV|8aRCR|9BELT
21	42333 13152	   	239.85	DCR|DCR|1TLV|1MLV|1AART|1CDMG	1AART|2CDMG|3AEFBLL|4TLV|5FEWX|6MLV|7RCVC|8aRCR|9BELT
22	42333 14152	   	239.85	DCR|DCR|1TLV|1MLV|1AART|1CDMG	1AART|2CDMG|3AEFBLL|4TLV|57FEWX|6MLV|8aRCR|9BELT
23	62132 21136	 * 	239.50	DCR|4VULN|2MLV|2DUR	149aVULN|26RPLT|39MLV|59DUR|7RCVC|8RCR|9BPWR
24	62453 23313	   	239.47	DCR|DCR|2TLV|1VULN	1VULN|2RPLT|39RAT|4BEXP|57TLV|6LIT|8aRCR
25	62453 23333	   	239.37	DCR|DCR|2TLV|1VULN	1VULN|2RPLT|3RAT|4BEXP|57TLV|6LIT|8aRCR|9AEWIND
26	62136 11136	   	239.30	DCR|4VULN|2MLV|2DUR	149aVULN|2RPLT|39MLV|5AEFRZ|6AEWIND|79DUR|8RCR|9BPWR
27	62661 33131	   	238.93	DCR|5VULN|2TLV	13459VULN|2RPLT|69BEXP|79TLV|8RCR|9BPWR|aLWND
28	62662 33131	   	238.93	DCR|5VULN|2TLV	13459VULN|2RPLT|59BPWR|69BEXP|79TLV|8RCR|aLWND
29	62361 33136	   	238.93	DCR|5VULN|2TLV	1459aVULN|2RPLT|3RCVC|69BEXP|79TLV|8RCR|9BPWR
