0	Index      	 *	Score 	Summary	Detail	
1	26361 23524	 * 	280.34	DCR|DCR|2VULN|2DMG|1DUR|1AAC	1DUR|2ZMB|35VULN|48DMG|6MBVNT|7AAC|9aRCR
2	26361 21524	   	280.24	DCR|DCR|2VULN|2DMG|1DUR|1NUKE	1DUR|2ZMB|35VULN|48DMG|6MBVNT|7NUKE|9aRCR
3	26361 23224	 * 	275.21	DCR|DCR|2VULN|2DUR|1DMG|1AAC	18DUR|2ZMB|35VULN|4DMG|6MBVNT|7AAC|9aRCR
4	26361 21224	   	275.11	DCR|DCR|2VULN|2DUR|1DMG|1NUKE	18DUR|2ZMB|35VULN|4DMG|6MBVNT|7NUKE|9aRCR
5	41112 24242	 * 	268.89	DCR|DCR|2VULN|1TLV|1DUR	1TSLFST|26VULN|3LWND|4FEWX|5LHND|7TLV|8aRCR|9DUR
6	26361 23424	 * 	262.75	DCR|DCR|2VULN|2AAC|1DMG|1DUR	1DUR|2ZMB|35VULN|4DMG|6MBVNT|78AAC|9aRCR
7	21334 34212	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2MLV|3VULN|4BEXP|5CANSTR|6CGEN|7TLV|8aRCR|9LHND
8	41522 12262	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TSLFST|2VULN|3CGEN|4TLV|5DUR|6LHND|7MLV|8aRCR|9LWND
9	41522 32212	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TSLFST|2VULN|3CGEN|4TLV|5DUR|6LWND|7MLV|8aRCR|9LHND
10	41523 12242	   	258.29	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1TSLFST|2VULN|3CGEN|4TLV|5LWND|6LHND|7MLV|8aRCR|9DUR
11	21143 55212	   	258.19	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2MLV|3LWND|4AME|5TLV|6VENICY|7VULN|8aRCR|9LHND
12	22231 12212	   	258.09	DCR|DCR|1VULN|1TLV|1MLV|1DUR	1DUR|2ERES|3TLV|4AETHUN|5VULN|6SNITOX|7MLV|8aRCR|9LHND
13	22413 22114	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2ERES|3CDMG|4TBNT|5TLV|6VULN|7aRCR|8VENTOX|9BEXP
14	22453 22114	   	256.24	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2ERES|3CDMG|4BBNT|5TLV|6VULN|7aRCR|8VENTOX|9BEXP
15	32535 11124	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1BBNT|24VULN|3BASARM|5MDPS|6aRCR|7DUR|8CDMG|9RCVC
16	41335 11124	   	256.14	DCR|DCR|2VULN|1DUR|1CDMG	1TSLFST|24VULN|3TBNT|5MDPS|6aRCR|7DUR|8CDMG|9RCVC
17	22413 22634	   	256.14	DCR|DCR|1VULN|1TLV|1DUR|1CDMG	1DUR|2ERES|3CDMG|4TBNT|5TLV|6VULN|7aRCR|8LHND|9SPLREG
18	31521 31536	   	255.89	DCR|DCR|2DMG|1VULN|1MLV	1BBNT|23DMG|4VULN|5TBNT|6RAT|7LEGI|8aRCR|9MLV
19	23142 24212	 * 	255.14	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3BASHEA|4FEWX|5LWND|6VULN|7TLV|8aRCR|9LHND
20	23112 24212	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3BASHEA|4DUST|5LWND|6VULN|7TLV|8aRCR|9LHND
21	23116 55212	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3BASHEA|4DUST|5TLV|6LHND|7VULN|8aRCR|9LWND
22	23116 55232	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3BASHEA|4DUST|5TLV|6LHND|7VULN|8aRCR|9BEXP
23	23143 24222	   	255.04	DCR|DCR|1VULN|2DUR|1TLV	12DUR|3BASHEA|4FEWX|5DUST|6VULN|7TLV|8aRCR|9LHND
24	16413 21524	   	254.14	DCR|DCR|2DMG|1VULN|1DUR|1AAC	1RCVC|2AAC|3VULN|4MBVNT|5DUR|6ZMB|78DMG|9aRCR
25	22413 22242	 * 	252.06	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|28ERES|3CDMG|4TBNT|5TLV|689VULN|7RCR|8BPWR|aDMG
26	22453 22242	   	252.06	DCR|3VULN|2DUR|1TLV|1DMG|1CDMG	18DUR|28ERES|3CDMG|4BBNT|5TLV|689VULN|7RCR|8BPWR|aDMG
27	21431 21443	 * 	250.76	DCR|2VULN|2DMG|1TLV|1MLV|1DUR|1CDMG	1DUR|2MLV|3CDMG|4BOSS|5aVULN|6RCR|78DMG|9TLV
