0	Index      	 *	Score 	Summary	Detail	
1	22163 15612	 * 	280.24	橙橙2易伤2伤害1暴击	1挖尘2雷电34伤害5暴击68核7a易伤9掉矿
2	22133 15652	   	262.75	橙橙2易伤1伤害1暴击	1挖尘24雷电3伤害5暴击68核7a易伤9平台
3	22133 15662	   	262.75	橙橙2易伤1伤害1暴击	1挖尘24雷电3伤害5暴击68核7a易伤9策反
4	22133 14652	 * 	262.75	橙橙1易伤1等级1伤害1暴击	1挖尘24雷电3伤害5暴击68核7最后敌人9等级a易伤
5	22133 15612	   	262.65	橙橙2易伤1伤害1暴击	1挖尘24雷电3伤害5暴击68核7a易伤9掉矿
6	23363 15612	   	262.55	橙橙2易伤1伤害1暴击	13挖尘2伤害4雷电5暴击68核7a易伤9掉矿
7	53112 12352	 * 	255.14	橙橙2易伤2时间	1a技能点2a时间39易伤4额外掉落5爆破对壮6a金币生成78核a序列升级
8	22163 13652	   	254.14	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7基地爆炸9平台a易伤
9	22163 13614	   	254.04	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7基地爆炸9掉矿a易伤
10	22163 14612	   	254.04	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7最后敌人9掉矿a易伤
11	22163 15611	   	254.04	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7易伤9掉矿a基地爆炸
12	22163 15613	   	254.04	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7易伤9掉矿a策反
13	22163 15623	   	254.04	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7易伤9烈焰减费a最后敌人
14	22163 15621	   	253.94	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7易伤9烈焰减费a雷电减费
15	22163 15622	   	253.94	橙橙2伤害1易伤1暴击	1挖尘2雷电34伤害5暴击68核7易伤9烈焰减费a挖青
16	22163 15631	   	253.94	橙橙2伤害1易伤1暴击1挖怪	1a挖尘2雷电34伤害5暴击68核7易伤9挖怪
17	22163 15632	   	253.94	橙橙2伤害1易伤1暴击1挖怪	1挖尘2雷电34伤害5暴击68核7易伤9挖怪a立即金币
18	22163 15633	   	253.94	橙橙2伤害1易伤1暴击1挖怪	1挖尘2雷电34伤害5暴击68核7易伤9挖怪a双倍物品
