0	Index      	 *	Score 	Summary	Detail	
1	11131 55411	 * 	276.24	橙橙1易伤1等级1矿等1暴击1雷电	1赏金塔2易伤3时间4暴击5低血量敌人6等级7雷电8a核9矿等
2	11132 23311	   	265.23	橙橙1易伤1等级1矿等1暴击	1赏金塔2易伤3时间4暴击5头目6a核7等级8低血量敌人9矿等
3	13432 23311	   	265.23	橙橙1易伤1等级1矿等1暴击	1赏金塔2时间3易伤4暴击5头目6a核7等级8低血量敌人9矿等
4	34132 23311	   	265.23	橙橙1易伤1等级1矿等1暴击	1时间2易伤3赏金塔4暴击5头目6a核7等级8低血量敌人9矿等
5	36432 23311	   	265.23	橙橙1易伤1等级1矿等1暴击	1时间2赏金邻近3易伤4暴击5头目6a核7等级8低血量敌人9矿等
6	11133 21633	   	260.53	橙橙1易伤1等级1暴击1雷电	1赏金塔2易伤3时间4暴击5赏金邻近6策反7a核8等级9雷电
7	13433 21633	   	260.53	橙橙1易伤1等级1暴击1雷电	1赏金塔2时间3易伤4暴击5赏金邻近6策反7a核8等级9雷电
8	34133 21633	   	260.53	橙橙1易伤1等级1暴击1雷电	1时间2易伤3赏金塔4暴击5赏金邻近6策反7a核8等级9雷电
9	36433 21633	   	260.53	橙橙1易伤1等级1暴击1雷电	1时间2赏金邻近3易伤4暴击5赏金塔6策反7a核8等级9雷电
10	11632 23311	   	258.19	橙橙1易伤1等级1矿等1暴击	1赏金塔2易伤3挖尘4暴击5头目6a核7等级8低血量敌人9矿等
11	52234 32611	 * 	257.27	橙2易伤2伤害3攻速2导弹对毒	179攻速27伤害39最后敌人4时间57易伤6赏金邻近79序列升级89导弹对毒a核
12	52236 32611	   	257.27	橙2易伤2伤害3攻速2导弹对毒	179攻速27伤害39最后敌人4时间5赏金塔67易伤79序列升级89导弹对毒a核
13	62341 25633	 * 	254.49	橙橙1易伤1伤害1暴击1雷电	1金币生成2伤害3加一4易伤5雷电6暴击7时间8a核9随机技能
14	62342 53473	   	254.49	橙橙1易伤1伤害1暴击1雷电	1金币生成2伤害3加一4易伤5随机技能6时间7雷电8a核9暴击
15	11633 21633	   	253.49	橙橙1易伤1等级1暴击1雷电	1赏金塔2易伤3挖尘4暴击5赏金邻近6策反7a核8等级9雷电
16	11132 21661	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2易伤3时间4暴击5头目6a核7低血量敌人8金币生成9等级
17	11132 22361	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2易伤3时间4暴击5头目6a核7金币生成8低血量敌人9等级
18	11132 25361	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2易伤3时间4暴击5头目6a核7随机矿8低血量敌人9等级
19	13432 21661	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2时间3易伤4暴击5头目6a核7低血量敌人8金币生成9等级
20	13432 22361	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2时间3易伤4暴击5头目6a核7金币生成8低血量敌人9等级
21	13432 25361	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2时间3易伤4暴击5头目6a核7随机矿8低血量敌人9等级
22	13632 23431	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2时间3敌人爆炸4暴击5头目6a核7等级8随机矿9易伤
23	33132 23431	   	249.63	橙橙1易伤1等级1暴击	1时间2最后敌人3赏金塔4暴击5头目6a核7等级8随机矿9易伤
24	34132 21661	   	249.63	橙橙1易伤1等级1暴击	1时间2易伤3赏金塔4暴击5头目6a核7低血量敌人8金币生成9等级
25	34132 22361	   	249.63	橙橙1易伤1等级1暴击	1时间2易伤3赏金塔4暴击5头目6a核7金币生成8低血量敌人9等级
26	34132 25361	   	249.63	橙橙1易伤1等级1暴击	1时间2易伤3赏金塔4暴击5头目6a核7随机矿8低血量敌人9等级
27	36432 22361	   	249.63	橙橙1易伤1等级1暴击	1时间2赏金邻近3易伤4暴击5头目6a核7金币生成8低血量敌人9等级
28	36632 23431	   	249.63	橙橙1易伤1等级1暴击	1时间2赏金邻近3敌人爆炸4暴击5头目6a核7等级8随机矿9易伤
29	11132 12461	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2易伤3时间4暴击5头目6低血量敌人7金币生成8a核9等级
30	11132 62461	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2易伤3时间4暴击5头目6随机矿7低血量敌人8a核9等级
31	13432 12461	   	249.63	橙橙1易伤1等级1暴击	1赏金塔2时间3易伤4暴击5头目6低血量敌人7金币生成8a核9等级
32	34132 12461	   	249.63	橙橙1易伤1等级1暴击	1时间2易伤3赏金塔4暴击5头目6低血量敌人7金币生成8a核9等级
33	62611 11613	   	249.61	橙橙1易伤1伤害1矿等1雷电	147金币生成2伤害3雷电5矿等68核9基地爆炸a易伤
34	62611 11633	   	249.61	橙橙1易伤1伤害1矿等1雷电	147金币生成2伤害3雷电5矿等68核9敌人爆炸a易伤
35	11132 26361	   	249.53	橙橙1易伤1等级1暴击	1赏金塔2易伤3时间4暴击5头目6a核7技能点8低血量敌人9等级
36	13432 26361	   	249.53	橙橙1易伤1等级1暴击	1赏金塔2时间3易伤4暴击5头目6a核7技能点8低血量敌人9等级
37	34132 26361	   	249.53	橙橙1易伤1等级1暴击	1时间2易伤3赏金塔4暴击5头目6a核7技能点8低血量敌人9等级
38	62611 11623	   	249.51	橙橙1易伤1伤害1矿等1雷电	147金币生成2伤害3雷电5矿等68核9毒液对冰a易伤
39	52661 11323	 * 	248.65	橙橙2伤害1矿等1攻速1雷电	1攻速24伤害3雷电5矿等6a核7金币生成8额外掉落9赏金邻近
