0	Index      	 *	Score 	Summary	Detail	
1	35333 13625	 * 	240.54	橙3易伤3伤害2全技能2时间	1双倍矿289伤害36全技能458易伤78时间8序列升级a核
2	35333 53125	 * 	234.97	橙4易伤3伤害1全技能1时间	1双倍矿269伤害3全技能4568易伤6序列升级7时间a核
3	35333 11625	   	226.99	橙3易伤3伤害2全技能	1双倍矿289伤害36全技能458易伤78基地爆炸8序列升级a核
4	35333 51125	   	226.66	橙4易伤3伤害1全技能	1双倍矿269伤害3全技能4568易伤6序列升级7基地爆炸a核
5	23253 14511	 * 	224.36	橙3易伤3伤害1双倍秒伤1全技能2策反	158易伤2双倍秒伤3最后敌人478伤害68策反8序列升级9全技能a核
6	35333 13425	   	217.26	橙3伤害2易伤2全技能1时间	1双倍矿289伤害36全技能45易伤7时间a核
7	35335 13125	   	217.26	橙3伤害2易伤2全技能1时间	1双倍矿259伤害36全技能48易伤7时间a核
8	22133 13242	 * 	216.72	橙4易伤1双倍秒伤1全技能1策反1时间	1258易伤2序列升级3金币生成4全技能6时间7核9策反a双倍秒伤
9	22144 13242	   	216.72	橙4易伤1双倍秒伤1全技能1策反1时间	1248易伤2序列升级3金币生成5全技能6时间7核9策反a双倍秒伤
10	22234 13242	   	216.72	橙4易伤1双倍秒伤1全技能1策反1时间	1248易伤2序列升级3矿等5全技能6时间7核9策反a双倍秒伤
11	22133 13143	 * 	216.71	橙4易伤1散射对甲1全技能1时间	1259易伤2序列升级3金币生成4全技能6时间7核8最后敌人a散射对甲
12	22133 13213	   	216.71	橙4易伤1散射对甲1全技能1时间	1258易伤2序列升级3金币生成4全技能6时间7核9最后敌人a散射对甲
13	22144 13143	   	216.71	橙4易伤1散射对甲1全技能1时间	1249易伤2序列升级3金币生成5全技能6时间7核8最后敌人a散射对甲
14	22144 13213	   	216.71	橙4易伤1散射对甲1全技能1时间	1248易伤2序列升级3金币生成5全技能6时间7核9最后敌人a散射对甲
15	22234 13143	   	216.71	橙4易伤1散射对甲1全技能1时间	1249易伤2序列升级3矿等5全技能6时间7核8最后敌人a散射对甲
16	22234 13213	   	216.71	橙4易伤1散射对甲1全技能1时间	1248易伤2序列升级3矿等5全技能6时间7核9最后敌人a散射对甲
17	35363 12612	 * 	214.97	紫4易伤3伤害1全技能1时间	1双倍矿278伤害3全技能4核578a易伤678低血量敌人78序列升级9时间
18	35333 56311	   	214.81	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9最后敌人a金币生成
19	35333 56312	   	214.81	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9最后敌人a随机矿
20	35333 56313	   	214.81	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9最后敌人a低血量敌人
21	35333 56321	   	214.71	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9挖青a金币生成
22	35333 56322	   	214.71	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9挖青a随机矿
23	35333 56323	   	214.71	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9挖青a低血量敌人
24	35333 56331	   	214.71	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9挖尘a金币生成
25	35333 56332	   	214.71	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9挖尘a随机矿
26	35333 56333	   	214.71	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8核9挖尘a低血量敌人
27	22234 12162	 * 	211.90	橙5易伤2全技能1时间	12489易伤2序列升级3矿等57全技能6时间a核
28	24534 11132	 * 	211.87	橙5易伤2攻速2策反	13489易伤23策反38序列升级5双倍矿68矿等78攻速a核
29	35353 13612	 * 	211.13	橙2易伤2伤害1全技能1暴击2时间	1双倍矿2a伤害3全技能4暴击5a时间6雷电7等级8核9a易伤a序列升级
30	22431 52241	   	211.11	橙4易伤2伤害1全技能	1278易伤27序列升级37低血量敌人4全技能5平台67伤害9雷电a核
31	22531 52241	   	210.91	橙4易伤2伤害1全技能	1278易伤27序列升级3挖青4全技能5平台67伤害9雷电a核
32	23253 24511	   	210.81	橙3易伤3伤害1双倍秒伤1全技能	158易伤2双倍秒伤38最后敌人478伤害6随机矿8序列升级9全技能a核
33	35333 56132	   	210.81	橙3易伤3伤害1全技能	1双倍矿267伤害3全技能456易伤6序列升级8最后敌人9额外掉落a核
34	22133 22425	   	210.71	橙3易伤3伤害1全技能	125易伤2序列升级3金币生成4全技能689伤害7矿等a核
