0	Index      	 *	Score 	Summary	Detail	
1	23126 16223	 * 	312.91	橙3雷电3易伤2喷火对甲	14喷火对甲259雷电3平台678易伤a核
2	21322 51256	 * 	312.05	橙2雷电3易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4最后敌人59雷电6核7金币生成89a易伤9序列升级
3	21342 51253	   	312.05	橙2雷电3易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4低血量敌人59雷电6核7金币生成89a易伤9序列升级
4	23242 25153	 * 	302.32	紫2雷电2矿等3易伤2喷火对甲	19喷火对甲29雷电3挖青4核57a易伤6低血量敌人89矿等9序列升级
5	23235 25153	   	300.07	紫2雷电2矿等3易伤2喷火对甲	19喷火对甲29雷电3挖青47a易伤5核6低血量敌人89矿等9序列升级
6	26134 16221	   	299.48	橙2雷电3易伤1喷火对甲1伤害1暴击	1喷火对甲2暴击3随机矿4伤害59雷电678易伤a核
7	21362 51251	   	297.09	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4时间59雷电6核7金币生成89易伤9序列升级a基地爆炸
8	21362 51252	   	297.09	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4时间59雷电6核7金币生成89易伤9序列升级a低血量敌人
9	21362 51253	   	297.09	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4时间59雷电6核7金币生成89易伤9序列升级a立即金币
10	21613 11522	   	295.29	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲2a攻速3低血量敌人4时间5a易伤6伤害7核8a雷电9平台a序列升级
11	26134 15223	   	294.63	橙3雷电2易伤1喷火对甲1伤害1暴击	1喷火对甲2暴击3随机矿4伤害579雷电68易伤a核
12	23124 25223	   	290.77	橙3雷电2喷火对甲2易伤	14喷火对甲279雷电3平台58易伤6双倍矿a核
13	23242 53633	   	290.13	紫2雷电2易伤1喷火对甲1矿等1伤害1攻速	1喷火对甲28雷电3挖青4核56易伤7攻速9伤害a矿等
14	21322 51251	   	289.91	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4最后敌人59雷电6核7金币生成89易伤9序列升级a基地爆炸
15	21322 51252	   	289.91	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4最后敌人59雷电6核7金币生成89易伤9序列升级a低血量敌人
16	21322 51253	   	289.91	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4最后敌人59雷电6核7金币生成89易伤9序列升级a立即金币
17	21342 51251	   	289.91	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4低血量敌人59雷电6核7金币生成89易伤9序列升级a基地爆炸
18	21342 51252	   	289.91	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4a低血量敌人59雷电6核7金币生成89易伤9序列升级
19	23223 88621	   	289.83	橙3雷电2喷火对甲1易伤2暴击	18喷火对甲268雷电3挖青48暴击5加一7核8序列升级9挖尘a易伤
20	23223 88631	   	289.83	橙3雷电2喷火对甲1易伤2暴击	18喷火对甲268雷电3挖青48暴击5加一7核8序列升级9时间a易伤
21	21322 51255	   	289.81	橙2雷电2易伤1喷火对甲2攻速1伤害	1喷火对甲29攻速3伤害4最后敌人59雷电6核7金币生成89易伤9序列升级a掉矿
22	26134 62213	 * 	288.63	橙2雷电1喷火对甲1矿等1易伤1伤害1暴击	1喷火对甲2暴击3随机矿4伤害56雷电7核8易伤9寒冰对甲a矿等
23	23235 53633	   	288.33	紫2雷电2易伤1喷火对甲1矿等1伤害1攻速	1喷火对甲28雷电3挖青46易伤5核7攻速9伤害a矿等
24	21313 66153	 * 	287.77	橙2雷电1喷火对甲2伤害1易伤1暴击1攻速	1喷火对甲2攻速39伤害4立即金币5易伤6暴击7核8a雷电
25	23123 61844	 * 	286.21	橙2雷电3喷火对甲2易伤1伤害	14a喷火对甲2a雷电3平台5加一6伤害7最后敌人8核9a易伤a序列升级
26	42354 33331	   	285.69	紫2雷电2矿等3易伤3策反	189策反2核34矿等58a易伤6核弹78雷电8序列升级
27	23126 16146	   	284.31	橙2雷电2喷火对甲2易伤1伤害	14喷火对甲25雷电3平台67易伤8加一9核a伤害
28	43233 23334	 * 	283.91	橙2雷电2易伤1矿等1伤害1暴击2策反	18策反2双倍矿38易伤4暴击5矿等6平台78雷电8序列升级9核a伤害
