0	Index      	 *	Score 	Summary	Detail	
1	23441 32351	 * 	264.61	橙橙1易伤1等级2技能1伤害1矿等	16技能2等级3赏金塔4矿等5伤害7a核8雷电减费9易伤
2	12141 23614	 * 	263.08	橙橙2易伤1暴击1攻速	1赏金塔2时间35易伤4暴击6攻速7双倍秒伤8散射对绿9a核
3	23362 11142	 * 	255.34	橙橙2易伤1等级2技能	13技能2等级45易伤6a金币生成79核8毒液对毒
4	23362 11144	   	255.34	橙橙2易伤1等级2技能	13技能2等级45易伤6金币生成79核8毒液对毒a最后敌人
5	23362 11146	   	255.34	橙橙2易伤1等级2技能	13技能2等级45易伤6金币生成79核8毒液对毒a立即金币
6	23362 11141	   	255.24	橙橙2易伤1等级2技能	13技能2等级45易伤6金币生成79核8毒液对毒a技能点
7	23362 11143	   	255.24	橙橙2易伤1等级2技能	13技能2等级45易伤6金币生成79核8毒液对毒a加农对壮
8	23362 11145	   	255.24	橙橙2易伤1等级2技能1挖怪	13技能2等级45易伤6金币生成79核8毒液对毒a挖怪
9	35141 33142	   	255.24	橙橙2易伤1等级	1毒气减费25随机技能3立即金币45易伤5序列升级6等级79核8防空对头目a最后敌人
10	35141 33143	   	255.24	橙橙2易伤1等级	1毒气减费25随机技能3立即金币45易伤5序列升级6等级79核8防空对头目a敌人爆炸
11	35141 33141	   	255.14	橙橙2易伤1等级	1毒气减费25随机技能3立即金币45易伤5序列升级6等级79核8防空对头目a烈焰减费
12	35142 33142	   	255.14	橙橙2易伤1等级	1毒气减费2随机技能3立即金币45易伤6等级79核8防空对头目a最后敌人
13	35142 33143	   	255.14	橙橙2易伤1等级	1毒气减费2随机技能3立即金币45易伤6等级79核8防空对头目a敌人爆炸
14	35142 33141	   	255.04	橙橙2易伤1等级	1毒气减费2随机技能3立即金币45易伤6等级79核8防空对头目a烈焰减费
15	11221 32451	   	249.10	橙橙1易伤1等级2技能1伤害	1赏金塔26技能3金币生成4等级5伤害7a核8敌人爆炸9易伤
16	23411 32451	   	249.10	橙橙1易伤1等级2技能1伤害	16技能2等级3赏金塔4金币生成5伤害7a核8敌人爆炸9易伤
17	11311 16121	 * 	247.33	橙橙2伤害1易伤1技能	1赏金塔2技能3掉矿4金币生成58伤害6易伤7a核9时间
18	11311 56151	   	247.33	橙橙2伤害1易伤1技能	1赏金塔2技能3掉矿4金币生成58伤害6时间7a核9易伤
19	21362 11142	   	244.74	橙橙2易伤2技能1矿等	13技能2矿等45易伤6a金币生成79核8毒液对毒
20	21362 11144	   	244.74	橙橙2易伤2技能1矿等	13技能2矿等45易伤6金币生成79核8毒液对毒a最后敌人
21	21362 11146	   	244.74	橙橙2易伤2技能1矿等	13技能2矿等45易伤6金币生成79核8毒液对毒a立即金币
22	21362 11141	   	244.64	橙橙2易伤2技能1矿等	13技能2矿等45易伤6金币生成79核8毒液对毒a技能点
23	21362 11143	   	244.64	橙橙2易伤2技能1矿等	13技能2矿等45易伤6金币生成79核8毒液对毒a加农对壮
24	21362 11145	   	244.64	橙橙2易伤2技能1矿等1挖怪	13技能2矿等45易伤6金币生成79核8毒液对毒a挖怪
25	12143 23614	   	243.49	橙橙1易伤2时间1暴击1攻速	1赏金塔25时间3易伤4暴击6攻速7双倍秒伤8散射对绿9a核
26	23442 62121	 * 	242.22	橙橙2等级2矿等1技能	1技能25等级3赏金塔45矿等5序列升级6策反7a核8基地爆炸9时间
