0	Index      	 *	Score 	Summary	Detail	
1	15221 15126	 * 	298.45	橙橙3易伤2暴击1伤害	148易伤2伤害38基地爆炸58暴击6双倍矿7a核8序列升级9时间
2	13363 25126	 * 	295.83	橙橙3易伤2伤害1卖塔	148易伤2双倍矿38伤害58低血量敌人6卖塔7a核8序列升级9时间
3	12363 25126	 * 	295.73	橙橙3易伤2伤害1卖塔	148易伤2暴雪减费38伤害58低血量敌人6卖塔7a核8序列升级9时间
4	15523 26111	   	284.65	橙橙3易伤1伤害1攻速1卖塔	156易伤2伤害3攻速4卖塔7a核8低血量敌人9赏金塔
5	13112 25126	 * 	284.08	橙橙3易伤2攻速1卖塔	138易伤2双倍矿4挖青58攻速6卖塔7a核8序列升级9时间
6	23322 52146	 * 	280.24	橙橙2伤害1易伤1等级1暴击	1敌人爆炸2挖青3等级4易伤5暴击69伤害7赏金邻近8a核
7	11221 15126	   	278.38	橙橙3易伤2暴击1技能	148易伤2技能38基地爆炸58暴击6双倍矿7a核8序列升级9时间
8	13112 25146	 * 	277.14	橙橙3易伤2攻速1卖塔	138易伤2双倍矿4挖青58攻速6卖塔7a核8序列升级9低血量敌人
9	12112 25116	 * 	277.04	橙橙3易伤2攻速1卖塔	138易伤28暴雪减费4挖青58攻速6卖塔7a核8序列升级9立即金币
10	12112 25136	 * 	277.04	橙橙3易伤2攻速1卖塔	138易伤28暴雪减费4挖青58攻速6卖塔7a核8序列升级9基地爆炸
11	13321 15126	   	276.31	橙橙2易伤2暴击1伤害	18易伤26双倍矿3伤害48敌人爆炸58暴击7a核8序列升级9时间
12	13321 65126	   	276.31	橙橙2易伤2暴击1伤害	18易伤2双倍矿3伤害48敌人爆炸58暴击6立即金币7a核8序列升级9时间
13	13341 15126	   	276.31	橙橙2易伤2暴击1伤害	18易伤26双倍矿3伤害48低血量敌人58暴击7a核8序列升级9时间
14	15222 24315	 * 	273.34	橙4易伤2伤害2等级1技能1攻速	146a易伤2a伤害3基地爆炸5攻速7a等级8核9技能a序列升级
15	11221 15146	   	271.44	橙橙3易伤2暴击1技能	148易伤2技能38基地爆炸58暴击6双倍矿7a核8序列升级9低血量敌人
16	16221 21126	   	269.69	橙橙2易伤1伤害1暴击	14易伤2掉矿3基地爆炸5暴击6时间7a核8伤害9金币生成
17	13321 15146	   	269.37	橙橙2易伤2暴击1伤害	18易伤26双倍矿3伤害48敌人爆炸58暴击7a核8序列升级9低血量敌人
18	12321 15116	   	269.17	橙橙2易伤2暴击1伤害	18易伤28暴雪减费3伤害4敌人爆炸58暴击6双倍矿7a核8序列升级9立即金币
19	12321 15136	   	269.17	橙橙2易伤2暴击1伤害	18易伤28暴雪减费3伤害4敌人爆炸58暴击6双倍矿7a核8序列升级9基地爆炸
20	12321 65116	   	269.17	橙橙2易伤2暴击1伤害	18易伤28暴雪减费3伤害4敌人爆炸58暴击69立即金币7a核8序列升级
21	12321 65136	   	269.17	橙橙2易伤2暴击1伤害	18易伤28暴雪减费3伤害4敌人爆炸58暴击6立即金币7a核8序列升级9基地爆炸
22	12341 15116	   	269.17	橙橙2易伤2暴击1伤害	18易伤28暴雪减费3伤害4低血量敌人58暴击6双倍矿7a核8序列升级9立即金币
23	12341 15136	   	269.17	橙橙2易伤2暴击1伤害	18易伤28暴雪减费3伤害4低血量敌人58暴击6双倍矿7a核8序列升级9基地爆炸
24	11221 15526	 * 	268.89	橙橙2易伤1等级1技能1暴击	14易伤2技能3基地爆炸5暴击6双倍矿7a核8等级9技能点
25	13112 25526	   	268.55	橙橙2易伤1等级1攻速1卖塔	13易伤2双倍矿4挖青5攻速6卖塔7a核8等级9技能点
26	12112 25526	   	268.45	橙橙2易伤1等级1攻速1卖塔	13易伤2暴雪减费4挖青5攻速6卖塔7a核8等级9技能点
