0	Index      	 *	Score 	Summary	Detail	
1	22225 42352	 * 	285.52	橙橙3易伤1时间1技能1暴击	1时间29a易伤3技能4雷电5攻速67核8暴击
2	16225 42123	 * 	278.18	橙橙3易伤1伤害	1挖尘2伤害39a易伤4雷电5攻速67核8随机矿
3	16225 42223	   	278.08	橙橙3易伤1伤害	1挖尘2伤害39a易伤4雷电5攻速67核8技能点
4	32225 42352	   	271.87	橙橙3易伤1暴击1技能	1低血量敌人29a易伤3技能4雷电5攻速67核8暴击
5	22225 42353	   	269.99	橙橙2易伤1时间2攻速1技能1暴击	1时间29易伤3技能4雷电5a攻速67核8暴击
6	23234 12343	   	269.69	橙橙2易伤1伤害1时间	1时间2平台3伤害4攻速56易伤7a核8头目9加一
7	22116 53161	 * 	267.64	橙3易伤3时间2伤害1等级	189时间258易伤3挖尘4随机技能6核78伤害8序列升级a等级
8	22225 42362	 * 	263.38	橙橙2易伤2技能1时间1暴击	1时间2a易伤39技能4雷电5攻速67核8暴击
9	22225 42512	 * 	263.38	橙橙1易伤1等级1时间1技能1暴击	1时间2易伤3技能4雷电5攻速67核8额外掉落9等级a暴击
10	22225 42312	   	263.28	橙橙2易伤1时间1技能1暴击	1时间2a易伤3技能4雷电5攻速67核8暴击9毒气减费
11	22225 42342	   	263.28	橙橙2易伤1时间1技能1暴击	1时间2a易伤3技能4雷电5攻速67核8暴击9火球减费
12	22225 42351	   	263.28	橙橙2易伤1时间1技能1暴击	1时间29易伤3技能4雷电5攻速67核8暴击a双倍秒伤
13	22242 42343	   	262.75	橙橙2易伤1伤害1时间1技能	1时间25易伤3技能4平台6伤害7a核8头目9加一
14	23264 12343	   	262.75	橙橙2易伤1伤害1时间1技能	1时间2平台3伤害46易伤5技能7a核8头目9加一
15	16225 42133	   	262.65	橙橙2易伤1伤害2攻速	1挖尘2伤害3a易伤4雷电59攻速67核8随机矿
16	23262 42343	   	262.65	橙橙2易伤1伤害1时间1核弹	1时间2平台3伤害45易伤6核弹7a核8头目9加一
17	16225 42233	   	262.55	橙橙2易伤1伤害2攻速	1挖尘2伤害3a易伤4雷电59攻速67核8技能点
18	22225 42511	 * 	262.18	橙橙1易伤2技能1等级1时间	1时间2易伤3a技能4雷电5攻速67核8额外掉落9等级
19	51313 16323	 * 	259.24	橙橙2等级1易伤1伤害	1平台2赏金邻近3易伤4挖尘58等级69核7掉矿a伤害
20	11355 42123	   	258.12	橙橙3易伤	1挖尘2雷电3策反49a易伤5攻速67核8随机矿
21	11355 42223	   	258.02	橙橙3易伤	1挖尘2雷电3策反49a易伤5攻速67核8技能点
22	32225 42353	   	256.34	橙橙2易伤2攻速1暴击1技能	1低血量敌人29易伤3技能4雷电5a攻速67核8暴击
23	33234 12343	   	256.04	橙橙2易伤1伤害	1低血量敌人2平台3伤害4攻速56易伤7a核8头目9加一
24	13234 12343	   	255.94	橙橙2易伤1伤害	1挖尘2平台3伤害4攻速56易伤7a核8头目9加一
25	16225 42121	   	255.94	橙橙2易伤1伤害	1挖尘2伤害39易伤4雷电5攻速67核8随机矿a狙击对毒
26	16225 42122	   	255.94	橙橙2易伤1伤害	1a挖尘2伤害39易伤4雷电5攻速67核8随机矿
27	16225 42221	   	255.94	橙橙2易伤1伤害	1挖尘2伤害39易伤4雷电5攻速67核8技能点a寒冰对甲
28	63111 26521	   	255.84	橙橙2易伤1伤害	14掉矿2攻速35易伤69核7伤害8基地爆炸a双倍秒伤
29	63111 26522	   	255.84	橙橙2易伤1伤害	14掉矿2攻速35易伤69核7伤害8基地爆炸a毒气减费
30	63111 26523	   	255.84	橙橙2易伤1伤害	14掉矿2攻速35易伤69核7伤害8基地爆炸a火球减费
31	63114 26121	   	255.84	橙橙2易伤1伤害	14掉矿2攻速38易伤5基地爆炸69核7伤害a双倍秒伤
32	63114 26122	   	255.84	橙橙2易伤1伤害	14掉矿2攻速38易伤5基地爆炸69核7伤害a毒气减费
33	63114 26123	   	255.84	橙橙2易伤1伤害	14掉矿2攻速38易伤5基地爆炸69核7伤害a火球减费
34	16225 42222	   	255.84	橙橙2易伤1伤害	1a挖尘2伤害39易伤4雷电5攻速67核8技能点
