0	Index      	 *	Score 	Summary	Detail	
1	43221 23344	 * 	271.45	橙橙1易伤2时间1伤害1矿等	1攻速2赏金邻近3伤害45时间6技能点7a核8易伤9矿等
2	43223 23344	   	258.99	橙橙1易伤1伤害1矿等1时间	1攻速2赏金邻近3伤害4时间5双倍矿6技能点7a核8易伤9矿等
3	43222 23344	   	258.89	橙橙1易伤1伤害1矿等1时间	1攻速2赏金邻近3伤害4时间5毒气减费6技能点7a核8易伤9矿等
4	24331 13653	 * 	258.29	橙橙1易伤1等级1矿等1时间	1立即金币2基地爆炸3敌人爆炸4等级5易伤6矿等7挖尘8a核9时间
5	13531 21511	 * 	256.04	橙橙2易伤1时间1暴击	1电塔对甲2加农对壮37易伤4时间5赏金塔6双倍秒伤8暴击9a核
6	52221 16353	 * 	255.04	橙橙1易伤2时间1等级	1赏金邻近2基地爆炸3等级46时间5掉矿7a核8易伤9金币生成
7	52222 16353	   	255.04	橙橙1易伤2时间1等级	1赏金邻近2基地爆炸3等级46时间5技能点7a核8易伤9金币生成
8	31516 13343	   	255.04	橙橙1易伤2时间1等级	1掉矿2金币生成3基地爆炸4易伤5赏金塔69时间7等级8a核
9	24331 55333	 * 	254.98	橙橙2等级1易伤1矿等	1立即金币2基地爆炸3敌人爆炸48等级5易伤6a核7双倍秒伤9矿等
10	23315 56232	   	244.54	橙橙1易伤1等级1矿等	1立即金币2掉矿3随机技能4矿等5等级67核8挖青9最后敌人a易伤
11	33315 56232	   	244.44	橙橙1易伤1等级1矿等	1掉矿2烈焰减费3随机技能4矿等5等级67核8挖青9最后敌人a易伤
12	21342 53363	   	242.89	橙橙2易伤1时间	1立即金币24易伤34敌人爆炸4序列升级5金币生成6a核7时间89低血量敌人
13	21342 53413	   	242.89	橙橙2易伤1时间	1立即金币24易伤34敌人爆炸4序列升级58金币生成6a核7时间9最后敌人
14	21312 53363	   	242.79	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5金币生成6a核7时间89低血量敌人
15	21312 53413	   	242.79	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸58金币生成6a核7时间9最后敌人
16	21312 54433	   	242.79	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸58金币生成6a核7基地爆炸9时间
17	21312 56533	   	242.79	橙橙2易伤1时间	17立即金币24易伤3敌人爆炸5金币生成6a核8基地爆炸9时间
18	21342 53243	   	242.79	橙橙2易伤1时间	1立即金币24易伤34敌人爆炸4序列升级5金币生成6a核7时间8技能点9随机矿
19	21342 53613	   	242.79	橙橙2易伤1时间	1立即金币24易伤34敌人爆炸4序列升级5金币生成6a核7时间8毒气减费9最后敌人
20	21312 53243	   	242.69	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5金币生成6a核7时间8技能点9随机矿
21	21312 53613	   	242.69	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5金币生成6a核7时间8毒气减费9最后敌人
22	21312 54633	   	242.69	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5金币生成6a核7基地爆炸8毒气减费9时间
23	21313 46253	   	242.69	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5赏金邻近6时间7a核8最后敌人9金币生成
24	21334 36353	   	242.69	橙橙2易伤1时间	1立即金币25易伤3敌人爆炸4低血量敌人6赏金邻近7a核8时间9金币生成
25	21342 51533	   	242.69	橙橙2易伤1时间	1立即金币24易伤34敌人爆炸4序列升级5金币生成6a核7技能点8掉矿9时间
26	21342 53253	   	242.69	橙橙2易伤1时间	1立即金币24易伤34敌人爆炸4序列升级5金币生成6a核7时间8技能点9掉矿
27	21312 51533	   	242.59	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5金币生成6a核7技能点8掉矿9时间
28	21312 53253	   	242.59	橙橙2易伤1时间	1立即金币24易伤3敌人爆炸5金币生成6a核7时间8技能点9掉矿
29	21323 42653	   	242.59	橙橙1易伤1等级1时间	1立即金币2易伤3敌人爆炸4双倍秒伤5随机矿6风暴减费7等级8a核9时间
30	21323 52653	   	242.59	橙橙1易伤1等级1时间	1立即金币2易伤3敌人爆炸4双倍秒伤5随机矿6暴雪减费7等级8a核9时间
31	23224 34316	 * 	241.54	橙橙2伤害1等级1技能	1立即金币2掉矿38伤害4低血量敌人5技能6攻速7a核9等级
