0	Index      	 *	Score 	Summary	Detail	
1	12436 22448	 * 	275.21	橙橙1易伤2时间1等级1伤害	1加一2雷电3头目46时间5易伤79核8等级a伤害
2	11241 24138	 * 	266.73	橙橙3矿等1易伤1伤害	1加一2技能点3伤害4易伤56a矿等79核8攻速
3	11241 24137	   	257.63	橙橙1易伤2矿等1伤害	1加一2技能点3伤害4易伤56矿等79核8攻速a随机技能
4	11241 24131	   	257.53	橙橙1易伤2矿等1伤害	1加一2技能点3伤害4易伤56矿等79核8攻速a风暴减费
5	11241 24132	   	257.53	橙橙1易伤2矿等1伤害1挖怪	1加一2技能点3伤害4易伤56矿等79核8攻速a挖怪
6	11241 24133	   	257.53	橙橙1易伤2矿等1伤害	1加一2技能点3伤害4易伤56矿等79核8攻速a赏金塔
7	11241 24134	   	257.53	橙橙1易伤2矿等1伤害	1加一2a技能点3伤害4易伤56矿等79核8攻速
8	11241 24135	   	257.53	橙橙1易伤2矿等1伤害	1加一2技能点3伤害4易伤56矿等79核8攻速a毒液对黄
9	11241 74138	   	257.53	橙橙1易伤2矿等1伤害	1加一2技能点3伤害4易伤5a矿等6风暴减费79核8攻速
10	41313 63151	 * 	256.34	橙橙2易伤1时间1技能1暴击	1雷电25易伤3立即金币4赏金邻近6暴击7a核8技能9时间
11	11247 74133	   	255.84	橙橙1易伤1等级1伤害	1加一2技能点3伤害4易伤5毒气减费6金币生成79核8攻速a等级
12	11247 14133	   	255.74	橙橙1易伤1等级1伤害	1加一2技能点3伤害4易伤5毒气减费6掉矿79核8攻速a等级
13	12436 22441	   	255.14	橙橙1易伤2时间1等级	1加一2雷电3头目46时间5易伤79核8等级a基地爆炸
14	12436 22442	   	255.14	橙橙1易伤2时间1等级	1加一2a雷电3头目46时间5易伤79核8等级
15	12436 22444	   	255.14	橙橙1易伤2时间1等级	1加一2雷电3头目46时间5易伤79核8等级a立即金币
16	12436 22446	   	255.14	橙橙1易伤2时间1等级	1加一2雷电3头目46时间5易伤79核8等级a金币生成
17	12436 22443	   	255.04	橙橙1易伤2时间1等级	1加一2雷电3头目46时间5易伤79核8等级a赏金邻近
18	12436 22447	   	255.04	橙橙1易伤2时间1等级	1加一2雷电3头目46时间5易伤79核8等级a掉矿
19	14218 84842	   	251.95	橙橙1易伤1伤害1矿等1时间	1加一2毒液对冰3易伤4雷电5时间6a核7伤害8矿等9赏金塔
20	14281 33466	 * 	250.87	紫橙3易伤1伤害1全技能	1加一2毒液对冰36a易伤4基地爆炸57核8伤害9全技能
21	14241 33466	   	250.77	紫橙3易伤1伤害1全技能	1加一2毒液对冰36a易伤4挖尘57核8伤害9全技能
22	14281 33726	 * 	249.97	紫橙4易伤1全技能	1加一2毒液对冰368a易伤4基地爆炸57核9全技能
23	14212 88382	   	249.43	橙橙2易伤1全技能	1加一2毒液对冰3a易伤4雷电5挖尘69核7全技能8攻速
24	12436 21748	   	249.00	橙橙1易伤2时间1伤害	1加一2雷电3头目46时间5易伤7随机矿89核a伤害
25	52123 35215	   	248.90	橙橙1易伤1等级1伤害	1赏金塔2双倍物品3易伤4挖尘5等级6伤害7额外掉落8a核9立即金币
26	52123 35235	   	248.80	橙橙1易伤1等级1伤害	1赏金塔2双倍物品3易伤49挖尘5等级6伤害7额外掉落8a核
27	11641 24138	   	246.67	橙橙3矿等1易伤1技能	1加一2技能点3技能4易伤56a矿等79核8攻速
28	14281 33722	   	246.41	紫橙3易伤1矿等1全技能	1加一2毒液对冰368易伤4基地爆炸57核9全技能a矿等
29	14281 33465	 * 	246.32	紫橙2易伤2伤害1全技能	1加一2毒液对冰36易伤4基地爆炸57核8a伤害9全技能
30	14241 33465	   	246.22	紫橙2易伤2伤害1全技能	1加一2毒液对冰36易伤4挖尘57核8a伤害9全技能
31	12136 32448	   	246.17	橙橙1等级1伤害1矿等1时间	1加一2雷电3矿等4时间5头目6技能点79核8等级a伤害
32	11241 74137	   	245.24	橙橙1易伤1伤害1矿等	1加一2技能点3伤害4易伤5矿等6风暴减费79核8攻速a随机技能
33	11247 74138	   	245.24	橙橙1易伤1伤害1矿等	1加一2技能点3伤害4易伤5毒气减费6金币生成79核8攻速a矿等
