0	Index      	 *	Score 	Summary	Detail	
1	15212 34132	 * 	308.30	橙3易伤3等级3时间1矿等1暴击	179时间279易伤3矿等4暴击579等级6赏金塔79序列升级8赏金邻近a核
2	15221 13635	 * 	303.79	橙5易伤3矿等1等级3时间	178时间25678易伤367矿等4双倍矿678序列升级9等级a核
3	16452 12312	 * 	303.66	橙2易伤2等级1雷电1矿等1伤害2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9金币生成a伤害
4	16452 12321	   	297.25	橙2易伤2等级1雷电1矿等2时间1暴击	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9低血量敌人a暴击
5	16452 12331	   	297.15	橙2易伤2等级1雷电1矿等2时间1暴击	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9挖尘a暴击
6	16452 12313	   	291.90	橙2易伤2等级1雷电1矿等2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9金币生成a全技能
7	16452 12322	   	289.15	橙2易伤2等级1雷电1矿等2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9低血量敌人a赏金塔
8	16452 12332	   	289.05	橙2易伤2等级1雷电1矿等2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9挖尘a赏金塔
9	16452 12323	   	283.60	橙2易伤2等级1雷电1矿等2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9低血量敌人a金币生成
10	16452 12311	   	283.50	橙2易伤2等级1雷电1矿等2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9金币生成a双倍秒伤
11	16452 12333	   	283.50	橙2易伤2等级1雷电1矿等2时间	17时间2矿等3额外掉落47等级57易伤6核7序列升级8雷电9挖尘a金币生成
12	62212 13616	   	279.23	橙3易伤3等级3时间1矿等	1双倍矿247时间367等级567易伤67序列升级8矿等9掉矿a核
13	15535 11232	 * 	279.22	橙3易伤1等级1雷电3时间1伤害	178时间267易伤3伤害4等级57金币生成7序列升级9雷电a核
