0	Index      	 *	Score 	Summary	Detail	
1	11161 23136	 * 	245.08	紫2基础对甲3基地爆炸2伤害1易伤	1平台26a基地爆炸3核4挖尘5a伤害7易伤8最后敌人9a基础对甲a序列升级
2	11165 33136	 * 	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1平台25a基地爆炸3核4挖尘6a攻速7易伤8最后敌人9a基础对甲a序列升级
3	11166 33136	   	245.08	紫2基础对甲3基地爆炸2攻速1易伤	1平台25a基地爆炸3核45挖尘5a序列升级6a攻速7易伤8最后敌人9a基础对甲
4	11156 21136	 * 	237.52	紫2基础对甲2易伤3基地爆炸1伤害	1平台26a基地爆炸3核4伤害5a易伤7挖尘8最后敌人9a基础对甲a序列升级
5	11156 31136	   	228.29	紫2基础对甲2易伤2基地爆炸1伤害	1平台2a基地爆炸3核4伤害5a易伤6立即金币7挖尘8最后敌人9a基础对甲a序列升级
6	13151 31436	 * 	226.60	紫2基础对甲2伤害1易伤1攻速	1平台2低血量敌人3核4a伤害5策反6攻速7a挖尘8易伤9a基础对甲a序列升级
7	11152 23136	   	226.08	紫2基础对甲3基地爆炸1易伤1伤害	1平台26a基地爆炸3核4伤害5a挖尘7易伤8最后敌人9a基础对甲a序列升级
8	25331 36211	 * 	225.17	紫2易伤1基础对甲2暴击1攻速1伤害	18掉矿2磁铁减费38易伤4核5敌人爆炸6攻速78暴击8序列升级9基础对甲a伤害
9	25336 36211	   	225.17	紫2易伤1基础对甲2暴击1攻速1伤害	18掉矿2磁铁减费38易伤4核5时间6攻速78暴击8序列升级9基础对甲a伤害
10	25334 34231	 * 	224.94	紫3攻速1基础对甲1易伤2暴击	189掉矿28磁铁减费3易伤4核59暴击6挖青789攻速89序列升级a基础对甲
11	36321 31631	   	219.23	紫1基础对甲2伤害2基地爆炸1全技能	18时间2雷电3核48基地爆炸5敌人爆炸6等级78伤害8序列升级9基础对甲a全技能
12	36321 31636	   	219.23	紫1基础对甲2伤害2基地爆炸1易伤	18时间2雷电3核48基地爆炸5敌人爆炸6等级78伤害8序列升级9基础对甲a易伤
13	36325 31631	   	219.13	紫1基础对甲2伤害2基地爆炸1全技能	18时间2雷电3核48基地爆炸5挖尘6等级78伤害8序列升级9基础对甲a全技能
14	13161 33436	   	218.98	紫2基础对甲2伤害1易伤1基地爆炸	16平台2a低血量敌人3核4挖尘5a伤害7基地爆炸8易伤9a基础对甲a序列升级
15	15162 33136	   	218.78	紫2基础对甲2攻速1易伤1基地爆炸	1平台24a挖尘3核5基地爆炸6a攻速7易伤8最后敌人9a基础对甲a序列升级
16	36325 31632	   	216.75	紫1基础对甲3基地爆炸2伤害	18时间2雷电3核48a基地爆炸5挖尘6等级78伤害8序列升级9基础对甲
17	25331 36611	   	216.41	紫2易伤1基础对甲1攻速1伤害1暴击	1掉矿2磁铁减费38易伤4核5敌人爆炸6攻速7暴击9基础对甲a伤害
18	21136 16211	 * 	215.11	紫3易伤1基础对甲1伤害2暴击	18掉矿26挖尘3随机矿4核568易伤68序列升级78暴击9基础对甲a伤害
19	21136 56211	   	215.11	紫3易伤1基础对甲1伤害2暴击	18掉矿2挖尘3随机矿4核568易伤78暴击8序列升级9基础对甲a伤害
