0	Index      	 *	Score 	Summary	Detail	
1	46221 13411	 * 	321.61	ACR|DCR|2TLV|2VULN|2CDMG	19TLV|2CGEN|39CDMG|4MULHEA|5aRCR|6AAC|7FEWX|89VULN|9BPWR
2	22443 32421	 * 	320.14	ACR|DCR|2VULN|1TLV|2DMG	1aFEWX|2aVULN|3TLV|4ZMB|58RCR|6aDMG|7AAC|9RPLT|aBPWR
3	32443 32421	   	320.14	ACR|DCR|2VULN|1TLV|2DMG	1aLHND|2aVULN|3TLV|4ZMB|58RCR|6aDMG|7AAC|9RPLT|aBPWR
4	32443 32433	   	318.86	ACR|DCR|2TLV|1VULN|1DMG|2CDMG	1aLHND|2VULN|3aTLV|4ZMB|58RCR|6DMG|7AAC|9aCDMG|aBPWR
5	32462 32433	 * 	318.86	DCR|DCR|2TLV|1VULN|1DMG|2CDMG	1aLHND|2VULN|3aTLV|4DMG|5AAC|68RCR|7ZMB|9aCDMG|aBPWR
6	43232 61622	   	315.00	ACR|DCR|2TLV|2VULN|1ASPD	19TLV|2RCVC|37RCR|4MDPS|58VULN|6AIRHEL|aASPD
7	41335 11521	 * 	311.97	DCR|3VULN|2TLV|2DMG|1AEBURN	1aTLV|2DUST|39aVULN|4AEBURN|5LSRICY|6RCR|7LEGI|8aDMG|aBPWR
8	32463 32421	 * 	309.44	ACR|DCR|2TLV|1VULN|2DMG	1aLHND|2VULN|3aTLV|4aDMG|58RCR|6NUKE|7AAC|9RPLT|aBPWR
9	32462 32421	 * 	305.84	DCR|DCR|2VULN|1TLV|1DMG	1aLHND|2aVULN|3TLV|4DMG|5AAC|68RCR|7aZMB|9RPLT|aBPWR
10	41113 15521	 * 	305.65	ACR|3TLV|3VULN|2DMG	17aTLV|2DUST|3aDMG|4BEXP|5RCR|6SPLJET|89aVULN|aBPWR
11	62312 32135	   	305.07	DCR|DCR|2VULN|1TLV|1AEPOI	1DUR|29VULN|3BELT|4AEPOI|5LHND|6aRCR|7RCVC|8TLV
12	32463 12363	   	304.97	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|58RCR|6MGNSTR|7FEWX|aDUR
13	62312 35135	   	304.97	DCR|DCR|2VULN|1TLV|1AEPOI	1DUR|29VULN|3BELT|4AEPOI|5LHND|6aRCR|7AEFRZ|8TLV
14	62315 32135	   	304.97	DCR|DCR|2VULN|1TLV|1AEPOI	1DUR|29VULN|3BELT|4AEPOI|5AETHUN|6aRCR|7RCVC|8TLV
15	41143 12363	   	304.87	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUST|3DMG|49VULN|58RCR|6MGNSTR|7FEWX|aDUR
16	22443 32411	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1FEWX|29VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|aRCVC
17	22443 32412	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1FEWX|29VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|aLIT
18	22443 32413	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1FEWX|29VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|aMLV
19	32443 32411	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|aBELT
20	32443 32413	   	302.35	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|aFEWX
21	32462 32411	   	302.35	DCR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|5AAC|68RCR|7ZMB|aBELT
22	32462 32413	   	302.35	DCR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|5AAC|68RCR|7ZMB|aFEWX
23	32463 12362	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|58RCR|6MGNSTR|7FEWX|aZMB
24	32443 32412	   	302.25	ACR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|aMDPS
25	32462 32412	   	302.25	DCR|DCR|2VULN|1TLV|1DMG	1LHND|29VULN|3TLV|4DMG|5AAC|68RCR|7ZMB|aMDPS
26	41143 12362	   	302.15	ACR|DCR|2VULN|1TLV|1DMG	1TLV|2DUST|3DMG|49VULN|58RCR|6MGNSTR|7FEWX|aZMB
27	43232 61621	   	301.35	ACR|DCR|2TLV|2VULN	19TLV|2RCVC|37RCR|4MDPS|58VULN|6AIRHEL|aRMIN
28	43232 61623	   	301.35	ACR|DCR|2TLV|2VULN	19TLV|2aRCVC|37RCR|4MDPS|58VULN|6AIRHEL
29	42252 32411	   	299.87	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD|1AART	1TLV|2AART|3DUR|4ASPD|59RCR|6LWND|7VULN|8RPLT|aAEBURN
30	41143 15321	   	299.67	ACR|3TLV|2VULN|2DMG|2DUR	17aTLV|2DUST|3aDMG|49VULN|5RCR|6MGNSTR|8aDUR|aBPWR
31	41331 41521	   	298.97	DCR|3VULN|2TLV|2AEBURN|1CDMG|1AART	17TLV|2DUST|357VULN|47AEBURN|6MDPS|7BPWR|8CDMG|9RCR|aAART
32	46243 21232	   	297.19	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD|1CDMG	16TLV|2CGEN|3CDMG|4RCR|56VULN|6BPWR|7LWND|8DMG|9AEFBLL|aASPD
33	46243 23332	   	297.19	ACR|2TLV|2VULN|1AEFBLL|1DMG|1ASPD|1CDMG	16TLV|2CGEN|3CDMG|4RCR|56VULN|6BPWR|7DMG|8LWND|9AEFBLL|aASPD
34	22443 32432	   	297.15	ACR|DCR|1TLV|1VULN|1DMG|1CDMG|1AART	1FEWX|2VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|9CDMG|aAART
35	32463 12332	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1LHND|2VULN|3TLV|4aDMG|58RCR|6MGNSTR|7FEWX|9CDMG
36	32463 16332	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1LHND|2VULN|3TLV|4aDMG|58RCR|6MGNSTR|7LWND|9CDMG
37	44143 12332	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2LHND|3aDMG|4VULN|58RCR|6MGNSTR|7FEWX|9CDMG
38	44363 12332	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2LHND|3VULN|4aDMG|58RCR|6MGNSTR|7FEWX|9CDMG
39	45143 12332	   	296.69	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2LWND|3aDMG|4VULN|58RCR|6MGNSTR|7FEWX|9CDMG
40	41143 12332	   	296.59	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2DUST|3aDMG|4VULN|58RCR|6MGNSTR|7FEWX|9CDMG
41	41143 16332	   	296.59	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2DUST|3aDMG|4VULN|58RCR|6MGNSTR|7LWND|9CDMG
42	43232 64332	   	296.59	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1TLV|2RCVC|38RCR|4MDPS|5VULN|6AIRHEL|7aDMG|9CDMG
43	32163 11561	   	296.59	ACR|DCR|1TLV|1VULN|2DMG|1CDMG	1LHND|2VULN|3ERES|48DMG|5aRCR|6MGNSTR|7TLV|9CDMG
44	46221 22411	   	296.04	ACR|DCR|2VULN|1TLV|1CDMG	1TLV|29CGEN|3CDMG|4MULHEA|5aRCR|69BEXP|7ZMB|89VULN|9BPWR
45	42222 32416	   	296.01	ACR|DCR|2VULN|1TLV|1AART	1TLV|2AART|3DUR|4AAC|59RCR|6LWND|7aVULN|8RPLT
46	32443 32432	   	295.80	ACR|DCR|1TLV|1VULN|1DMG|1CDMG	1LHND|2VULN|3TLV|4ZMB|58RCR|6DMG|7AAC|9CDMG|aDUR
47	32462 32432	   	295.80	DCR|DCR|1TLV|1VULN|1DMG|1CDMG	1LHND|2VULN|3TLV|4DMG|5AAC|68RCR|7ZMB|9CDMG|aDUR
