0	Index      	 *	Score 	Summary	Detail	
1	14212 63433	 * 	304.32	DCR|DCR|1TLV|1VULN|2CDMG|1AEPOI|2DUR	13DUR|23LIT|3BPWR|4AEPOI|5VULN|6aRCR|7TLV|89CDMG
2	11162 32142	 * 	302.22	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aDMG
3	12162 32142	   	302.22	ACR|DCR|1TLV|1VULN|1DMG|1AEBURN	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aDMG
4	11162 32141	   	295.80	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aASPD
5	12162 32141	   	295.80	ACR|DCR|1TLV|1VULN|1AEBURN|1ASPD	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aASPD
6	12162 31161	   	295.70	ACR|DCR|1TLV|1VULN|1AEPOI|1CDMG	1DUR|2LHND|3TLV|4RAT|56RCR|7DUST|8CDMG|9AEPOI|aVULN
7	12162 32156	   	291.20	ACR|DCR|1TLV|1VULN|1AEBURN|2DUR	19DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8AEBURN|aVULN
8	11162 31164	   	289.29	ACR|DCR|1TLV|1VULN|1ASPD|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|9VULN|aASPD
9	12162 32166	   	288.77	ACR|DCR|1TLV|1VULN|1AEBURN|2RAT	1DUR|2LHND|3TLV|49RAT|56RCR|7LIT|8AEBURN|aVULN
10	12162 33612	   	288.67	ACR|DCR|1TLV|1VULN|1AEPOI|2RAT	1DUR|2LHND|3TLV|48RAT|56RCR|7AETHUN|9VULN|aAEPOI
11	11162 32436	 * 	288.29	ACR|DCR|2TLV|1VULN	1DUR|2LWND|3aTLV|4RAT|56RCR|7LIT|8MLV|9VULN
12	12162 32436	   	288.29	ACR|DCR|2TLV|1VULN	1DUR|2LHND|3aTLV|4RAT|56RCR|7LIT|8MLV|9VULN
13	24212 63433	   	285.62	DCR|DCR|1TLV|1VULN|2CDMG|1AEPOI	13BEXP|23LIT|3BPWR|4AEPOI|5VULN|6aRCR|7TLV|89CDMG
14	62112 63433	   	285.52	DCR|DCR|1TLV|1VULN|1AEPOI|2CDMG	12LHND|3LIT|4AEPOI|5VULN|6aRCR|7TLV|89CDMG
15	11162 31121	   	284.68	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	19DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|aVULN
16	11162 33121	   	284.68	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	19DUR|2LWND|3TLV|4RAT|56RCR|7AETHUN|8CDMG|aVULN
17	12162 31121	   	284.68	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	19DUR|2LHND|3TLV|4RAT|56RCR|7DUST|8CDMG|aVULN
18	12162 33121	   	284.68	ACR|DCR|1TLV|1VULN|2DUR|1CDMG	19DUR|2LHND|3TLV|4RAT|56RCR|7AETHUN|8CDMG|aVULN
19	11162 31161	   	282.58	ACR|DCR|1TLV|1VULN|1CDMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8CDMG|9VULN|aZMB
20	11162 33161	   	282.25	ACR|DCR|1TLV|1VULN|2RAT|1CDMG	1DUR|2LWND|3TLV|49RAT|56RCR|7AETHUN|8CDMG|aVULN
21	12162 33161	   	282.25	ACR|DCR|1TLV|1VULN|2RAT|1CDMG	1DUR|2LHND|3TLV|49RAT|56RCR|7AETHUN|8CDMG|aVULN
22	11162 32143	   	282.15	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aMLV
23	11162 32145	   	282.15	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aTSLFST
24	11162 32146	   	282.15	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aLHND
25	11162 36632	   	282.15	ACR|DCR|1TLV|1VULN|1DMG	1DUR|2LWND|3TLV|4RAT|56RCR|78DMSP|9VULN|aDMG
26	12162 32143	   	282.15	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aMLV
27	12162 32145	   	282.15	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN|aTSLFST
28	12162 32146	   	282.15	ACR|DCR|1TLV|1VULN|1AEBURN	1DUR|2aLHND|3TLV|4RAT|56RCR|7LIT|8AEBURN|9VULN
29	12162 36332	   	282.15	ACR|DCR|1TLV|1VULN|1DMG	1DUR|28LHND|3TLV|4RAT|56RCR|7DMSP|9VULN|aDMG
30	12162 36632	   	282.15	ACR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3TLV|4RAT|56RCR|78DMSP|9VULN|aDMG
31	11162 32144	   	282.05	ACR|DCR|1TLV|1VULN|2AEBURN	1DUR|2LWND|3TLV|4RAT|56RCR|7LIT|8aAEBURN|9VULN
32	12162 32144	   	282.05	ACR|DCR|1TLV|1VULN|2AEBURN	1DUR|2LHND|3TLV|4RAT|56RCR|7LIT|8aAEBURN|9VULN
33	11162 31542	   	281.95	ACR|DCR|1TLV|1VULN|1DMG	1DUR|2LWND|3TLV|4RAT|56RCR|7DUST|8DMG|9DLOT|aVULN
34	11162 33542	   	281.95	ACR|DCR|1TLV|1VULN|1DMG	1DUR|2LWND|3TLV|4RAT|56RCR|7AETHUN|8DMG|9DLOT|aVULN
35	12162 31542	   	281.95	ACR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3TLV|4RAT|56RCR|7DUST|8DMG|9DLOT|aVULN
36	12162 33542	   	281.95	ACR|DCR|1TLV|1VULN|1DMG	1DUR|2LHND|3TLV|4RAT|56RCR|7AETHUN|8DMG|9DLOT|aVULN
37	11162 31615	   	279.60	ACR|DCR|1TLV|1VULN|2RAT|1AART	1DUR|2LWND|3TLV|48RAT|56RCR|7DUST|9VULN|aAART
