0	Index      	 *	Score 	Summary	Detail	
1	12111 22322	 * 	315.01	DCR|DCR|3VULN|3DMG|1AEPOI	1ERES|256VULN|346DMG|6BPWR|7LIT|8AEPOI|9aRCR
2	22111 31446	 * 	309.18	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9DUR|aRCR
3	12154 11133	 * 	308.86	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1ERES|26VULN|3DMG|4MLV|59RCR|7AETHUN|8TLV|aASPD
4	16614 11133	   	308.86	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1ERES|2RMIN|36VULN|4DMG|59RCR|7AETHUN|8TLV|aASPD
5	61614 11133	   	308.76	ACR|DCR|2VULN|1TLV|1DMG|1ASPD	1AEWIND|2DUST|36VULN|4DMG|59RCR|7AETHUN|8TLV|aASPD
6	22111 31416	   	306.45	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9RCR|aZMB
7	12154 11136	   	306.21	ACR|DCR|2VULN|1TLV|1DMG|1AART	1ERES|26VULN|3DMG|4MLV|59RCR|7AETHUN|8TLV|aAART
8	22254 11133	 * 	306.11	ACR|DCR|2VULN|1TLV|2ASPD|1AEBURN|1MSE	1aASPD|26VULN|3MSE|4AEBURN|59RCR|7AETHUN|8TLV
9	12154 13531	 * 	305.65	ACR|3VULN|2TLV|2DMG|1CDMG	1aERES|268VULN|3aDMG|4MLV|5RCR|7CDMG|9aTLV|aBPWR
10	11514 14332	   	304.87	ACR|DCR|2VULN|1TLV|1DMG	1ERES|2FEWX|3TLV|4DMG|59RCR|6aVULN|7MDPS|8DUR
11	12111 31446	 * 	301.57	DCR|3VULN|2TLV|2DMG	1ERES|257VULN|34DMG|68TLV|9DUR|aRCR
12	21454 12331	 * 	301.32	ACR|DCR|1TLV|1VULN|2ASPD|1AEPOI	1aASPD|2FEWX|3DUR|4AEPOI|59RCR|6VULN|7LWND|8TLV
13	22554 32331	   	301.32	ACR|DCR|1TLV|1VULN|2ASPD|1AEBURN	1aASPD|2VULN|3DUR|4AEBURN|59RCR|6FEWX|7LWND|8TLV
14	22111 31414	   	299.51	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9RCR|aBELT
15	22111 31415	   	299.51	DCR|3VULN|1TLV|2DMG|1AEBURN|1ASPD	1ASPD|257VULN|34DMG|6TLV|8AEBURN|9RCR|aRMIN
