0	Index      	 *	Score 	Summary	Detail	
1	32115 34263	 * 	309.22	DCR|4VULN|2TLV|1AEBURN|1CDMG	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9AEBURN|aCDMG
2	32115 34122	 * 	309.22	DCR|4VULN|3TLV|1DMG	1RPLT|2BELT|3469VULN|569TLV|69BPWR|7RCR|89ERES|aDMG
3	32115 34126	 * 	307.50	DCR|5VULN|3TLV	1RPLT|2BELT|3469aVULN|569TLV|69BPWR|7RCR|89ERES
4	32115 34262	   	305.23	DCR|4VULN|2TLV|1AEBURN	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9AEBURN|aDUR
5	32115 32216	   	299.17	DCR|3VULN|2TLV|1AEFBLL|1CDMG|1AART	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEFBLL|8CDMG|9AART|aRCR
6	32115 35216	   	299.17	DCR|3VULN|2TLV|1AEBURN|1CDMG|1AART	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEBURN|8CDMG|9AART|aRCR
7	32115 34124	   	298.81	DCR|4VULN|3TLV	1RPLT|2BELT|3469VULN|569TLV|69BPWR|7RCR|89ERES|aDUR
8	32115 34214	   	295.57	DCR|4VULN|2TLV|1DMG	1RPLT|29BELT|3468VULN|56TLV|6BPWR|7RCR|aDMG
9	32115 34224	   	295.57	DCR|4VULN|2TLV|1DMG	19RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|aDMG
10	32115 34241	   	295.57	DCR|4VULN|2TLV|1DMG	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9LHND|aDMG
11	32115 34261	   	295.57	DCR|4VULN|2TLV|1AEBURN	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9AEBURN|aCGEN
12	32115 34231	   	295.47	DCR|4VULN|2TLV|1DMG	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9DUST|aDMG
13	32115 34612	   	291.12	DCR|3VULN|2TLV|1DMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7RCR|8DUR|9RAT|aDMG
14	35523 23112	   	290.67	DCR|3TLV|2VULN|1AEPOI|2FLTARM|1CDMG	1RPLT|24FLTARM|345TLV|4BPWR|6RCR|7CDMG|89VULN|aAEPOI
15	32115 34213	   	289.15	DCR|4VULN|2TLV|1CDMG	1RPLT|29BELT|3468VULN|56TLV|6BPWR|7RCR|aCDMG
16	32115 34223	   	289.15	DCR|4VULN|2TLV|1CDMG	19RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|aCDMG
17	32115 34253	   	289.15	DCR|4VULN|2TLV|1CDMG	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9RCVC|aCDMG
18	32115 34121	   	289.15	DCR|4VULN|3TLV	1RPLT|2BELT|3469VULN|569TLV|69BPWR|7RCR|89ERES|aBEXP
19	32115 34123	   	289.15	DCR|4VULN|3TLV	1aRPLT|2BELT|3469VULN|569TLV|69BPWR|7RCR|89ERES
20	32115 32242	   	288.17	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEFBLL|8CDMG|9FEWX|aRCR
21	32115 32255	   	288.17	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEFBLL|8CDMG|9DMSP|aRCR
22	32115 35242	   	288.17	DCR|3VULN|2TLV|1AEBURN|1CDMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEBURN|8CDMG|9FEWX|aRCR
23	32115 32222	   	288.07	DCR|3VULN|2TLV|1AEFBLL|1CDMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEFBLL|8CDMG|9DUST|aRCR
24	32115 35222	   	288.07	DCR|3VULN|2TLV|1AEBURN|1CDMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7AEBURN|8CDMG|9DUST|aRCR
25	52322 21837	 * 	287.37	ACR|2TLV|2VULN|2DMG|1AEFBLL	19DMG|2MDPS|3MBVNT|4RCR|5BEXP|69VULN|7RMIN|89TLV|9BPWR|aAEFBLL
26	52324 21837	   	287.27	ACR|2TLV|2VULN|2DMG|1AEFBLL	19DMG|2MDPS|3MBVNT|4RCR|5DUST|69VULN|7RMIN|89TLV|9BPWR|aAEFBLL
27	32115 34212	   	285.16	DCR|4VULN|2TLV	1RPLT|29BELT|3468VULN|56TLV|6BPWR|7RCR|aDUR
28	32115 34222	   	285.16	DCR|4VULN|2TLV	19RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|aDUR
29	32115 34252	   	285.16	DCR|4VULN|2TLV	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9RCVC|aDUR
30	32115 34236	   	285.06	DCR|4VULN|2TLV	1RPLT|2BELT|3468VULN|56TLV|6BPWR|7RCR|9DUST|aNUKE
31	22433 11633	 * 	284.80	ACR|DCR|2TLV|1VULN|1ASPD|1SELL	1ASPD|2MDPS|3SELL|46DUST|5aRCR|78TLV|9VULN
32	21322 36264	   	284.60	DCR|3VULN|2TLV|1ASPD	1ASPD|2LHND|3RAT|458VULN|6DUR|7RCR|9aTLV
33	32115 34623	   	284.18	DCR|3VULN|2TLV|1AEBURN	1RPLT|2BELT|346VULN|56TLV|6BPWR|7RCR|8DUR|9FEWX|aAEBURN
34	32115 34633	   	284.08	DCR|3VULN|2TLV|1AEBURN|1MSE	1RPLT|2BELT|346VULN|56TLV|6BPWR|7RCR|8DUR|9MSE|aAEBURN
35	32115 34314	   	282.44	DCR|4VULN|2TLV	1RPLT|2BELT|346aVULN|56TLV|6BPWR|7RCR|8FEWX|9RAT
36	56235 11233	   	281.66	ACR|2VULN|1TLV|2DMG|1AEFBLL|1ASPD	19DMG|2RAT|3AEFBLL|4RCR|5TLV|6ASPD|7AEWIND|8aVULN
37	32115 34312	   	281.46	DCR|3VULN|2TLV|1DMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7RCR|8FEWX|9RAT|aDMG
38	32115 34412	   	281.46	DCR|3VULN|2TLV|1DMG	1RPLT|2BELT|346VULN|56TLV|6BPWR|7RCR|8LHND|9RAT|aDMG
39	52322 21831	   	280.96	ACR|2TLV|2VULN|2DMG|1CDMG	19DMG|2MDPS|3MBVNT|4RCR|5BEXP|69VULN|7RMIN|89TLV|9BPWR|aCDMG
40	65322 21831	   	280.96	ACR|2TLV|2VULN|2DMG|1CDMG	1MDPS|29DMG|3MBVNT|4RCR|5BEXP|69VULN|7RMIN|89TLV|9BPWR|aCDMG
41	52321 41531	 * 	280.86	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG	19DMG|2MDPS|3MBVNT|4RCR|59ASPD|6TLV|7LHND|89VULN|9BPWR|aCDMG
42	52321 48531	   	280.86	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG	19DMG|2MDPS|3MBVNT|4RCR|59ASPD|6TLV|7BEXP|89VULN|9BPWR|aCDMG
43	52323 17415	   	280.86	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG	1aDMG|2MDPS|3MBVNT|4RCR|5RMIN|6aVULN|7CDMG|8TLV|9aASPD|aBPWR
44	52324 21831	   	280.86	ACR|2TLV|2VULN|2DMG|1CDMG	19DMG|2MDPS|3MBVNT|4RCR|5DUST|69VULN|7RMIN|89TLV|9BPWR|aCDMG
45	65321 41531	   	280.86	ACR|2VULN|1TLV|2DMG|2ASPD|1CDMG	1MDPS|29DMG|3MBVNT|4RCR|59ASPD|6TLV|7LHND|89VULN|9BPWR|aCDMG
46	65324 21831	   	280.86	ACR|2TLV|2VULN|2DMG|1CDMG	1MDPS|29DMG|3MBVNT|4RCR|5DUST|69VULN|7RMIN|89TLV|9BPWR|aCDMG
47	35537 12244	 * 	280.86	DCR|2TLV|2VULN|2DMG|2FLTARM	1RPLT|2aFLTARM|3aTLV|4MBVNT|5DUST|69DMG|7RCR|8aVULN|aBPWR
48	52325 41531	   	280.76	ACR|2TLV|2VULN|2DMG|1CDMG	19DMG|2MDPS|3MBVNT|4RCR|5ERES|69TLV|7LEGI|89VULN|9BPWR|aCDMG
