0	Index      	 *	Score 	Summary	Detail	
1	23151 34421	 * 	263.16	橙橙1易伤1伤害1矿等1技能1雷电	1易伤2伤害3雷电4双倍矿5平台69核7暴雪减费8矿等a技能
2	51851 43312	 * 	261.84	橙橙2易伤1等级1卖塔	1加一28易伤3等级4卖塔5挖尘6随机技能7时间9a核
3	51853 44312	 * 	261.84	橙橙2易伤1等级1卖塔	1加一28易伤3等级4卖塔5挖青6随机技能7时间9a核
4	21131 34421	   	256.65	橙橙1易伤1矿等1技能1攻速1雷电	1易伤2雷电3毒气减费4攻速5平台69核7暴雪减费8矿等a技能
5	21531 34421	   	256.65	橙橙1易伤1矿等1技能1攻速1雷电	1易伤2雷电3火球减费4攻速5平台69核7暴雪减费8矿等a技能
6	23315 16212	 * 	256.14	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8时间a低血量敌人
7	23315 16211	   	256.04	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8时间a掉矿
8	23315 16213	   	256.04	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8时间a赏金塔
9	23315 16214	   	256.04	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8时间a基础对甲
10	23315 16215	   	256.04	橙橙2易伤1伤害1挖怪	13易伤2伤害4基地爆炸5随机技能6头目79核8时间a挖怪
11	23315 16216	   	256.04	橙橙2易伤1伤害	13易伤2伤害4基地爆炸5随机技能6头目79核8时间a烈焰减费
12	23365 16212	   	256.04	橙橙2易伤1伤害	13易伤2伤害4挖尘5随机技能6头目79核8时间a低血量敌人
13	23365 16211	   	255.94	橙橙2易伤1伤害	13易伤2伤害4挖尘5随机技能6头目79核8时间a掉矿
14	23365 16213	   	255.94	橙橙2易伤1伤害	13易伤2伤害4挖尘5随机技能6头目79核8时间a赏金塔
15	51648 32221	   	254.69	橙橙1易伤1技能1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7掉矿8立即金币a技能
16	51648 34221	   	254.69	橙橙1易伤1技能1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核7暴雪减费8金币生成a技能
17	51648 32321	   	254.59	橙橙1易伤1技能1暴击1攻速1雷电	1加一2易伤3雷电4暴击5攻速69核78掉矿a技能
18	21131 32521	 * 	253.49	橙橙1易伤2攻速1技能1雷电	1易伤2雷电3毒气减费48攻速5平台69核7掉矿a技能
19	21131 36521	   	253.49	橙橙1易伤2攻速1技能1雷电	1易伤2雷电3毒气减费48攻速5平台69核7技能点a技能
20	21531 32521	   	253.49	橙橙1易伤2攻速1技能1雷电	1易伤2雷电3火球减费48攻速5平台69核7掉矿a技能
21	21531 36521	   	253.49	橙橙1易伤2攻速1技能1雷电	1易伤2雷电3火球减费48攻速5平台69核7技能点a技能
