0	Index      	 *	Score 	Summary	Detail	
1	36612 14212	 * 	290.55	DCR|DCR|2VULN|1DMG|1CDMG	1DUR|2TBNT|37VULN|4DMG|5CDMG|6RMIN|8aRCR|9MBVNT
2	13532 33651	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1CGEN|28VULN|3FLTFST|4MLV|5DUR|6LHND|79RCR|aASPD
3	13632 33651	   	288.02	DCR|DCR|2VULN|1MLV|1ASPD	1CGEN|28VULN|3SNIFST|4MLV|5DUR|6LHND|79RCR|aASPD
4	42311 35412	   	283.78	DCR|DCR|2VULN|1MLV|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aMLV
5	62414 34154	 * 	281.57	DCR|DCR|2VULN|2MLV	1MBVNT|2RCVC|39MLV|4ERES|58VULN|6CGEN|7aRCR
6	62417 44154	   	281.57	DCR|DCR|2VULN|2MLV	1MBVNT|2RCVC|39MLV|4ERES|5CGEN|68VULN|7aRCR
7	42311 36316	 * 	281.31	DCR|DCR|3VULN|1RPLT|1SELL	1LIT|289VULN|3SELL|4MBVNT|5RPLT|6aRCR|7ERES
8	42311 35461	   	276.79	DCR|DCR|2VULN|2RPLT|1ASPD|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9ASPD
9	12353 36132	   	276.01	DCR|DCR|1VULN|1DMG|1MLV|1RPLT	1CGEN|2MLV|3TLV|4RPLT|5MDPS|6aRCR|7DUR|8VULN|9DMG
10	14341 51212	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	1CGEN|2CDMG|3TBNT|46VULN|5LWND|7ASPD|8aRCR|9MBVNT
11	13442 51212	   	275.83	DCR|DCR|2VULN|1ASPD|1CDMG	1CGEN|26VULN|3LWND|4TBNT|5CDMG|7ASPD|8aRCR|9MBVNT
12	42311 35422	   	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9LWND|aMLV
13	42311 35442	   	275.48	DCR|DCR|2VULN|1MLV|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9LHND|aMLV
14	13532 33652	   	274.37	DCR|DCR|2VULN|1MLV	1CGEN|28VULN|3FLTFST|4MLV|5DUR|6LHND|79RCR|aAAC
15	13532 33653	   	274.37	DCR|DCR|2VULN|1MLV	1CGEN|28VULN|3FLTFST|4MLV|5DUR|6LHND|79RCR|aLWND
16	13632 33652	   	274.37	DCR|DCR|2VULN|1MLV	1CGEN|28VULN|3SNIFST|4MLV|5DUR|6LHND|79RCR|aAAC
17	13632 33653	   	274.37	DCR|DCR|2VULN|1MLV	1CGEN|28VULN|3SNIFST|4MLV|5DUR|6LHND|79RCR|aLWND
18	36662 31212	   	273.59	DCR|DCR|1VULN|1MLV|1ASPD|1CDMG	1DUR|2TBNT|3VULN|4CDMG|5DMSP|6MLV|7ASPD|8aRCR|9MBVNT
19	42311 35417	   	273.19	DCR|DCR|2VULN|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9DUR|aNUKE
20	33543 52322	   	273.04	DCR|DCR|2VULN|2DUR|1AART	15DUR|2AART|34VULN|6aRCR|7AIRARM|8RCVC|9LHND
21	33543 53112	   	273.04	DCR|DCR|2VULN|2DUR|1AART	15DUR|2AART|34VULN|6aRCR|7LHND|8FEWX|9BASARM
22	42311 35434	   	271.59	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9BEXP|aASPD
23	42311 35462	   	271.59	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9ASPD|aTLV
24	42311 35464	   	271.59	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9ASPD|aRMIN
25	42311 35463	   	271.49	DCR|DCR|2VULN|1ASPD|1RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5RPLT|68RCR|9ASPD|aMDPS
26	42311 35418	   	271.44	DCR|DCR|2VULN|2RPLT|1SELL	1LIT|27VULN|3SELL|4MBVNT|5aRPLT|68RCR|9DUR
27	61343 42723	   	270.48	DCR|DCR|2VULN|1CDMG	1MBVNT|2AAC|3CDMG|4FRZARM|5LHND|68RCR|7aVULN|9DUR
28	61383 42723	   	270.48	DCR|DCR|2VULN|1CDMG	1MBVNT|2AAC|3CDMG|4LSRICY|5LHND|68RCR|7aVULN|9DUR
