0	Index      	 *	Score 	Summary	Detail	
1	66211 43221	 * 	289.58	ACR|DCR|3VULN|1DMG|1MLV|2DUR	128VULN|2BPWR|37RCR|45DUR|6MLV|9LIT|aDMG
2	66211 43213	 * 	285.03	ACR|DCR|3VULN|2MLV|2DUR	128VULN|2BPWR|37RCR|45DUR|6aMLV|9DUST
3	66211 43121	 * 	283.05	ACR|DCR|2VULN|2MLV|1DMG|2DUR	12VULN|2BPWR|37RCR|45DUR|68MLV|9LIT|aDMG
4	66211 43231	   	282.93	ACR|DCR|3VULN|1MLV|2DUR|1ASPD|1ZMB	128VULN|2BPWR|37RCR|45DUR|6MLV|9ZMB|aASPD
5	32234 52523	 * 	281.49	DCR|DCR|2VULN|1DMG|1MLV	149CGEN|2TBNT|349ERES|49BPWR|5DMG|6MLV|7aRCR|89VULN
6	66211 43113	 * 	276.96	ACR|DCR|2VULN|3MLV|2DUR	12VULN|2BPWR|37RCR|45DUR|68aMLV|9DUST
7	66214 13121	   	276.52	ACR|DCR|3VULN|1MLV|1ASPD	129VULN|2BPWR|37RCR|4DUR|5ERES|6DMSP|8MLV|aASPD
8	66211 43131	   	276.40	ACR|DCR|2VULN|2MLV|2DUR|1ASPD|1ZMB	12VULN|2BPWR|37RCR|45DUR|68MLV|9ZMB|aASPD
9	61113 75344	 * 	270.04	DCR|3VULN|2DMG|2ASPD|2DUR|1CDMG	17aVULN|2MBVNT|38DUR|47ASPD|57DMG|6RCR|7BPWR|9CDMG
10	66234 23113	   	270.03	ACR|DCR|3VULN|2MLV|1ZMB	125VULN|25BPWR|37RCR|4RMIN|6BEXP|8aMLV|9ZMB
11	66234 33113	   	269.93	ACR|DCR|3VULN|2MLV|1ZMB	125VULN|25BPWR|37RCR|4RMIN|6DUST|8aMLV|9ZMB
12	66234 23221	 * 	269.85	ACR|DCR|4VULN|1ASPD	1259VULN|25BPWR|37RCR|4RMIN|6BEXP|8ERES|aASPD
13	66234 33221	   	269.75	ACR|DCR|4VULN|1ASPD	1259VULN|25BPWR|37RCR|4RMIN|6DUST|8ERES|aASPD
14	66211 43222	   	269.52	ACR|DCR|3VULN|1MLV|2DUR	128VULN|2BPWR|37RCR|45DUR|6MLV|9LIT|aAAC
15	66211 43223	   	269.52	ACR|DCR|3VULN|1MLV|2DUR	128VULN|2BPWR|37RCR|45DUR|6MLV|9LIT|aRMIN
16	66214 13123	   	269.42	ACR|DCR|3VULN|1MLV|2DUR	129VULN|2BPWR|37RCR|4aDUR|5ERES|6DMSP|8MLV
17	66211 43211	   	269.32	ACR|DCR|3VULN|1MLV|2DUR	128VULN|2BPWR|37RCR|45DUR|6MLV|9DUST|aERES
18	66211 43212	   	269.32	ACR|DCR|3VULN|1MLV|2DUR	128VULN|2BPWR|37RCR|45DUR|6MLV|9DUST|aAME
19	66211 43232	   	269.32	ACR|DCR|3VULN|1MLV|2DUR|1ZMB	128VULN|2BPWR|37RCR|45DUR|6MLV|9ZMB|aERES
20	66211 43233	   	269.32	ACR|DCR|3VULN|1MLV|2DUR|1ZMB	128VULN|2BPWR|37RCR|45DUR|6MLV|9ZMB|aMDPS
21	63133 61123	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2RPLT|3CDMG|4DUR|5DMG|6aRCR|7AME|8BBNT|9MDPS
22	63133 63123	   	269.17	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2RPLT|3CDMG|4DUR|5DMG|6aRCR|7ERES|8BBNT|9MDPS
23	66252 13121	   	268.21	ACR|DCR|3VULN|1MLV|1ASPD	129VULN|2BPWR|37RCR|4DUST|5CGEN|6DMSP|8MLV|aASPD
24	66234 23223	   	264.50	ACR|DCR|4VULN	1259VULN|25BPWR|37RCR|4RMIN|6BEXP|8ERES|aDUR
25	66234 33223	   	264.40	ACR|DCR|4VULN	1259VULN|25BPWR|37RCR|4RMIN|6DUST|8ERES|aDUR
26	66234 23133	   	264.32	ACR|DCR|3VULN|1MLV|1AART	125VULN|25BPWR|37RCR|4RMIN|6BEXP|8MLV|9FEWX|aAART
27	66234 33133	   	264.22	ACR|DCR|3VULN|1MLV|1AART	125VULN|25BPWR|37RCR|4RMIN|6DUST|8MLV|9FEWX|aAART
28	62522 31413	 * 	263.90	DCR|4VULN|3DMG|1CDMG	1456VULN|2MDPS|346DMG|46BPWR|7LHND|8LWND|9RCR|aCDMG
29	62522 32513	   	263.90	DCR|4VULN|3DMG|1CDMG	1456VULN|2MDPS|346DMG|46BPWR|7LWND|8LHND|9RCR|aCDMG
30	52362 22226	 * 	263.66	DCR|DCR|2VULN|3DUR	1BEXP|2MDPS|349DUR|56VULN|7aRCR|8BBNT
31	42362 22226	   	263.56	DCR|DCR|2VULN|3DUR	1DUST|2MDPS|349DUR|56VULN|7aRCR|8BBNT
32	61113 75341	 * 	263.56	DCR|2VULN|3DMG|2ASPD|2DUR|1CDMG	17VULN|2MBVNT|38DUR|47ASPD|57aDMG|6RCR|7BPWR|9CDMG
33	61113 75244	   	263.49	DCR|3VULN|2DMG|2ASPD|1CDMG	17aVULN|2MBVNT|3DUR|47ASPD|57DMG|6RCR|7BPWR|8RCVC|9CDMG
34	66211 43122	   	262.99	ACR|DCR|2VULN|2MLV|2DUR	12VULN|2BPWR|37RCR|45DUR|68MLV|9LIT|aAAC
35	66211 43123	   	262.99	ACR|DCR|2VULN|2MLV|2DUR	12VULN|2BPWR|37RCR|45DUR|68MLV|9LIT|aRMIN
36	66211 43111	   	262.79	ACR|DCR|2VULN|2MLV|2DUR	12VULN|2BPWR|37RCR|45DUR|68MLV|9DUST|aERES
37	66211 43112	   	262.79	ACR|DCR|2VULN|2MLV|2DUR	12VULN|2BPWR|37RCR|45DUR|68MLV|9DUST|aAME
38	66211 43132	   	262.79	ACR|DCR|2VULN|2MLV|2DUR|1ZMB	12VULN|2BPWR|37RCR|45DUR|68MLV|9ZMB|aERES
39	66211 43133	   	262.79	ACR|DCR|2VULN|2MLV|2DUR|1ZMB	12VULN|2BPWR|37RCR|45DUR|68MLV|9ZMB|aMDPS
40	66214 13122	   	262.77	ACR|DCR|3VULN|1MLV	129VULN|2BPWR|37RCR|4DUR|5aERES|6DMSP|8MLV
41	13412 24263	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LWND|2RPLT|3MDPS|4CDMG|5DMG|6VULN|7TBNT|8TLV|9aRCR
42	13412 36263	   	260.97	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1LWND|2RPLT|3MDPS|4CDMG|5DMG|6BBNT|7VULN|8TLV|9aRCR
43	63143 61123	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2RPLT|3CDMG|4BEXP|5DMG|6aRCR|7AME|8BBNT|9MDPS
44	63143 63123	   	260.87	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2RPLT|3CDMG|4BEXP|5DMG|6aRCR|7ERES|8BBNT|9MDPS
45	62522 31411	   	259.91	DCR|4VULN|3DMG|1RPLT	1456VULN|2MDPS|346DMG|46BPWR|7LHND|8LWND|9RCR|aRPLT
46	62522 32511	   	259.91	DCR|4VULN|3DMG|1RPLT	1456VULN|2MDPS|346DMG|46BPWR|7LWND|8LHND|9RCR|aRPLT
47	62522 32611	   	259.91	DCR|4VULN|3DMG|1RPLT	1456VULN|2MDPS|346DMG|46BPWR|7LWND|8FEWX|9RCR|aRPLT
48	62522 33411	   	259.91	DCR|4VULN|3DMG|1RPLT	1456VULN|2MDPS|346DMG|46BPWR|7FEWX|8LWND|9RCR|aRPLT
