0	Index      	 *	Score 	Summary	Detail	
1	31451 21225	 * 	286.72	ACR|DCR|3VULN|1DMG|2CDMG|1AART	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aDMG
2	31451 21223	   	284.19	ACR|DCR|3VULN|2CDMG|1MLV|1AART	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aMLV
3	12215 51331	 * 	282.82	DCR|DCR|1VULN|1DMG|1MLV|1AART|1RPLT	1DUR|2LWND|3MLV|4DMG|5VULN|6DLOT|7AART|8RPLT|9aRCR
4	31451 21221	   	276.32	ACR|DCR|3VULN|2CDMG|1AART|1RPLT	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aRPLT
5	31451 21235	 * 	276.06	ACR|DCR|4VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578aVULN|8BPWR|9AME
6	31451 21234	   	270.54	ACR|DCR|3VULN|2CDMG|1ASPD	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AME|aASPD
7	22225 13626	 * 	269.99	DCR|DCR|2MLV|2CDMG|2AART|1ASPD	17BEXP|2LWND|37MLV|47CDMG|58AART|6aRCR|7BPWR|9ASPD
8	11345 35332	 * 	269.73	DCR|DCR|2VULN|2AART	1DUR|2TBNT|36VULN|49AART|56LHND|6BPWR|7CGEN|8aRCR
9	15222 32143	   	269.37	DCR|DCR|1VULN|1DMG|1CDMG|1AART	1DUR|2DMG|3AART|4FRZARM|5VULN|6CGEN|7CDMG|8BELT|9aRCR
10	46123 33342	   	268.41	DCR|DCR|2VULN|2DUR|1AART	1AART|2DUST|36VULN|46DUR|5TBNT|6BPWR|7DMSP|8aRCR|9CGEN
11	41162 12335	   	266.84	DCR|DCR|1VULN|1MLV|1CDMG|1AART	1AART|2TLV|3FEWX|4LHND|5CDMG|68RCR|7DUR|9VULN|aMLV
12	31451 21222	   	266.66	ACR|DCR|3VULN|2CDMG|1AART	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aCGEN
13	31451 21224	   	266.66	ACR|DCR|3VULN|2CDMG|1AART	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aLWND
14	31451 21226	   	266.66	ACR|DCR|3VULN|2CDMG|1AART	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AART|aLHND
15	52126 36132	   	265.85	DCR|DCR|2VULN|1ASPD	1RMIN|2aVULN|3TBNT|4RCVC|5LIT|6DUR|79RCR|8ASPD
16	31451 21212	   	265.30	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9LWND|aDUR
17	31451 21242	   	265.30	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9RMIN|aDUR
18	52332 53331	   	265.28	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1RMIN|2VULN|3DUR|4LWND|5DMG|6DLOT|7AART|8RPLT|9aRCR
19	31451 21232	   	265.20	ACR|DCR|3VULN|2CDMG	18BASARM|28CDMG|3MDPS|46RCR|578VULN|8BPWR|9AME|aDUR
20	12415 51331	   	265.18	DCR|DCR|1VULN|1DMG|1AART|1RPLT	1DUR|2LWND|3ERES|4DMG|5VULN|6DLOT|7AART|8RPLT|9aRCR
21	31451 21215	 * 	263.03	ACR|DCR|3VULN|3CDMG	18BASARM|28aCDMG|3MDPS|46RCR|578VULN|8BPWR|9LWND
