0	Index      	 *	Score 	Summary	Detail	
1	13212 31316	 * 	283.22	DCR|DCR|3VULN|1MLV|1SELL	129VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7LHND|8MDPS
2	13212 33681	 * 	270.65	DCR|DCR|2VULN|1MLV|1AART|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7MBVNT|8AME|9AART
3	13212 31266	 * 	269.49	DCR|DCR|2VULN|1MLV|1SELL	12VULN|2BPWR|3SELL|4MLV|5TBNT|6aRCR|7LHND|8LWND|9DUR
4	12123 16415	 * 	269.27	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CGEN|3SPLREG|4DMG|5RPLT|6LWND|7aRCR|8CDMG|9DUR
5	12123 26415	   	269.27	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CGEN|3SPLREG|4DMG|5RPLT|6FEWX|7aRCR|8CDMG|9DUR
6	12123 36415	   	269.27	DCR|DCR|1VULN|1DMG|1CDMG|1RPLT	1VULN|2CGEN|3SPLREG|4DMG|5RPLT|6LHND|7aRCR|8CDMG|9DUR
7	13152 53521	 * 	267.24	DCR|3VULN|2DMG|1MLV|2DUR|1AART|1RPLT	127VULN|27BPWR|37DUR|47DMG|5RPLT|6AAC|8MLV|9RCR|aAART
8	43131 31514	 * 	265.85	DCR|DCR|2VULN|1ASPD	1RCVC|2ASPD|3DUR|4FEWX|56VULN|7aRCR|8BELT|9LWND
9	13121 34522	   	265.75	DCR|DCR|2VULN|1CDMG	12VULN|2BPWR|3DUR|4BEXP|5CDMG|6LHND|7TBNT|8aRCR|9MGNSTR
10	13411 34522	   	265.75	DCR|DCR|2VULN|1CDMG	12VULN|2BPWR|3LWND|4DUR|5CDMG|6LHND|7TBNT|8aRCR|9MGNSTR
11	13511 34522	   	265.75	DCR|DCR|2VULN|1CDMG	12VULN|2BPWR|3BEXP|4DUR|5CDMG|6LHND|7TBNT|8aRCR|9MGNSTR
12	21211 26652	 * 	265.74	DCR|DCR|3VULN	128ERES|3LIT|48AELOIC|589VULN|6BBNT|7aRCR|8BPWR
